cell_type,f1,precision,recall,support,fold
AT2 proliferating,0.8552188552188552,0.7888198757763976,0.9338235294117647,136.0,1
Adventitial fibroblasts,0.8413098236775819,0.8593481989708405,0.8240131578947368,608.0,1
Alveolar fibroblasts,0.7828810020876826,0.7731958762886598,0.7928118393234672,473.0,1
Alveolar macrophages,0.8340288924558588,0.7741358760429082,0.9039665970772442,1437.0,1
B cells,0.882703777335984,0.888,0.8774703557312253,253.0,1
Basal resting,0.7953488372093023,0.783206106870229,0.8078740157480315,635.0,1
CD4 T cells,0.8100303951367781,0.7433751743375174,0.8898163606010017,599.0,1
CD8 T cells,0.7888655462184874,0.8409854423292273,0.7428288822947576,1011.0,1
Classical monocytes,0.8270980788675429,0.8843243243243243,0.7768281101614435,1053.0,1
Club,0.6933962264150944,0.6504424778761062,0.7424242424242424,990.0,1
DC2,0.8363636363636363,0.8454288407163054,0.827490774907749,1084.0,1
Deuterosomal,0.6457564575645757,0.7575757575757576,0.5627009646302251,311.0,1
EC aerocyte capillary,0.8495821727019499,0.9501557632398754,0.7682619647355163,397.0,1
EC general capillary,0.7990155865463495,0.7312312312312312,0.8806509945750453,553.0,1
EC venous pulmonary,0.8385744234800838,0.7853403141361257,0.8995502248875562,667.0,1
EC venous systemic,0.7518656716417911,0.8666666666666667,0.6639209225700164,607.0,1
Goblet,0.683987915407855,0.7379400260756193,0.6373873873873874,888.0,1
Hillock-like,0.7548500881834215,0.7670250896057348,0.7430555555555556,288.0,1
Interstitial macrophages,0.5069860279441117,0.5336134453781513,0.4828897338403042,1052.0,1
Ionocyte,0.8554913294797688,0.896969696969697,0.8176795580110497,181.0,1
Multiciliated,0.9537267941257966,0.9414660831509847,0.9663110612015722,1781.0,1
NK cells,0.8438177874186551,0.8625277161862528,0.8259023354564756,471.0,1
Non-classical monocytes,0.5829477858559154,0.5757180156657964,0.5903614457831325,747.0,1
Peribronchial fibroblasts,0.7256637168141593,0.7387387387387387,0.7130434782608696,230.0,1
Pericytes,0.8636363636363636,0.8028169014084507,0.9344262295081968,183.0,1
Plasma cells,0.8144654088050315,0.7993827160493827,0.8301282051282052,312.0,1
SMG duct,0.8737373737373737,0.8398058252427184,0.9105263157894737,190.0,1
SMG mucous,0.935064935064935,0.9113924050632911,0.96,75.0,1
SMG serous,0.9714285714285714,0.9577464788732394,0.9855072463768116,69.0,1
Suprabasal,0.6357308584686775,0.6492890995260664,0.6227272727272727,660.0,1
Transitional Club-AT2,0.8970414201183432,0.8970414201183432,0.8970414201183432,845.0,1
AT2 proliferating,0.9227053140096618,0.9317073170731708,0.9138755980861244,209.0,2
Adventitial fibroblasts,0.8447412353923205,0.826797385620915,0.863481228668942,293.0,2
Alveolar fibroblasts,0.7134146341463414,0.7597402597402597,0.6724137931034483,174.0,2
Alveolar macrophages,0.7734294541709578,0.8154180238870793,0.7355533790401567,1021.0,2
B cells,0.8896925858951176,0.845360824742268,0.9389312977099237,262.0,2
Basal resting,0.8496388706500329,0.8468586387434555,0.852437417654809,759.0,2
CD4 T cells,0.8510170423309511,0.8367567567567568,0.8657718120805369,894.0,2
CD8 T cells,0.7757303370786517,0.7712243074173369,0.7802893309222423,1106.0,2
Classical monocytes,0.8570080226521944,0.8028293545534925,0.9190283400809717,988.0,2
Club,0.5758354755784062,0.6473988439306358,0.5185185185185185,648.0,2
DC2,0.842911877394636,0.847084708470847,0.8387799564270153,918.0,2
Deuterosomal,0.6880466472303207,0.8489208633093526,0.5784313725490197,204.0,2
EC aerocyte capillary,0.9403973509933775,0.9161290322580645,0.9659863945578231,147.0,2
EC general capillary,0.8728606356968215,0.864406779661017,0.8814814814814815,405.0,2
EC venous pulmonary,0.7519181585677749,0.7882037533512064,0.7188264058679706,409.0,2
EC venous systemic,0.7896924355777224,0.7761437908496732,0.8037225042301185,591.0,2
Goblet,0.6378931967812729,0.582109479305741,0.7055016181229773,618.0,2
Hillock-like,0.7020872865275142,0.622895622895623,0.8043478260869565,230.0,2
Interstitial macrophages,0.6205294937296795,0.5651438240270727,0.6879505664263645,971.0,2
Ionocyte,0.8646288209606987,0.8389830508474576,0.8918918918918919,111.0,2
Multiciliated,0.9699217140502678,0.9576891781936534,0.9824707846410684,1198.0,2
NK cells,0.8057784911717496,0.8408710217755444,0.773497688751926,649.0,2
Non-classical monocytes,0.5275862068965518,0.700228832951945,0.42323651452282157,723.0,2
Peribronchial fibroblasts,0.7410358565737052,0.7153846153846154,0.768595041322314,121.0,2
Pericytes,0.8846153846153846,0.8518518518518519,0.92,25.0,2
Plasma cells,0.883495145631068,0.8921568627450981,0.875,312.0,2
SMG duct,0.8547945205479452,0.8863636363636364,0.8253968253968254,189.0,2
SMG mucous,0.7027027027027027,0.5909090909090909,0.8666666666666667,15.0,2
SMG serous,0.9090909090909091,0.8620689655172413,0.9615384615384616,26.0,2
Suprabasal,0.7450030284675954,0.7620817843866171,0.7286729857819905,844.0,2
Transitional Club-AT2,0.8397129186602871,0.8220140515222483,0.8581907090464548,409.0,2
AT2 proliferating,0.9045643153526971,0.8650793650793651,0.9478260869565217,115.0,3
Adventitial fibroblasts,0.7565217391304347,0.8207547169811321,0.7016129032258065,248.0,3
Alveolar fibroblasts,0.7593880389429764,0.6807980049875312,0.8584905660377359,318.0,3
Alveolar macrophages,0.7708066581306018,0.7478260869565218,0.7952443857331571,757.0,3
B cells,0.9300699300699301,0.9140893470790378,0.9466192170818505,562.0,3
Basal resting,0.7805519053876478,0.7694300518134715,0.792,750.0,3
CD4 T cells,0.8678102926337034,0.8523290386521308,0.8838643371017472,973.0,3
CD8 T cells,0.7942271880819367,0.7670863309352518,0.8233590733590733,1036.0,3
Classical monocytes,0.863932898415657,0.8343834383438344,0.8956521739130435,1035.0,3
Club,0.6426395939086295,0.6317365269461078,0.6539256198347108,968.0,3
DC2,0.8227027027027027,0.78860103626943,0.8598870056497175,885.0,3
Deuterosomal,0.6064139941690962,0.8,0.48826291079812206,213.0,3
EC aerocyte capillary,0.9329962073324906,0.9389312977099237,0.9271356783919598,398.0,3
EC general capillary,0.8752327746741154,0.8834586466165414,0.8671586715867159,542.0,3
EC venous pulmonary,0.8631840796019901,0.8897435897435897,0.8381642512077294,414.0,3
EC venous systemic,0.8706467661691543,0.8413461538461539,0.9020618556701031,582.0,3
Goblet,0.7132556849694953,0.6936353829557713,0.7340182648401826,876.0,3
Hillock-like,0.7548209366391184,0.7851002865329513,0.726790450928382,377.0,3
Interstitial macrophages,0.6426133593369088,0.7093649085037675,0.5873440285204992,1122.0,3
