cell_type,f1,precision,recall,support
AT2 proliferating,0.9045643153526971,0.8650793650793651,0.9478260869565217,115.0
Adventitial fibroblasts,0.7565217391304347,0.8207547169811321,0.7016129032258065,248.0
Alveolar fibroblasts,0.7593880389429764,0.6807980049875312,0.8584905660377359,318.0
Alveolar macrophages,0.7708066581306018,0.7478260869565218,0.7952443857331571,757.0
B cells,0.9300699300699301,0.9140893470790378,0.9466192170818505,562.0
Basal resting,0.7805519053876478,0.7694300518134715,0.792,750.0
CD4 T cells,0.8678102926337034,0.8523290386521308,0.8838643371017472,973.0
CD8 T cells,0.7942271880819367,0.7670863309352518,0.8233590733590733,1036.0
Classical monocytes,0.863932898415657,0.8343834383438344,0.8956521739130435,1035.0
Club,0.6426395939086295,0.6317365269461078,0.6539256198347108,968.0
DC2,0.8227027027027027,0.78860103626943,0.8598870056497175,885.0
Deuterosomal,0.6064139941690962,0.8,0.48826291079812206,213.0
EC aerocyte capillary,0.9329962073324906,0.9389312977099237,0.9271356783919598,398.0
EC general capillary,0.8752327746741154,0.8834586466165414,0.8671586715867159,542.0
EC venous pulmonary,0.8631840796019901,0.8897435897435897,0.8381642512077294,414.0
EC venous systemic,0.8706467661691543,0.8413461538461539,0.9020618556701031,582.0
Goblet,0.7132556849694953,0.6936353829557713,0.7340182648401826,876.0
Hillock-like,0.7548209366391184,0.7851002865329513,0.726790450928382,377.0
Interstitial macrophages,0.6426133593369088,0.7093649085037675,0.5873440285204992,1122.0
Ionocyte,0.7465437788018433,0.7105263157894737,0.7864077669902912,103.0
Multiciliated,0.9631171921475312,0.9557260920897285,0.9706235011990407,1668.0
NK cells,0.8640321500334897,0.920114122681883,0.8143939393939394,792.0
Non-classical monocytes,0.562015503875969,0.5991735537190083,0.5291970802919708,548.0
Peribronchial fibroblasts,0.8151815181518152,0.875886524822695,0.7623456790123457,324.0
Pericytes,0.9217758985200846,0.9864253393665159,0.8650793650793651,252.0
Plasma cells,0.8311688311688312,0.8389513108614233,0.8235294117647058,272.0
SMG duct,0.9090909090909091,0.8928571428571429,0.9259259259259259,270.0
SMG mucous,0.9620253164556962,0.957983193277311,0.9661016949152542,118.0
SMG serous,0.9161290322580645,0.9793103448275862,0.8606060606060606,165.0
Suprabasal,0.6747368421052632,0.6698014629049112,0.679745493107105,943.0
Transitional Club-AT2,0.9235936188077246,0.9306260575296108,0.9166666666666666,600.0
