,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
Adventitial fibroblasts,0,435,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,0,0,0,0,0
Alveolar fibroblasts,0,38,179,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,0,0,0,0,0
Alveolar macrophages,0,2,0,763,0,0,0,1,2,1,14,0,0,0,1,0,0,0,75,0,0,0,12,0,0,0,1,0,0,1
B cells,0,0,0,0,392,1,1,3,1,0,31,0,0,0,0,0,0,0,4,2,0,0,2,0,0,13,0,0,0,0
Basal resting,0,0,0,0,0,539,0,0,0,11,1,0,0,0,0,0,3,3,0,6,3,0,0,0,0,1,2,0,66,1
CD4 T cells,0,1,0,0,2,1,702,93,46,0,3,0,0,0,0,0,0,0,12,1,0,0,21,0,0,2,1,0,0,0
CD8 T cells,0,0,0,1,4,0,105,704,5,0,1,0,1,2,0,0,2,0,1,0,1,106,3,0,0,0,0,0,0,0
Classical monocytes,0,0,0,2,0,0,1,0,1039,0,37,0,0,1,0,0,1,0,48,0,0,2,42,0,0,1,0,0,0,0
Club,0,0,0,0,0,4,0,0,0,355,0,1,0,0,0,0,211,6,0,0,0,0,1,0,0,2,3,0,82,12
DC2,0,0,0,13,24,3,0,3,14,1,979,0,0,0,0,0,0,0,45,0,0,0,24,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,8,0,104,0,0,0,0,14,0,0,4,26,0,1,0,0,0,0,0,1,0
EC aerocyte capillary,0,0,0,0,0,0,2,0,0,0,0,0,270,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,3,1,1,0,0,0,32,313,5,47,0,0,1,3,0,0,0,0,1,1,0,0,0,0
EC venous pulmonary,0,1,0,1,0,0,0,1,0,0,0,1,0,12,338,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,1,1,0,0,0,2,0,0,1,18,56,552,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Goblet,0,0,0,0,0,0,0,0,0,205,0,3,0,0,0,0,517,0,0,0,8,0,4,0,0,0,3,0,19,17
Hillock-like,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,1,133,0,0,0,0,0,0,0,0,1,0,81,0
Interstitial macrophages,0,0,0,131,0,0,0,0,101,0,113,0,0,1,0,0,0,0,635,0,0,0,49,0,0,0,0,0,0,0
Ionocyte,0,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,5,0,0,57,1,0,0,1,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,0,0,0,0,5,0,41,0,0,1,0,7,0,0,1,1215,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,28,0,0,0,2,201,0,88,0,0,0,0,0,0,0,190,0,0,1,275,0,0,2,0,0,0,0
Peribronchial fibroblasts,0,107,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,144,1,0,0,0,0,0
Pericytes,0,0,4,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0
Plasma cells,0,0,0,0,21,2,28,8,3,0,1,0,0,0,0,1,0,0,3,31,0,2,0,1,0,276,0,0,0,0
SMG duct,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,231,46,1,5
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,223,0,0
Suprabasal,1,0,0,0,0,120,0,0,0,65,4,0,0,0,0,0,6,31,1,0,3,0,0,0,0,0,2,0,502,2
Transitional Club-AT2,5,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,253
