cell_type,f1,precision,recall,support
Multiciliated,0.9610145765743308,0.9553736370989615,0.9668295704299936,1372.8
SMG serous,0.917882053802345,0.8974725826521229,0.9439421467042951,132.0
Pericytes,0.9125162751289941,0.9100770110304008,0.9187414961778092,138.2
AT2 proliferating,0.9087865955853196,0.8900325740144194,0.9304500271082968,188.2
EC aerocyte capillary,0.8930263219579047,0.905309993349622,0.8852903316226854,266.0
B cells,0.8896570688916663,0.8916657522035418,0.8902728715226444,382.0
Transitional Club-AT2,0.8883964999963767,0.8723367657682527,0.905787847616805,510.8
SMG duct,0.8776485926430209,0.8828379180527752,0.874558070618159,231.4
EC general capillary,0.8443888932395625,0.842012502815107,0.850713745347082,443.6
CD4 T cells,0.8426885469854893,0.8243087424342175,0.8641854678658192,835.0
NK cells,0.8396495273244584,0.8516403577983642,0.8304910135723071,620.2
Plasma cells,0.8357572421034215,0.8560057451728957,0.8202557619953798,296.4
Classical monocytes,0.8311709903108666,0.8074282399365809,0.861305819552659,1058.2
EC venous pulmonary,0.8310740605708734,0.8276731554179644,0.8372507184335547,455.2
DC2,0.8217203318755754,0.8069776689679123,0.8387466051134668,965.8
EC venous systemic,0.8156952129910076,0.8342057121231848,0.8033573898367189,557.0
Adventitial fibroblasts,0.8092360294008412,0.7977452256182428,0.8270448304297275,407.8
Basal resting,0.8020001839541677,0.7736111206582299,0.8355445817908681,685.4
Alveolar macrophages,0.8019878695351952,0.7809030353751221,0.8271351302093869,1014.8
Ionocyte,0.7767113825409174,0.7274018979872399,0.8481970184667782,107.6
CD8 T cells,0.7670093988559963,0.7823959670842651,0.7543664119460892,952.2
Alveolar fibroblasts,0.7488819025170667,0.7637956564958428,0.742096438712456,302.4
Hillock-like,0.7043885211411018,0.7351285819931901,0.6885626905697279,311.8
Peribronchial fibroblasts,0.6890334722022052,0.7275279763644464,0.6611124486384884,210.0
Suprabasal,0.6790103375506626,0.6824673046328907,0.6759041261221779,783.0
Goblet,0.6760135111551854,0.6791980218286056,0.6775565873690018,722.8
Deuterosomal,0.6308847132803451,0.7176370332481933,0.5781197119836132,194.6
Interstitial macrophages,0.604060167878537,0.6115219200886997,0.6018836453749985,1094.0
Club,0.5790111510735414,0.6108433098443943,0.5620347837438453,744.8
Non-classical monocytes,0.5334374555175384,0.6214558107955248,0.4782791093217102,711.8
