cell_type,f1,precision,recall,support,fold
AT2 proliferating,0.9611307420494699,0.9251700680272109,1.0,136.0,1
Adventitial fibroblasts,0.901571546732837,0.9068219633943427,0.8963815789473685,608.0,1
Alveolar fibroblasts,0.9164969450101833,0.8840864440078585,0.9513742071881607,473.0,1
Alveolar macrophages,0.8952254641909815,0.8549715009499683,0.9394572025052192,1437.0,1
B cells,0.9721115537848606,0.9799196787148594,0.9644268774703557,253.0,1
Basal resting,0.8558282208588958,0.8340807174887892,0.878740157480315,635.0,1
CD4 T cells,0.8666127728375101,0.8401253918495298,0.8948247078464107,599.0,1
CD8 T cells,0.861838726245506,0.8963675213675214,0.8298714144411474,1011.0,1
Classical monocytes,0.8480392156862745,0.8763931104356636,0.8214624881291548,1053.0,1
Club,0.7120681021532298,0.7060575968222443,0.7181818181818181,990.0,1
DC2,0.8679245283018868,0.8659320477502296,0.8699261992619927,1084.0,1
Deuterosomal,0.9315525876460768,0.96875,0.8971061093247589,311.0,1
EC aerocyte capillary,0.9088471849865952,0.9713467048710601,0.853904282115869,397.0,1
EC general capillary,0.8576214405360134,0.7987519500780031,0.9258589511754068,553.0,1
EC venous pulmonary,0.9148778682457439,0.9035087719298246,0.9265367316341829,667.0,1
EC venous systemic,0.893071000855432,0.9288256227758007,0.8599670510708401,607.0,1
Goblet,0.7278141751042287,0.7724399494310998,0.6880630630630631,888.0,1
Hillock-like,0.8521739130434782,0.8536585365853658,0.8506944444444444,288.0,1
Interstitial macrophages,0.6964375313597592,0.7375132837407014,0.6596958174904943,1052.0,1
Ionocyte,0.9805013927576601,0.9887640449438202,0.9723756906077348,181.0,1
Multiciliated,0.9782608695652174,0.9712230215827338,0.9854014598540146,1781.0,1
NK cells,0.9151832460732985,0.9028925619834711,0.9278131634819533,471.0,1
Non-classical monocytes,0.8233766233766234,0.7994955863808323,0.8487282463186078,747.0,1
Peribronchial fibroblasts,0.8294930875576036,0.8823529411764706,0.782608695652174,230.0,1
Pericytes,0.9703504043126685,0.9574468085106383,0.9836065573770492,183.0,1
Plasma cells,0.9871382636655949,0.9903225806451613,0.9839743589743589,312.0,1
SMG duct,0.8704156479217604,0.8127853881278538,0.9368421052631579,190.0,1
SMG mucous,0.9798657718120806,0.9864864864864865,0.9733333333333334,75.0,1
SMG serous,0.9481481481481482,0.9696969696969697,0.927536231884058,69.0,1
Suprabasal,0.7199367088607594,0.7533112582781457,0.6893939393939394,660.0,1
Transitional Club-AT2,0.9005714285714286,0.8707182320441988,0.9325443786982248,845.0,1
AT2 proliferating,0.9832935560859188,0.9809523809523809,0.9856459330143541,209.0,2
Adventitial fibroblasts,0.9207419898819561,0.91,0.931740614334471,293.0,2
Alveolar fibroblasts,0.8389057750759878,0.8903225806451613,0.7931034482758621,174.0,2
Alveolar macrophages,0.8279352226720648,0.856544502617801,0.801175318315377,1021.0,2
B cells,0.9753320683111955,0.969811320754717,0.9809160305343512,262.0,2
Basal resting,0.8891769280622165,0.875,0.9038208168642952,759.0,2
CD4 T cells,0.8864142538975501,0.8824833702882483,0.8903803131991052,894.0,2
CD8 T cells,0.8397350993377484,0.82053494391717,0.8598553345388789,1106.0,2
Classical monocytes,0.8835380835380835,0.8586437440305635,0.909919028340081,988.0,2
Club,0.6442006269592476,0.6544585987261147,0.6342592592592593,648.0,2
DC2,0.8748627881448957,0.8816371681415929,0.8681917211328976,918.0,2
Deuterosomal,0.91,0.9285714285714286,0.8921568627450981,204.0,2
EC aerocyte capillary,0.9501661129568106,0.9285714285714286,0.9727891156462585,147.0,2
EC general capillary,0.8961352657004831,0.8770685579196218,0.9160493827160494,405.0,2
EC venous pulmonary,0.8695652173913043,0.9115281501340483,0.8312958435207825,409.0,2
EC venous systemic,0.8708609271523179,0.8525121555915721,0.8900169204737732,591.0,2
Goblet,0.6935866983372921,0.6790697674418604,0.7087378640776699,618.0,2
Hillock-like,0.7660377358490567,0.6766666666666666,0.8826086956521739,230.0,2
Interstitial macrophages,0.727894479726429,0.6923791821561338,0.7672502574665293,971.0,2
Ionocyte,0.9821428571428571,0.9734513274336283,0.990990990990991,111.0,2
Multiciliated,0.9829095456440183,0.9816819317235637,0.9841402337228714,1198.0,2
NK cells,0.8755085435313262,0.9275862068965517,0.8289676425269645,649.0,2
Non-classical monocytes,0.7961736571008095,0.85062893081761,0.7482710926694329,723.0,2
Peribronchial fibroblasts,0.7903225806451613,0.7716535433070866,0.8099173553719008,121.0,2
Pericytes,0.9803921568627451,0.9615384615384616,1.0,25.0,2
Plasma cells,0.9793977812995246,0.9686520376175548,0.9903846153846154,312.0,2
SMG duct,0.8746803069053708,0.8465346534653465,0.9047619047619048,189.0,2
SMG mucous,0.9655172413793104,1.0,0.9333333333333333,15.0,2
SMG serous,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0,2
Suprabasal,0.7746835443037975,0.8315217391304348,0.7251184834123223,844.0,2
Transitional Club-AT2,0.8745341614906832,0.8888888888888888,0.8606356968215159,409.0,2
AT2 proliferating,0.9649122807017544,0.9734513274336283,0.9565217391304348,115.0,3
Adventitial fibroblasts,0.8043010752688172,0.8617511520737328,0.7540322580645161,248.0,3
Alveolar fibroblasts,0.9027355623100304,0.8735294117647059,0.9339622641509434,318.0,3
Alveolar macrophages,0.8364912280701754,0.8922155688622755,0.7873183619550859,757.0,3
B cells,0.975,0.978494623655914,0.9715302491103203,562.0,3
Basal resting,0.8453188602442334,0.8604972375690608,0.8306666666666667,750.0,3
CD4 T cells,0.8895833333333333,0.9017951425554382,0.8776978417266187,973.0,3
CD8 T cells,0.838311996206733,0.8238583410997204,0.8532818532818532,1036.0,3
Classical monocytes,0.891566265060241,0.8894230769230769,0.893719806763285,1035.0,3
Club,0.6768759571209801,0.669021190716448,0.6849173553719008,968.0,3
DC2,0.8471760797342193,0.8306188925081434,0.864406779661017,885.0,3
Deuterosomal,0.9379310344827586,0.918918918918919,0.9577464788732394,213.0,3
EC aerocyte capillary,0.9567367119901112,0.9416058394160584,0.9723618090452262,398.0,3
EC general capillary,0.9018112488083889,0.9329388560157791,0.8726937269372693,542.0,3
EC venous pulmonary,0.8995098039215687,0.9129353233830846,0.8864734299516909,414.0,3
EC venous systemic,0.9059117402164862,0.8788368336025848,0.9347079037800687,582.0,3
Goblet,0.743828853538124,0.7159450897571278,0.773972602739726,876.0,3
Hillock-like,0.8146067415730337,0.8656716417910447,0.7692307692307693,377.0,3
Interstitial macrophages,0.7857453281182095,0.7667514843087362,0.8057040998217468,1122.0,3
Ionocyte,0.975609756097561,0.9803921568627451,0.970873786407767,103.0,3
Multiciliated,0.9795427196149218,0.9830917874396136,0.9760191846522782,1668.0,3
NK cells,0.921334172435494,0.918444165621079,0.9242424242424242,792.0,3
Non-classical monocytes,0.8124410933081998,0.8401559454191033,0.7864963503649635,548.0,3
Peribronchial fibroblasts,0.8730650154798761,0.8757763975155279,0.8703703703703703,324.0,3
Pericytes,0.9880478087649402,0.992,0.9841269841269841,252.0,3
Plasma cells,0.990791896869245,0.992619926199262,0.9889705882352942,272.0,3
SMG duct,0.933579335793358,0.9301470588235294,0.937037037037037,270.0,3
SMG mucous,0.9833333333333333,0.9672131147540983,1.0,118.0,3
SMG serous,0.9529780564263323,0.987012987012987,0.9212121212121213,165.0,3
Suprabasal,0.7527443805541035,0.7422680412371134,0.7635206786850477,943.0,3
Transitional Club-AT2,0.9433643279797126,0.9571183533447685,0.93,600.0,3
AT2 proliferating,0.983132530120482,0.9927007299270073,0.9737470167064439,419.0,4
Adventitial fibroblasts,0.847926267281106,0.8141592920353983,0.8846153846153846,416.0,4
Alveolar fibroblasts,0.7985739750445633,0.8715953307392996,0.7368421052631579,304.0,4
Alveolar macrophages,0.8827160493827161,0.8956158663883089,0.8701825557809331,986.0,4
B cells,0.9765013054830287,0.9765013054830287,0.9765013054830287,383.0,4
Basal resting,0.8363374188896899,0.7837837837837838,0.8964451313755796,647.0,4
CD4 T cells,0.912,0.9250936329588015,0.8992718446601942,824.0,4
CD8 T cells,0.8495964783565664,0.8379160636758322,0.8616071428571429,672.0,4
Classical monocytes,0.8379833578071464,0.8542914171656687,0.8222862632084534,1041.0,4
Club,0.5118601747815231,0.5694444444444444,0.46485260770975056,441.0,4
DC2,0.8424279583077866,0.8641509433962264,0.8217703349282297,836.0,4
Deuterosomal,0.9010989010989011,0.8631578947368421,0.9425287356321839,87.0,4
EC aerocyte capillary,0.8942307692307693,0.8691588785046729,0.9207920792079208,101.0,4
EC general capillary,0.875605815831987,0.8741935483870967,0.8770226537216829,309.0,4
EC venous pulmonary,0.9066339066339066,0.8744075829383886,0.9413265306122449,392.0,4
EC venous systemic,0.85997171145686,0.9074626865671642,0.8172043010752689,372.0,4
Goblet,0.6912991656734208,0.7571801566579635,0.6359649122807017,456.0,4
Hillock-like,0.7773766546329723,0.7820823244552058,0.7727272727272727,418.0,4
Interstitial macrophages,0.7649069502468667,0.7526158445440957,0.7776061776061776,1295.0,4
Ionocyte,0.9798657718120806,0.9733333333333334,0.9864864864864865,74.0,4
Multiciliated,0.9765013054830287,0.9659090909090909,0.9873284054910243,947.0,4
NK cells,0.9614512471655329,0.9578313253012049,0.9650986342943855,659.0,4
