,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventitial fibroblasts,1,545,35,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,1,0,0,0,0,15,1,0,0,0,0,0,0
Alveolar fibroblasts,0,15,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0
Alveolar macrophages,0,2,1,1350,0,1,0,1,0,3,11,0,0,1,1,1,1,0,51,0,0,0,9,0,1,0,0,0,0,0,3
B cells,0,0,0,0,244,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Basal resting,1,0,0,0,0,558,0,0,1,10,1,0,0,2,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,56,0
CD4 T cells,0,0,0,0,0,1,536,57,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
CD8 T cells,0,1,1,6,3,0,97,839,1,1,4,0,0,3,2,1,0,0,0,0,1,40,7,1,3,0,0,0,0,0,0
Classical monocytes,0,1,0,12,0,0,1,1,865,1,10,0,2,0,6,0,0,0,75,0,0,2,76,0,1,0,0,0,0,0,0
Club,0,0,0,2,0,3,0,0,2,711,0,1,2,0,0,0,134,1,1,0,0,0,0,0,0,1,1,0,0,50,81
DC2,0,0,0,8,1,0,0,3,22,0,943,0,0,0,0,0,0,0,78,1,2,0,26,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,2,1,279,0,0,0,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,339,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,2,5,0,2,0,0,0,0,0,0,6,512,11,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,21,618,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,1,0,0,0,0,0,0,0,2,0,0,44,37,522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Goblet,0,0,0,8,0,4,0,0,0,184,0,4,0,1,0,0,611,0,0,0,20,0,0,0,0,0,27,0,0,11,18
Hillock-like,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,8,245,0,0,0,0,0,0,0,0,0,0,0,27,0
Interstitial macrophages,2,0,0,167,0,1,0,0,46,0,105,0,0,0,0,0,0,0,694,0,0,0,36,0,0,1,0,0,0,0,0
Ionocyte,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,176,1,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,2,0,3,0,0,0,0,0,4,0,0,0,0,2,0,0,1,1755,1,1,0,0,0,0,0,0,0,11
NK cells,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,437,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,16,0,0,1,2,47,0,5,0,0,0,1,0,0,0,40,0,0,0,634,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,34,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0
Pericytes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,0,0
Plasma cells,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,307,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,178,1,1,1,1
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,73,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,0,0
Suprabasal,2,0,0,0,1,88,0,0,0,63,0,0,0,0,0,0,14,35,0,0,2,0,0,0,0,0,0,0,0,455,0
Transitional Club-AT2,4,2,1,0,0,4,0,0,2,24,0,0,0,0,0,0,8,0,0,0,2,0,0,0,0,0,7,0,1,2,788
