cell_type,f1,precision,recall,support
AT2 proliferating,0.9808612440191388,0.9808612440191388,0.9808612440191388,209.0
Adventitial fibroblasts,0.9161073825503355,0.900990099009901,0.931740614334471,293.0
Alveolar fibroblasts,0.8468468468468469,0.8867924528301887,0.8103448275862069,174.0
Alveolar macrophages,0.8377968671045983,0.8653444676409185,0.811949069539667,1021.0
B cells,0.9676190476190476,0.9657794676806084,0.9694656488549618,262.0
Basal resting,0.8894634776987718,0.8730964467005076,0.9064558629776021,759.0
CD4 T cells,0.8839285714285714,0.8819599109131403,0.8859060402684564,894.0
CD8 T cells,0.8385093167701864,0.823170731707317,0.8544303797468354,1106.0
Classical monocytes,0.8839506172839506,0.863066538090646,0.9058704453441295,988.0
Club,0.6530612244897959,0.64,0.6666666666666666,648.0
DC2,0.8764415156507414,0.8837209302325582,0.869281045751634,918.0
Deuterosomal,0.9135802469135802,0.9203980099502488,0.9068627450980392,204.0
EC aerocyte capillary,0.9022082018927445,0.8411764705882353,0.9727891156462585,147.0
EC general capillary,0.8962148962148963,0.8864734299516909,0.9061728395061729,405.0
EC venous pulmonary,0.8710089399744572,0.9117647058823529,0.8337408312958435,409.0
EC venous systemic,0.8762376237623762,0.855072463768116,0.8984771573604061,591.0
Goblet,0.6808510638297872,0.6887417218543046,0.6731391585760518,618.0
Hillock-like,0.7870722433460076,0.6993243243243243,0.9,230.0
Interstitial macrophages,0.7382352941176471,0.7043966323666978,0.7754891864057673,971.0
Ionocyte,0.9819819819819819,0.9819819819819819,0.9819819819819819,111.0
Multiciliated,0.9820309235269536,0.9832635983263598,0.9808013355592654,1198.0
NK cells,0.8798076923076923,0.9165275459098498,0.8459167950693375,649.0
Non-classical monocytes,0.8002915451895044,0.8459167950693375,0.7593360995850622,723.0
Peribronchial fibroblasts,0.7983870967741935,0.7795275590551181,0.8181818181818182,121.0
Pericytes,0.9803921568627451,0.9615384615384616,1.0,25.0
Plasma cells,0.9840255591054313,0.9808917197452229,0.9871794871794872,312.0
SMG duct,0.8702290076335878,0.8382352941176471,0.9047619047619048,189.0
SMG serous,0.8627450980392157,0.88,0.8461538461538461,26.0
Suprabasal,0.764404609475032,0.8314763231197771,0.707345971563981,844.0
Transitional Club-AT2,0.8695652173913043,0.8838383838383839,0.8557457212713936,409.0
