,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,408,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4
Adventitial fibroblasts,0,365,17,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0
Alveolar fibroblasts,0,64,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
Alveolar macrophages,0,0,0,846,0,0,0,0,2,0,8,0,0,1,0,1,0,0,114,0,0,0,10,0,0,0,1,0,0,3
B cells,0,0,0,0,371,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Basal resting,0,1,0,1,0,579,0,0,0,2,1,0,0,1,0,0,3,4,0,1,2,0,0,0,0,0,0,0,51,1
CD4 T cells,0,0,0,0,1,0,747,71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,5,0,53,581,0,0,2,0,0,1,0,0,0,1,2,0,0,25,0,0,0,1,0,0,1,0
Classical monocytes,0,0,2,6,0,0,1,3,845,0,15,0,0,0,0,0,0,0,74,0,0,0,95,0,0,0,0,0,0,0
Club,1,0,0,2,1,6,0,0,0,210,0,2,0,0,0,0,61,39,1,0,0,0,0,0,0,0,2,0,101,15
DC2,1,0,0,1,0,0,0,0,14,0,692,0,0,0,0,0,0,0,103,0,0,0,24,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,1,0,0,0,94,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,1,0,0,0,1,0,0,0,0,0,13,273,7,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,4,365,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,2,0,0,0,0,0,0,0,21,43,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,3,0,3,0,0,1,105,1,3,0,0,0,0,281,4,4,1,27,0,0,0,0,0,11,0,10,2
Hillock-like,0,0,0,0,0,54,0,0,1,0,0,0,0,0,0,0,0,324,0,0,0,0,0,0,0,0,0,0,39,0
Interstitial macrophages,0,0,0,81,0,0,0,1,94,0,64,0,0,0,0,0,0,0,1010,0,0,1,44,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,2,0,1,0,931,0,0,0,0,0,0,0,0,5
NK cells,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,1,4,1,0,2,4,34,0,9,0,0,1,0,0,0,1,29,0,0,0,668,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
Pericytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0
Plasma cells,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,203,8,0,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,154,0,0
Suprabasal,0,0,0,0,0,92,0,0,0,39,0,3,0,0,0,0,12,36,0,0,2,0,0,0,0,1,0,0,545,1
Transitional Club-AT2,2,1,0,0,0,1,0,0,0,17,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,3,393
