cell_type,f1,precision,recall,support
Plasma cells,0.985908981618213,0.9835735040427254,0.9883076573439016,296.4
Pericytes,0.985056499334305,0.9806097524225184,0.9897731233951463,138.2
Multiciliated,0.979284394534564,0.975533629192611,0.9831132898149038,1372.8
Ionocyte,0.9761051585695505,0.9831881725147052,0.9696526372754075,107.6
B cells,0.975294603493345,0.9786726584489764,0.9720082258529444,382.0
AT2 proliferating,0.9719364447423446,0.9711215679347122,0.9735055184154078,188.2
SMG mucous,0.9715273776696984,0.9828322723404691,0.9612034632034632,97.4
SMG serous,0.9332351957532887,0.9319407050214359,0.9367443317315439,132.0
EC aerocyte capillary,0.9314327755511671,0.9335956450057401,0.9314259031960862,266.0
Deuterosomal,0.9267121159308138,0.9246995242218354,0.9303127006061953,194.6
NK cells,0.9149984721441606,0.9223394451163548,0.9088470144185795,620.2
Transitional Club-AT2,0.9126868064453229,0.9062736846983143,0.9201213996596197,510.8
EC venous pulmonary,0.8951496173030208,0.9005284591153895,0.8912381822706837,455.2
SMG duct,0.8919701789557898,0.8898823621036687,0.8999491793306674,231.4
CD4 T cells,0.8912915870252262,0.894315091945988,0.8889321166277087,835.0
EC venous systemic,0.8855612212221544,0.8893217108420689,0.8839495354379681,557.0
EC general capillary,0.8807983451978185,0.8747076308261562,0.8894740871643604,443.6
Alveolar fibroblasts,0.8718509260644242,0.8899329543047674,0.8583650469509335,302.4
Adventitial fibroblasts,0.8710986520234194,0.8648386163321554,0.8806957393442467,407.8
Alveolar macrophages,0.8669494509201975,0.8811933648322287,0.8553426098189977,1014.8
DC2,0.862722107742222,0.8632233659147939,0.8626166923494495,965.8
Classical monocytes,0.8612831587494851,0.850910412059749,0.8751674661808695,1058.2
Basal resting,0.8581829643440388,0.8367593042900658,0.8821232337226543,685.4
CD8 T cells,0.8502169595090194,0.8436866924704667,0.8578462259468814,952.2
Non-classical monocytes,0.8166641041328976,0.8365498554088813,0.8019449256892319,711.8
Peribronchial fibroblasts,0.8012491198963885,0.813804086222478,0.7947748245876369,210.0
Hillock-like,0.7904552986124684,0.8029627726751668,0.7883855697442653,311.8
Interstitial macrophages,0.7462710678800593,0.7490794267610922,0.7461289403799023,1094.0
Suprabasal,0.7398395994718046,0.7525017680128268,0.7293355876985445,783.0
Goblet,0.7191657007096015,0.7337520579317618,0.7082549049270775,722.8
Club,0.6352231944252184,0.6463936915504684,0.6262915434073523,744.8
