,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,186,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,0,362,14,3,0,2,0,0,0,3,0,0,0,0,3,0,1,0,1,0,1,0,1,16,0,0,0,0,1,0
Alveolar fibroblasts,0,23,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
Alveolar macrophages,0,1,1,865,0,0,0,0,6,4,13,0,0,1,1,0,0,0,105,0,0,0,17,0,0,0,0,0,1,0
B cells,0,0,0,0,371,0,1,5,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,566,0,0,0,11,0,1,0,0,0,0,1,10,0,0,1,1,0,0,0,1,2,0,87,4
CD4 T cells,0,0,0,0,1,0,746,83,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,1,1,1,99,789,1,2,2,0,0,1,0,0,0,0,3,0,0,45,1,0,0,0,0,0,2,4
Classical monocytes,0,0,0,10,0,0,2,3,891,0,17,0,0,0,2,1,0,0,58,0,1,0,70,0,0,0,1,0,1,1
Club,0,0,0,3,0,9,0,1,2,514,0,3,0,1,0,0,111,9,0,0,2,0,0,0,0,0,2,0,56,32
DC2,0,0,0,9,0,1,1,5,21,1,830,0,0,0,1,0,1,0,78,0,1,0,15,0,0,0,0,0,0,2
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,181,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,1,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,252,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,0,1,1,1,0,0,13,384,13,26,0,0,0,0,1,1,0,0,0,0,0,0,0,2
EC venous pulmonary,0,3,0,0,0,0,0,0,1,0,1,0,0,10,399,39,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,1,0,0,2,1,1,0,0,30,37,484,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,2,0,4,1,0,0,95,0,4,0,0,0,0,558,7,0,0,11,0,2,0,0,0,9,1,13,16
Hillock-like,0,0,0,1,0,9,2,0,0,5,0,0,0,0,0,0,6,254,0,0,1,1,0,0,0,0,1,0,32,0
Interstitial macrophages,0,0,0,109,0,0,1,2,51,0,68,0,0,0,0,0,1,1,840,0,0,0,20,0,0,0,0,0,1,0
Ionocyte,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,1,0,8,0,0,1,0,1,2,0,0,0,0,11,1,1,0,1342,1,0,0,0,0,1,0,1,2
NK cells,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,571,1,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,6,0,0,0,0,64,0,12,0,0,0,0,0,2,0,38,0,1,0,589,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,25,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0
Pericytes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,135,0,0,0,0,0
Plasma cells,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,294,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,209,5,2,5
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,124,0,0
Suprabasal,1,2,0,0,0,80,0,0,1,70,2,0,0,1,0,0,10,26,3,0,2,2,0,0,0,0,1,0,581,1
Transitional Club-AT2,1,2,0,0,0,3,0,0,0,26,0,1,0,0,0,0,15,0,0,0,0,0,2,0,0,0,5,0,1,455
