,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10
Adventitial fibroblasts,0,341,30,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,26,2,1,0,0,0,0,0
Alveolar fibroblasts,0,46,234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0
Alveolar macrophages,0,1,0,838,1,0,0,1,2,2,6,0,0,2,1,0,0,0,140,0,0,0,19,0,0,0,0,0,0,0,2
B cells,0,0,0,0,361,0,2,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
Basal resting,0,0,0,0,0,576,1,0,1,5,0,0,0,0,0,0,1,16,0,3,0,0,0,0,0,1,1,0,0,81,0
CD4 T cells,0,0,0,0,2,1,744,77,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,0,0,0,1,0
CD8 T cells,0,1,1,0,4,1,120,730,0,1,0,0,0,0,0,0,1,2,1,0,1,82,4,0,0,2,0,0,0,1,0
Classical monocytes,0,0,0,1,0,0,2,1,913,0,17,0,0,0,1,0,0,0,54,0,0,0,65,0,0,3,0,0,0,1,0
Club,0,0,0,3,0,3,1,0,0,435,0,1,0,0,0,0,172,21,0,1,0,0,0,0,0,0,3,3,0,72,30
DC2,1,0,0,12,21,0,0,3,13,0,811,0,0,0,0,0,0,0,71,0,1,0,31,0,0,2,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,1,0,0,12,0,112,0,0,0,0,17,0,0,1,50,0,0,0,0,0,0,0,0,0,2
EC aerocyte capillary,1,0,0,0,0,0,0,0,0,0,0,0,246,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,3,0,0,0,0,0,20,383,11,22,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,3,0,0,0,0,8,389,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,2,0,0,0,34,64,453,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0
Goblet,0,0,0,3,0,2,0,0,0,150,0,10,0,0,0,0,506,4,0,2,8,0,1,0,0,0,14,2,0,14,7
Hillock-like,0,0,0,0,0,24,0,0,0,9,0,0,0,0,0,0,1,226,0,0,0,0,0,0,0,0,1,0,0,51,0
Interstitial macrophages,0,0,0,174,1,0,1,2,85,1,81,0,0,0,0,0,0,0,675,0,0,1,69,0,0,3,0,0,0,1,0
Ionocyte,0,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,4,0,0,91,0,0,0,0,0,4,0,0,0,2,0
Multiciliated,0,0,0,2,0,5,0,0,1,3,0,24,0,0,0,0,2,0,0,1,1330,0,1,0,0,0,0,0,0,0,4
NK cells,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,47,0,0,2,1,113,0,45,0,0,0,0,0,0,0,146,0,0,1,355,0,0,2,0,0,0,0,0
Peribronchial fibroblasts,0,22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,1,0,0,0,0,0,0
Pericytes,0,0,8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,1
Plasma cells,0,0,0,2,6,4,8,1,2,0,1,0,0,0,0,3,0,0,9,2,0,1,5,0,0,252,0,0,0,0,0
SMG duct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,208,1,10,1,0
SMG mucous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,88,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,121,0,0
Suprabasal,2,0,0,1,0,126,0,0,1,55,1,2,0,0,0,1,14,46,0,0,0,1,0,0,0,1,1,0,0,531,0
Transitional Club-AT2,17,0,0,0,0,1,0,0,1,23,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,5,0,0,0,453
