,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,186,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,0,363,13,1,0,0,0,1,0,0,0,0,0,0,3,0,5,1,1,0,1,0,0,16,2,1,0,0,0,0
Alveolar fibroblasts,0,25,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Alveolar macrophages,0,1,0,868,1,1,0,1,7,2,11,0,0,2,0,1,0,0,112,0,0,0,7,0,0,0,0,0,0,1
B cells,0,0,0,0,369,1,1,1,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,593,1,0,1,4,0,0,0,0,0,0,4,7,0,0,2,0,0,0,0,0,0,0,72,1
CD4 T cells,0,0,0,0,1,0,753,79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,0,1,0,0,1,1,76,829,0,2,1,0,0,3,1,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0
Classical monocytes,0,0,0,3,0,1,2,1,930,2,19,0,1,0,1,0,0,0,38,0,0,0,60,0,0,0,0,0,0,0
Club,2,0,0,2,0,2,0,0,1,482,0,0,0,0,0,0,146,17,1,0,0,0,0,0,0,0,2,0,67,23
DC2,0,0,0,4,0,0,0,3,17,0,839,0,0,0,0,0,0,0,86,0,2,0,15,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,250,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,1,1,0,0,0,0,13,396,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous pulmonary,0,0,0,1,0,0,0,0,1,0,0,0,0,8,417,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,1,0,0,0,0,3,0,0,23,35,495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,2,0,2,0,0,0,142,0,5,0,0,0,0,533,2,2,0,12,0,0,0,0,0,9,1,5,8
Hillock-like,0,0,0,0,0,12,0,0,0,2,0,0,0,0,0,0,5,257,0,0,0,0,0,0,0,0,1,0,35,0
Interstitial macrophages,1,0,0,98,0,0,0,1,62,0,75,1,0,0,0,0,0,0,837,0,0,0,19,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,2,0,1,0,0,1,1,0,6,0,0,0,0,3,0,0,0,1354,0,0,0,0,0,0,0,2,3
NK cells,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,568,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,5,1,2,1,0,66,0,10,0,0,0,1,0,0,0,37,0,1,0,588,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,23,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0
Pericytes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0
Plasma cells,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,294,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,218,4,0,3
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,127,0,0
Suprabasal,0,0,0,0,0,81,0,0,0,47,1,1,1,0,0,0,10,30,1,0,2,0,0,0,0,0,4,0,605,0
Transitional Club-AT2,1,2,0,0,0,1,0,0,0,23,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,5,1,2,464
