,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Adventitial fibroblasts,0,348,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,27,2,3,0,0,0,0
Alveolar fibroblasts,0,51,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8,0,0,0,0,0
Alveolar macrophages,0,1,0,853,1,0,2,0,1,1,16,0,0,2,1,1,1,0,124,0,0,1,10,0,0,0,0,0,0,0
B cells,0,0,0,0,344,0,6,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
Basal resting,0,1,0,0,0,585,0,0,0,3,0,0,0,1,0,0,0,5,2,5,0,0,0,0,0,0,1,0,79,3
CD4 T cells,0,0,0,0,3,0,740,79,1,0,1,0,0,0,0,0,1,0,1,0,0,0,4,0,0,5,0,0,0,0
CD8 T cells,0,0,1,1,5,1,124,723,1,1,2,1,0,0,0,0,1,1,1,0,0,77,10,0,0,1,0,0,1,0
Classical monocytes,0,0,0,1,0,0,0,0,911,0,17,1,0,0,1,1,0,0,57,0,0,1,62,0,0,4,0,1,1,0
Club,0,0,0,1,0,4,0,0,1,462,0,3,0,0,0,0,158,23,0,1,0,0,0,0,0,1,2,0,63,26
DC2,0,0,0,11,23,0,0,4,14,0,809,0,0,0,0,0,0,0,70,0,0,0,32,0,0,3,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,7,0,124,0,0,0,0,9,0,0,1,53,0,0,0,0,0,0,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,247,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EC general capillary,0,0,0,1,0,0,0,0,1,0,0,0,23,384,7,24,0,0,0,1,0,0,2,0,0,1,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,1,0,0,0,0,3,393,57,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,1,1,0,0,0,0,0,0,1,24,74,452,0,0,0,0,0,0,1,0,1,1,0,0,1,0
Goblet,0,0,0,1,0,1,0,0,0,155,0,8,0,0,0,0,491,1,0,6,11,0,0,0,0,0,9,0,27,13
Hillock-like,0,0,0,0,0,29,0,0,0,11,0,0,0,0,0,0,0,226,0,1,0,0,0,0,0,0,1,0,44,0
Interstitial macrophages,1,0,0,165,0,0,1,1,76,0,82,0,0,0,0,0,1,0,672,0,0,1,90,0,0,4,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,0,0,90,0,0,0,0,0,7,0,0,3,0
Multiciliated,1,0,0,2,0,1,0,0,0,0,0,30,0,1,0,0,2,0,0,0,1330,0,0,0,0,0,0,0,0,6
NK cells,0,0,0,0,0,0,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,44,1,0,0,2,109,0,40,0,0,0,0,0,0,0,146,0,0,1,365,0,0,4,0,0,0,0
Peribronchial fibroblasts,0,32,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,151,0,0,0,0,0,0
Pericytes,0,0,5,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,129,0,0,0,0,0
Plasma cells,1,0,0,1,5,1,9,1,3,0,0,0,0,2,0,3,0,0,8,2,0,1,2,0,0,257,0,0,0,0
SMG duct,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,212,5,1,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,119,0,0
Suprabasal,5,1,0,0,0,110,2,1,0,49,0,0,0,0,0,0,12,45,0,2,1,2,0,0,0,0,1,0,550,2
Transitional Club-AT2,14,0,0,0,0,1,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,1,0,1,469
