cell_type,f1,precision,recall,support
AT2 proliferating,0.9198966408268734,0.8944723618090452,0.9468085106382979,188.0
Adventitial fibroblasts,0.8242280285035629,0.7995391705069125,0.8504901960784313,408.0
Alveolar fibroblasts,0.755632582322357,0.7927272727272727,0.7218543046357616,302.0
Alveolar macrophages,0.8131553860819828,0.7876269621421976,0.8403940886699507,1015.0
B cells,0.8981723237597912,0.8958333333333334,0.900523560209424,382.0
Basal resting,0.823943661971831,0.7959183673469388,0.8540145985401459,685.0
CD4 T cells,0.859465737514518,0.8342728297632469,0.8862275449101796,835.0
CD8 T cells,0.7759914255091104,0.7921225382932167,0.7605042016806722,952.0
Classical monocytes,0.8367816091954023,0.8146821844225605,0.8601134215500945,1058.0
Club,0.6337448559670782,0.6479663394109397,0.6201342281879194,745.0
DC2,0.8301693175987686,0.8229908443540183,0.8374741200828157,966.0
Deuterosomal,0.6850828729281768,0.7425149700598802,0.6358974358974359,195.0
EC aerocyte capillary,0.917910447761194,0.9111111111111111,0.924812030075188,266.0
EC general capillary,0.8727272727272727,0.8807339449541285,0.8648648648648649,444.0
EC venous pulmonary,0.8433476394849786,0.8238993710691824,0.8637362637362638,455.0
EC venous systemic,0.8255707762557077,0.8401486988847584,0.8114901256732495,557.0
Goblet,0.692090395480226,0.7070707070707071,0.677731673582296,723.0
Hillock-like,0.734094616639478,0.7475083056478405,0.7211538461538461,312.0
Interstitial macrophages,0.6185661764705882,0.621996303142329,0.6151736745886655,1094.0
Ionocyte,0.8256880733944955,0.8181818181818182,0.8333333333333334,108.0
Multiciliated,0.9609826589595376,0.953405017921147,0.9686817188638019,1373.0
NK cells,0.8491803278688524,0.8633333333333333,0.8354838709677419,620.0
Non-classical monocytes,0.566358024691358,0.6284246575342466,0.5154494382022472,712.0
Peribronchial fibroblasts,0.7312348668280871,0.7438423645320197,0.719047619047619,210.0
Pericytes,0.9175627240143369,0.9078014184397163,0.927536231884058,138.0
Plasma cells,0.8566666666666667,0.8453947368421053,0.8682432432432432,296.0
SMG duct,0.8978723404255319,0.8828451882845189,0.9134199134199135,231.0
SMG serous,0.9230769230769231,0.9375,0.9090909090909091,132.0
Suprabasal,0.7061093247588425,0.711139896373057,0.7011494252873564,783.0
Transitional Club-AT2,0.9031639501438159,0.8853383458646616,0.9217221135029354,511.0
