,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,13
Adventitial fibroblasts,0,338,42,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,21,3,0,0,0,0,0
Alveolar fibroblasts,0,58,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,8,0,0,0,0,0
Alveolar macrophages,0,2,0,837,0,0,0,1,3,4,17,0,0,0,3,0,2,0,130,0,0,0,16,0,0,0,0,0,0,0
B cells,0,0,0,0,340,0,1,0,1,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,3
Basal resting,1,0,0,0,2,593,1,0,0,1,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0,1,1,0,69,4
CD4 T cells,0,0,0,0,4,0,714,84,0,0,0,0,0,0,0,0,1,0,2,4,0,0,3,0,0,19,0,0,2,2
CD8 T cells,1,2,0,0,7,3,111,717,1,0,1,2,1,1,0,0,2,1,4,1,1,80,5,0,1,6,0,0,3,1
Classical monocytes,1,1,0,2,0,0,2,0,910,0,17,0,0,0,1,0,0,0,58,0,0,4,60,0,0,1,0,0,0,1
Club,1,0,0,1,0,5,1,0,0,413,0,2,0,0,0,0,176,16,0,3,1,0,0,0,0,0,4,1,87,34
DC2,0,0,0,27,34,0,1,2,14,0,767,0,1,0,0,0,0,0,70,0,1,0,46,0,0,1,0,0,1,1
Deuterosomal,1,0,0,0,0,0,0,0,0,9,0,114,0,0,0,0,21,0,0,0,48,0,0,0,0,0,0,1,0,1
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,239,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,1,1,0,0,0,0,32,329,2,73,0,0,1,2,0,0,1,0,1,1,0,0,0,0
EC venous pulmonary,0,1,0,0,0,0,0,0,3,1,0,0,0,7,324,116,0,0,1,0,0,0,0,0,0,0,0,0,0,2
EC venous systemic,0,0,0,0,0,2,1,0,0,0,0,0,12,78,118,344,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Goblet,1,0,0,1,0,1,5,0,0,151,0,10,0,0,0,0,481,0,0,2,6,0,0,0,0,0,8,1,8,48
Hillock-like,0,0,0,0,0,47,0,0,0,7,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,82,0
Interstitial macrophages,0,0,0,173,0,0,1,1,89,1,125,0,0,0,0,0,0,0,622,0,0,3,76,0,0,2,0,0,1,0
Ionocyte,7,0,0,0,0,0,27,0,0,4,0,0,0,0,0,0,2,0,0,55,0,0,0,0,0,8,0,0,1,4
Multiciliated,1,0,0,0,0,1,0,0,0,1,0,23,0,0,0,0,12,0,0,2,1328,1,0,1,0,0,0,1,1,1
NK cells,0,0,0,0,0,0,1,103,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,44,1,0,0,0,110,0,66,0,1,0,0,0,0,0,145,0,0,1,342,0,0,2,0,0,0,0
Peribronchial fibroblasts,0,86,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0,0
Pericytes,0,2,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,127,0,0,0,0,0
Plasma cells,1,0,0,1,3,1,60,6,1,0,2,0,0,1,0,3,0,0,4,5,0,0,0,0,0,208,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,165,18,4,38
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,118,0,0
Suprabasal,3,2,0,0,0,105,0,0,0,63,1,0,0,0,0,0,14,41,0,1,0,1,0,0,0,0,1,0,547,4
Transitional Club-AT2,20,2,0,0,0,3,1,0,0,52,0,0,0,0,0,0,27,0,0,4,1,0,0,0,0,0,33,1,3,364
