,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,183,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Adventitial fibroblasts,0,351,22,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,28,0,0,0,0,0,0,1
Alveolar fibroblasts,0,20,262,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0
Alveolar macrophages,0,1,0,866,0,0,1,0,5,4,8,0,0,0,2,1,2,0,117,0,0,0,7,0,1,0,0,0,0,0,0
B cells,0,0,0,1,368,1,2,2,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Basal resting,0,0,0,0,0,584,1,2,1,5,0,0,0,0,0,0,6,7,1,0,3,1,0,0,0,0,0,0,0,71,4
CD4 T cells,0,0,0,0,1,0,749,79,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
CD8 T cells,0,2,0,3,2,0,103,779,1,0,5,0,1,1,1,0,0,2,1,0,0,44,1,3,0,0,1,0,0,1,1
Classical monocytes,0,1,0,7,0,0,2,1,896,2,19,1,0,0,2,1,0,0,48,0,2,1,74,0,0,0,0,0,0,0,1
Club,0,0,0,1,0,4,1,0,0,510,0,0,0,1,0,0,108,14,0,0,1,0,2,0,0,0,1,0,0,74,28
DC2,0,0,0,11,0,1,1,1,17,0,821,0,0,0,0,2,1,0,89,0,1,1,20,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,1,0,185,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,258,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,2,0,0,0,1,1,3,0,2,0,0,26,366,10,29,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
EC venous pulmonary,0,3,0,0,0,0,0,0,1,1,0,0,1,7,394,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,0,0,0,1,24,39,488,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0
Goblet,0,0,0,4,0,4,1,0,0,110,0,3,0,0,1,0,540,5,0,0,13,0,1,0,0,0,8,0,0,21,12
Hillock-like,0,0,0,0,0,11,0,0,0,4,0,0,0,0,0,0,1,260,1,0,0,0,0,0,0,0,0,0,0,35,0
Interstitial macrophages,0,0,0,92,0,2,0,2,51,0,73,0,0,0,0,0,0,1,846,0,1,1,22,0,0,0,0,0,0,1,2
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,8,0,0,0,2,0,10,0,0,0,0,17,0,0,0,1333,2,0,1,0,0,0,0,0,0,0
NK cells,0,0,0,1,0,0,1,47,0,1,1,0,0,0,0,1,0,0,0,0,1,566,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,5,1,0,1,3,57,0,16,0,0,0,0,0,1,1,31,0,0,0,594,0,0,1,0,0,0,1,0
Peribronchial fibroblasts,0,19,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,1,0
Pericytes,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,133,0,0,0,0,0,0
Plasma cells,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,290,0,0,0,1,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,203,0,10,5,3
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,91,1,1,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,127,1,0
Suprabasal,5,0,0,0,0,65,0,0,1,63,1,1,0,1,0,0,17,33,0,0,1,2,0,0,0,1,0,0,0,592,0
Transitional Club-AT2,2,2,0,0,0,0,0,0,0,22,0,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,3,0,0,0,463
