,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Adventitial fibroblasts,0,357,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
Alveolar fibroblasts,0,15,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,0
Alveolar macrophages,0,2,0,878,0,0,1,0,3,3,8,0,0,0,1,0,1,0,111,0,0,0,5,0,0,0,0,0,0,0,2
B cells,0,0,0,0,371,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Basal resting,0,0,0,0,0,622,1,0,0,6,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,51,1
CD4 T cells,0,0,0,0,1,0,731,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
CD8 T cells,0,0,0,2,2,1,76,818,0,0,1,0,1,0,0,1,0,0,1,0,0,43,2,0,1,1,0,0,0,1,1
Classical monocytes,0,1,0,1,0,1,3,0,921,2,11,0,0,0,0,0,0,0,50,0,0,1,67,0,0,0,0,0,0,0,0
Club,0,0,0,1,0,4,0,0,1,477,0,1,0,0,0,0,145,18,1,0,0,0,1,0,0,0,1,1,0,71,23
DC2,0,0,0,4,1,0,0,1,17,1,826,0,0,0,0,0,0,0,88,0,1,0,26,0,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,258,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,1,0,0,0,1,0,0,16,393,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous pulmonary,0,1,0,1,0,0,0,0,1,0,0,0,0,2,418,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,1,0,0,22,33,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,0,0,2,0,0,0,148,0,4,0,0,0,0,524,3,0,1,13,0,0,0,0,0,9,0,0,10,9
Hillock-like,0,1,0,0,0,17,0,0,0,4,0,0,0,0,0,0,5,251,0,0,0,0,0,0,0,0,0,0,0,34,0
Interstitial macrophages,1,0,0,97,0,0,0,0,59,1,87,0,0,0,0,0,0,0,826,0,0,2,21,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,0,0,1,0,0,0,2,0,4,0,0,0,0,1,0,0,0,1358,1,0,0,0,0,0,0,0,3,2
NK cells,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,5,3,0,1,1,69,0,9,0,0,0,0,0,0,1,37,0,0,0,584,0,0,1,0,0,0,0,0
Peribronchial fibroblasts,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0
Pericytes,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,134,0,0,0,0,0,0
Plasma cells,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,206,1,8,3,4
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,94,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,127,0,0
Suprabasal,3,0,0,0,0,68,0,0,0,61,1,2,1,0,0,0,11,29,0,0,1,0,0,0,0,1,1,0,0,604,0
Transitional Club-AT2,0,1,0,0,0,2,0,0,0,19,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,2,0,0,0,477
