,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,162,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,4,13
Adventitial fibroblasts,0,339,35,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,24,3,0,0,1,0,0,0
Alveolar fibroblasts,0,43,211,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,32,10,0,0,0,0,0,0
Alveolar macrophages,1,2,0,834,0,0,0,1,2,2,14,0,0,0,1,0,0,0,141,0,0,1,15,0,0,1,0,0,0,0,0
B cells,0,0,0,0,336,0,2,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,1,0
Basal resting,0,0,0,0,0,577,1,0,0,2,1,0,0,1,0,0,0,14,1,1,0,1,0,0,0,2,0,0,0,81,4
CD4 T cells,0,0,0,0,3,0,727,83,1,1,0,0,1,0,0,0,0,0,1,2,0,0,1,0,0,13,0,0,0,0,2
CD8 T cells,0,0,0,0,1,0,117,727,0,0,3,1,2,1,0,0,1,5,3,0,0,75,5,0,2,7,0,0,0,2,0
Classical monocytes,0,0,1,1,0,0,2,0,920,1,22,0,2,3,0,0,0,0,44,0,0,2,59,0,0,1,0,0,0,0,0
Club,0,0,0,0,0,3,0,0,0,427,1,1,0,0,0,0,193,15,0,1,0,0,2,0,0,0,4,1,1,73,23
DC2,0,0,0,18,23,0,1,2,25,1,792,0,1,0,0,1,0,0,57,0,0,0,39,0,0,4,0,0,0,0,2
Deuterosomal,1,0,0,0,0,0,0,0,0,8,1,119,0,0,0,0,17,0,0,0,46,0,0,0,0,0,0,0,0,1,2
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,235,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,1,2,1,0,0,0,1,26,351,4,46,0,0,0,6,0,0,0,0,2,3,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,6,358,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,9,64,78,402,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Goblet,0,0,0,2,0,4,1,1,0,155,0,7,0,0,0,0,479,1,0,6,15,0,0,0,0,0,6,5,0,12,29
Hillock-like,0,0,0,0,0,46,0,0,0,11,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,57,0
Interstitial macrophages,0,0,0,165,0,0,0,0,95,0,108,0,1,0,0,0,0,0,642,0,0,2,80,0,0,1,0,0,0,0,0
Ionocyte,1,0,0,0,2,3,9,0,0,5,0,0,0,0,0,0,2,0,0,71,1,0,0,0,0,7,0,0,0,0,7
Multiciliated,1,0,0,1,0,3,0,0,0,0,0,32,0,0,0,0,16,0,0,1,1316,1,0,1,0,0,0,0,0,0,1
NK cells,1,0,0,0,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,47,0,0,2,2,127,0,62,0,0,0,0,0,0,0,139,0,0,2,328,0,0,1,0,0,0,0,1
Peribronchial fibroblasts,0,63,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1,1,0,0,0,0,0
Pericytes,0,0,6,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,0,121,0,0,0,0,0,1
Plasma cells,0,0,1,1,1,1,20,5,0,0,1,0,0,1,0,1,0,0,10,7,0,1,4,0,3,238,0,1,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,197,1,10,4,10
SMG mucous,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,85,0,0,0
SMG serous,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,104,0,0
Suprabasal,4,0,0,0,0,107,0,0,0,72,2,1,0,0,0,0,12,51,0,1,2,0,0,0,0,0,2,0,0,524,5
Transitional Club-AT2,20,1,0,0,0,2,0,0,1,29,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,0,10,0,0,2,427
