cell_type,f1,precision,recall,support
AT2 proliferating,0.8342245989304814,0.8387096774193549,0.8297872340425532,188.0
Adventitial fibroblasts,0.7695749440715883,0.7078189300411523,0.8431372549019608,408.0
Alveolar fibroblasts,0.6736214605067065,0.6124661246612466,0.7483443708609272,302.0
Alveolar macrophages,0.7862922417896241,0.7605893186003683,0.8137931034482758,1015.0
B cells,0.8959999999999999,0.9130434782608695,0.8795811518324608,382.0
Basal resting,0.8053221288515405,0.7738896366083445,0.8394160583941606,685.0
CD4 T cells,0.8102564102564102,0.7728260869565218,0.8514970059880239,835.0
CD8 T cells,0.7634237107921319,0.7728740581270183,0.7542016806722689,952.0
Classical monocytes,0.8203753351206434,0.7779661016949152,0.8676748582230623,1058.0
Club,0.5609924190213645,0.5764872521246459,0.5463087248322148,745.0
DC2,0.7628140703517589,0.7412109375,0.7857142857142857,966.0
Deuterosomal,0.6610169491525424,0.7358490566037735,0.6,195.0
EC aerocyte capillary,0.8498168498168499,0.8285714285714286,0.8721804511278195,266.0
EC general capillary,0.7602209944751381,0.7462039045553145,0.7747747747747747,444.0
EC venous pulmonary,0.7575757575757576,0.746268656716418,0.7692307692307693,455.0
EC venous systemic,0.65533522190746,0.6912350597609562,0.6229802513464991,557.0
Goblet,0.6584867075664621,0.6491935483870968,0.6680497925311203,723.0
Hillock-like,0.6643952299829643,0.7090909090909091,0.625,312.0
Interstitial macrophages,0.5764316138192144,0.5976447497546614,0.556672760511883,1094.0
Ionocyte,0.5510204081632653,0.6136363636363636,0.5,108.0
Multiciliated,0.9567430025445293,0.9550072568940493,0.9584850691915513,1373.0
NK cells,0.8437499999999999,0.860738255033557,0.8274193548387097,620.0
Non-classical monocytes,0.5165876777251185,0.5902527075812274,0.4592696629213483,712.0
Peribronchial fibroblasts,0.18604651162790695,0.5,0.11428571428571428,210.0
Pericytes,0.8788927335640138,0.8410596026490066,0.9202898550724637,138.0
Plasma cells,0.767361111111111,0.7892857142857143,0.7466216216216216,296.0
SMG duct,0.7794432548179873,0.7711864406779662,0.7878787878787878,231.0
SMG serous,0.9042145593869731,0.9147286821705426,0.8939393939393939,132.0
Suprabasal,0.6866624122527121,0.6862244897959183,0.6871008939974457,783.0
Transitional Club-AT2,0.7322611163670767,0.7087912087912088,0.7573385518590998,511.0
