cell_type,f1,precision,recall,support
AT2 proliferating,0.9621621621621622,0.978021978021978,0.9468085106382979,188.0
Adventitial fibroblasts,0.8777506112469438,0.875609756097561,0.8799019607843137,408.0
Alveolar fibroblasts,0.8817567567567568,0.9,0.8642384105960265,302.0
Alveolar macrophages,0.8575653031049778,0.8579881656804734,0.8571428571428571,1015.0
B cells,0.9765625,0.9715025906735751,0.981675392670157,382.0
Basal resting,0.8401759530791789,0.8438880706921944,0.8364963503649635,685.0
CD4 T cells,0.8665879574970484,0.8544819557625145,0.8790419161676647,835.0
CD8 T cells,0.8131634819532909,0.8218884120171673,0.8046218487394958,952.0
Classical monocytes,0.8564683663833805,0.8556603773584905,0.8572778827977315,1058.0
Club,0.706746826987308,0.7034574468085106,0.7100671140939597,745.0
DC2,0.8680042238648363,0.8857758620689655,0.8509316770186336,966.0
Deuterosomal,0.9465648854961832,0.9393939393939394,0.9538461538461539,195.0
EC aerocyte capillary,0.9379562043795621,0.9113475177304965,0.9661654135338346,266.0
EC general capillary,0.8703703703703703,0.8952380952380953,0.8468468468468469,444.0
EC venous pulmonary,0.8647450110864745,0.87248322147651,0.8571428571428571,455.0
EC venous systemic,0.8649122807017544,0.8456260720411664,0.8850987432675045,557.0
Goblet,0.7601935038009675,0.7596685082872928,0.7607192254495159,723.0
Hillock-like,0.8242811501597445,0.821656050955414,0.8269230769230769,312.0
Interstitial macrophages,0.7610859728506787,0.753584229390681,0.7687385740402194,1094.0
Ionocyte,1.0,1.0,1.0,108.0
Multiciliated,0.9740781307046368,0.9765739385065886,0.9715950473415877,1373.0
NK cells,0.8949044585987261,0.8836477987421384,0.9064516129032258,620.0
Non-classical monocytes,0.8341566690190544,0.8382978723404255,0.8300561797752809,712.0
Peribronchial fibroblasts,0.8380952380952381,0.8380952380952381,0.8380952380952381,210.0
Pericytes,0.966789667896679,0.9849624060150376,0.9492753623188406,138.0
Plasma cells,0.9795918367346939,0.9863013698630136,0.972972972972973,296.0
SMG duct,0.9075268817204301,0.9017094017094017,0.9134199134199135,231.0
SMG serous,0.9571984435797666,0.984,0.9318181818181818,132.0
Suprabasal,0.7350318471337579,0.7331639135959339,0.7369093231162197,783.0
Transitional Club-AT2,0.8985507246376812,0.8874045801526718,0.9099804305283757,511.0
