cell_type,f1,precision,recall,support
AT2 proliferating,0.978494623655914,0.9891304347826086,0.9680851063829787,188.0
Adventitial fibroblasts,0.8793103448275862,0.8836633663366337,0.875,408.0
Alveolar fibroblasts,0.8733766233766234,0.856687898089172,0.890728476821192,302.0
Alveolar macrophages,0.864321608040201,0.882051282051282,0.8472906403940886,1015.0
B cells,0.9790575916230366,0.9790575916230366,0.9790575916230366,382.0
Basal resting,0.8557213930348259,0.8337950138504155,0.8788321167883212,685.0
CD4 T cells,0.8990498812351544,0.8916372202591284,0.9065868263473054,835.0
CD8 T cells,0.8519099947671376,0.848800834202294,0.8550420168067226,952.0
Classical monocytes,0.8636363636363636,0.8479052823315119,0.8799621928166351,1058.0
Club,0.6684672518568535,0.6725543478260869,0.6644295302013423,745.0
DC2,0.8699186991869918,0.8542914171656687,0.8861283643892339,966.0
Deuterosomal,0.923469387755102,0.9187817258883249,0.9282051282051282,195.0
EC aerocyte capillary,0.9553903345724907,0.9448529411764706,0.9661654135338346,266.0
EC general capillary,0.9006772009029346,0.9027149321266968,0.8986486486486487,444.0
EC venous pulmonary,0.9132821075740944,0.9122807017543859,0.9142857142857143,455.0
EC venous systemic,0.8988361683079678,0.8964285714285715,0.9012567324955116,557.0
Goblet,0.7326460481099656,0.7281420765027322,0.7372060857538036,723.0
Hillock-like,0.8161290322580645,0.8214285714285714,0.8108974358974359,312.0
Interstitial macrophages,0.7462962962962963,0.7560975609756098,0.7367458866544789,1094.0
Ionocyte,0.9767441860465116,0.9813084112149533,0.9722222222222222,108.0
Multiciliated,0.9796067006554989,0.9796067006554989,0.9796067006554989,1373.0
NK cells,0.9243287225386493,0.9326765188834154,0.9161290322580645,620.0
Non-classical monocytes,0.8323863636363636,0.8419540229885057,0.8230337078651685,712.0
Peribronchial fibroblasts,0.8304668304668305,0.8578680203045685,0.8047619047619048,210.0
Pericytes,0.9710144927536232,0.9710144927536232,0.9710144927536232,138.0
Plasma cells,0.9915110356536503,0.9965870307167235,0.9864864864864865,296.0
SMG duct,0.9217391304347826,0.925764192139738,0.9177489177489178,231.0
SMG serous,0.9541984732824428,0.9615384615384616,0.946969696969697,132.0
Suprabasal,0.7555266579973993,0.7695364238410596,0.7420178799489144,783.0
Transitional Club-AT2,0.9217221135029354,0.9217221135029354,0.9217221135029354,511.0
