cell_type,f1,precision,recall,support,fold
AT2 proliferating,0.8677966101694915,0.8050314465408805,0.9411764705882353,136.0,1
Adventitial fibroblasts,0.8560371517027864,0.8084795321637427,0.9095394736842105,608.0,1
Alveolar fibroblasts,0.7848383500557413,0.8301886792452831,0.7441860465116279,473.0,1
Alveolar macrophages,0.8440308087291399,0.7832042882668255,0.9151009046624913,1437.0,1
B cells,0.8825910931174089,0.9045643153526971,0.8616600790513834,253.0,1
Basal resting,0.8160123171670516,0.7981927710843374,0.8346456692913385,635.0,1
CD4 T cells,0.8144654088050315,0.7696879643387816,0.8647746243739566,599.0,1
CD8 T cells,0.7971457696228338,0.8222923238696109,0.7734915924826904,1011.0,1
Classical monocytes,0.8171091445427728,0.8470948012232415,0.7891737891737892,1053.0,1
Club,0.6962216624685138,0.6944723618090453,0.697979797979798,990.0,1
DC2,0.8233183856502242,0.8010471204188482,0.8468634686346863,1084.0,1
Deuterosomal,0.6823956442831216,0.7833333333333333,0.6045016077170418,311.0,1
EC aerocyte capillary,0.8,0.9419795221843004,0.6952141057934509,397.0,1
EC general capillary,0.7863924050632911,0.69901547116737,0.8987341772151899,553.0,1
EC venous pulmonary,0.866517524235645,0.8620178041543026,0.8710644677661169,667.0,1
EC venous systemic,0.8113207547169812,0.8461538461538461,0.7792421746293245,607.0,1
Goblet,0.715008431703204,0.7138047138047138,0.7162162162162162,888.0,1
Hillock-like,0.8079470198675497,0.7721518987341772,0.8472222222222222,288.0,1
Interstitial macrophages,0.48864209994952046,0.5209903121636168,0.4600760456273764,1052.0,1
Ionocyte,0.7457627118644068,0.7630057803468208,0.7292817679558011,181.0,1
Multiciliated,0.9561841375485303,0.9446575342465754,0.9679955081414935,1781.0,1
NK cells,0.8272827282728272,0.8584474885844748,0.7983014861995754,471.0,1
Non-classical monocytes,0.5845070422535211,0.6166419019316494,0.5555555555555556,747.0,1
Peribronchial fibroblasts,0.7990543735224587,0.8756476683937824,0.7347826086956522,230.0,1
Pericytes,0.8387096774193549,0.8253968253968254,0.8524590163934426,183.0,1
Plasma cells,0.8624161073825504,0.9049295774647887,0.8237179487179487,312.0,1
SMG duct,0.8557457212713936,0.7990867579908676,0.9210526315789473,190.0,1
SMG mucous,0.9411764705882353,0.9230769230769231,0.96,75.0,1
SMG serous,0.9411764705882353,0.9552238805970149,0.927536231884058,69.0,1
Suprabasal,0.6687747035573123,0.6991735537190082,0.6409090909090909,660.0,1
Transitional Club-AT2,0.8956469886702445,0.9026442307692307,0.8887573964497042,845.0,1
AT2 proliferating,0.8549618320610687,0.9130434782608695,0.8038277511961722,209.0,2
Adventitial fibroblasts,0.8515497553017944,0.815625,0.8907849829351536,293.0,2
Alveolar fibroblasts,0.7300613496932515,0.7828947368421053,0.6839080459770115,174.0,2
Alveolar macrophages,0.7778353184878302,0.8252747252747252,0.7355533790401567,1021.0,2
B cells,0.8954128440366973,0.8621908127208481,0.9312977099236641,262.0,2
Basal resting,0.8603874415497662,0.8726287262872628,0.8484848484848485,759.0,2
CD4 T cells,0.8455284552845529,0.8201892744479495,0.87248322147651,894.0,2
CD8 T cells,0.7805100182149363,0.7862385321100918,0.7748643761301989,1106.0,2
Classical monocytes,0.861904761904762,0.8138489208633094,0.9159919028340081,988.0,2
Club,0.5771578029642546,0.6633266533066132,0.5108024691358025,648.0,2
DC2,0.8390297684674752,0.8493303571428571,0.8289760348583878,918.0,2
Deuterosomal,0.6246246246246246,0.8062015503875969,0.5098039215686274,204.0,2
EC aerocyte capillary,0.9377049180327869,0.9050632911392406,0.9727891156462585,147.0,2
EC general capillary,0.8716707021791767,0.8551068883610451,0.8888888888888888,405.0,2
EC venous pulmonary,0.7639060568603214,0.7725,0.7555012224938875,409.0,2
EC venous systemic,0.7951598962834918,0.8127208480565371,0.7783417935702199,591.0,2
Goblet,0.6633802816901408,0.587281795511222,0.7621359223300971,618.0,2
Hillock-like,0.7418655097613883,0.7402597402597403,0.7434782608695653,230.0,2
Interstitial macrophages,0.6163996229971724,0.5682015638575152,0.6735324407826982,971.0,2
Ionocyte,0.7913043478260869,0.7647058823529411,0.8198198198198198,111.0,2
Multiciliated,0.9661716171617162,0.9551386623164764,0.9774624373956594,1198.0,2
NK cells,0.8250401284109149,0.8609715242881072,0.7919876733436055,649.0,2
Non-classical monocytes,0.5538707102952913,0.6547169811320754,0.47994467496542187,723.0,2
Peribronchial fibroblasts,0.7478991596638656,0.7606837606837606,0.7355371900826446,121.0,2
Pericytes,0.8727272727272727,0.8,0.96,25.0,2
Plasma cells,0.884310618066561,0.8746081504702194,0.8942307692307693,312.0,2
SMG duct,0.8825065274151436,0.8711340206185567,0.8941798941798942,189.0,2
SMG mucous,0.8387096774193549,0.8125,0.8666666666666667,15.0,2
SMG serous,0.9090909090909091,0.8620689655172413,0.9615384615384616,26.0,2
Suprabasal,0.7511792452830188,0.7476525821596244,0.754739336492891,844.0,2
Transitional Club-AT2,0.8177570093457944,0.7829977628635347,0.8557457212713936,409.0,2
AT2 proliferating,0.8,0.7172413793103448,0.9043478260869565,115.0,3
Adventitial fibroblasts,0.7656903765690377,0.7956521739130434,0.7379032258064516,248.0,3
Alveolar fibroblasts,0.7797619047619048,0.7401129943502824,0.8238993710691824,318.0,3
Alveolar macrophages,0.7764705882352941,0.7684346701164295,0.7846763540290621,757.0,3
B cells,0.9316546762589928,0.9418181818181818,0.9217081850533808,562.0,3
Basal resting,0.7997432605905006,0.7710396039603961,0.8306666666666667,750.0,3
CD4 T cells,0.859658208182289,0.8663883089770354,0.8530318602261048,973.0,3
CD8 T cells,0.8009345794392523,0.7762681159420289,0.8272200772200772,1036.0,3
Classical monocytes,0.8670944087992667,0.8247602441150829,0.9140096618357488,1035.0,3
Club,0.6537454164484023,0.6631243358129649,0.6446280991735537,968.0,3
DC2,0.8281081081081081,0.7937823834196891,0.8655367231638418,885.0,3
Deuterosomal,0.5959885386819485,0.7647058823529411,0.48826291079812206,213.0,3
EC aerocyte capillary,0.9203084832904884,0.9421052631578948,0.8994974874371859,398.0,3
EC general capillary,0.8680618744313012,0.8563734290843806,0.8800738007380073,542.0,3
EC venous pulmonary,0.8679706601466992,0.8787128712871287,0.857487922705314,414.0,3
EC venous systemic,0.8707482993197279,0.8619528619528619,0.8797250859106529,582.0,3
Goblet,0.704225352112676,0.6952169076751946,0.7134703196347032,876.0,3
Hillock-like,0.7405541561712846,0.7050359712230215,0.7798408488063661,377.0,3
Interstitial macrophages,0.6463473633284954,0.7068783068783069,0.5953654188948306,1122.0,3
Ionocyte,0.7288135593220338,0.6466165413533834,0.8349514563106796,103.0,3
Multiciliated,0.9618593563766389,0.9561611374407583,0.9676258992805755,1668.0,3
NK cells,0.8809831824062095,0.903183023872679,0.8598484848484849,792.0,3
Non-classical monocytes,0.5660018993352327,0.5900990099009901,0.5437956204379562,548.0,3
Peribronchial fibroblasts,0.8394276629570747,0.8655737704918033,0.8148148148148148,324.0,3
Pericytes,0.9128630705394191,0.9565217391304348,0.873015873015873,252.0,3
Plasma cells,0.8218181818181818,0.8129496402877698,0.8308823529411765,272.0,3
SMG duct,0.8880994671403197,0.8532423208191127,0.9259259259259259,270.0,3
SMG mucous,0.9465020576131687,0.92,0.9745762711864406,118.0,3
SMG serous,0.9090909090909091,0.9090909090909091,0.9090909090909091,165.0,3
Suprabasal,0.6820936639118458,0.7098623853211009,0.6564156945917285,943.0,3
Transitional Club-AT2,0.9035012809564474,0.9264448336252189,0.8816666666666667,600.0,3
AT2 proliferating,0.9117647058823529,0.9370277078085643,0.8878281622911695,419.0,4
Adventitial fibroblasts,0.8035126234906695,0.7393939393939394,0.8798076923076923,416.0,4
Alveolar fibroblasts,0.69,0.6993243243243243,0.680921052631579,304.0,4
Alveolar macrophages,0.8088589311506981,0.76993583868011,0.8519269776876268,986.0,4
B cells,0.8643356643356643,0.9307228915662651,0.8067885117493473,383.0,4
Basal resting,0.7723954877239548,0.6767441860465117,0.8995363214837713,647.0,4
CD4 T cells,0.8814159292035398,0.8576349024110218,0.9065533980582524,824.0,4
CD8 T cells,0.7480680061823802,0.7781350482315113,0.7202380952380952,672.0,4
Classical monocytes,0.7952029520295203,0.7648624667258208,0.8280499519692603,1041.0,4
Club,0.41019955654101997,0.40130151843817785,0.41950113378684806,441.0,4
DC2,0.8002406738868832,0.8050847457627118,0.7954545454545454,836.0,4
Deuterosomal,0.5056179775280899,0.4945054945054945,0.5172413793103449,87.0,4
EC aerocyte capillary,0.82,0.8282828282828283,0.8118811881188119,101.0,4
EC general capillary,0.8462757527733756,0.8291925465838509,0.8640776699029126,309.0,4
EC venous pulmonary,0.8106734434561627,0.8075949367088607,0.8137755102040817,392.0,4
EC venous systemic,0.7596685082872928,0.78125,0.739247311827957,372.0,4
Goblet,0.5416666666666666,0.6138888888888889,0.48464912280701755,456.0,4
Hillock-like,0.6854345165238678,0.7017543859649122,0.6698564593301436,418.0,4
Interstitial macrophages,0.6312450436161776,0.6487367563162184,0.6146718146718146,1295.0,4
Ionocyte,0.15789473684210525,0.225,0.12162162162162163,74.0,4
Multiciliated,0.9570230607966457,0.9500520291363164,0.9640971488912354,947.0,4
NK cells,0.8966542750929368,0.8790087463556852,0.9150227617602428,659.0,4
Non-classical monocytes,0.542016806722689,0.5741839762611276,0.513262599469496,754.0,4
Peribronchial fibroblasts,0.4429530201342282,0.8461538461538461,0.3,110.0,4
Pericytes,0.9439252336448598,0.9351851851851852,0.9528301886792453,106.0,4
Plasma cells,0.8194444444444444,0.7937219730941704,0.84688995215311,209.0,4
SMG duct,0.7989949748743719,0.8688524590163934,0.7395348837209302,215.0,4
SMG mucous,0.7628865979381443,0.7551020408163265,0.7708333333333334,48.0,4
SMG serous,0.946031746031746,0.9738562091503268,0.9197530864197531,162.0,4
Suprabasal,0.5997045790251108,0.651685393258427,0.5554035567715458,731.0,4
Transitional Club-AT2,0.8468271334792122,0.8012422360248447,0.8979118329466357,431.0,4
AT2 proliferating,0.8333333333333334,0.7857142857142857,0.8870967741935484,62.0,5
Adventitial fibroblasts,0.7836383207750269,0.8,0.7679324894514767,474.0,5
Alveolar fibroblasts,0.7455830388692579,0.653250773993808,0.8683127572016461,243.0,5
Alveolar macrophages,0.8248648648648649,0.7809621289662231,0.8739977090492554,873.0,5
B cells,0.8733624454148472,0.8583690987124464,0.8888888888888888,450.0,5
Basal resting,0.8202833706189411,0.7801418439716312,0.8647798742138365,636.0,5
CD4 T cells,0.847385272145144,0.8028311425682507,0.8971751412429378,885.0,5
CD8 T cells,0.7760857304004513,0.8219832735961768,0.7350427350427351,936.0,5
Classical monocytes,0.8320738874895046,0.820364238410596,0.84412265758092,1174.0,5
Club,0.5808219178082191,0.541507024265645,0.6262924667651403,677.0,5
DC2,0.8244340025630073,0.7813765182186235,0.8725135623869801,1106.0,5
Deuterosomal,0.7028753993610224,0.7096774193548387,0.6962025316455697,158.0,5
EC aerocyte capillary,0.9326241134751773,0.9494584837545126,0.9163763066202091,287.0,5
EC general capillary,0.8595848595848596,0.8585365853658536,0.8606356968215159,409.0,5
EC venous pulmonary,0.8723135271807838,0.8690176322418136,0.8756345177664975,394.0,5
EC venous systemic,0.884310618066561,0.8871224165341812,0.8815165876777251,633.0,5
Goblet,0.708361658735554,0.7496402877697842,0.6713917525773195,776.0,5
Hillock-like,0.6398104265402843,0.7670454545454546,0.5487804878048781,246.0,5
Interstitial macrophages,0.6103896103896104,0.5843694493783304,0.6388349514563106,1030.0,5
Ionocyte,0.7346938775510204,0.6923076923076923,0.782608695652174,69.0,5
Multiciliated,0.9637883008356546,0.9742558326629123,0.9535433070866142,1270.0,5
NK cells,0.8361266294227188,0.8253676470588235,0.8471698113207548,530.0,5
Non-classical monocytes,0.4580277098614507,0.6386363636363637,0.3570520965692503,787.0,5
Peribronchial fibroblasts,0.7361702127659574,0.8439024390243902,0.6528301886792452,265.0,5
Pericytes,0.9426229508196722,0.9663865546218487,0.92,125.0,5
Plasma cells,0.8068181818181818,0.8685015290519877,0.753315649867374,377.0,5
SMG duct,0.838475499092559,0.8953488372093024,0.78839590443686,293.0,5
SMG mucous,0.9547511312217195,1.0,0.9134199134199135,231.0,5
SMG serous,0.887189292543021,0.8140350877192982,0.9747899159663865,238.0,5
Suprabasal,0.6702775897088693,0.668918918918919,0.6716417910447762,737.0,5
Transitional Club-AT2,0.8827838827838828,0.8700361010830325,0.895910780669145,269.0,5
