,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,7
Adventitial fibroblasts,0,551,32,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,1,0,0,0,1,5,11,0,0,0,0,0
Alveolar fibroblasts,1,85,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,16,12,1,0,0,0,0
Alveolar macrophages,0,2,0,1318,1,0,0,1,0,4,8,0,0,0,2,1,2,0,81,0,0,0,12,0,1,0,0,0,0,4
B cells,0,0,0,0,217,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,1,0
Basal resting,2,0,0,1,0,529,1,0,1,2,0,0,0,2,1,1,0,17,0,0,1,0,0,0,0,1,0,0,74,2
CD4 T cells,0,0,0,0,1,1,513,73,1,1,0,0,0,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,2,0
CD8 T cells,0,5,3,3,3,1,110,782,3,0,2,0,1,4,0,0,6,5,6,2,3,46,19,0,5,0,0,0,1,1
Classical monocytes,0,0,0,4,0,0,1,0,825,0,9,0,1,5,6,0,0,0,118,0,0,5,78,0,0,0,0,0,0,1
Club,2,1,0,0,0,3,0,0,0,683,0,1,0,0,0,0,200,2,0,3,0,0,1,0,0,0,7,1,48,38
DC2,1,0,0,19,12,0,1,3,16,3,914,0,0,0,0,0,1,0,69,0,2,1,36,0,0,5,0,0,0,1
Deuterosomal,2,0,0,0,0,0,1,0,0,25,0,199,0,0,0,0,25,0,0,0,55,0,1,0,0,0,0,0,1,2
EC aerocyte capillary,0,0,0,1,0,0,0,0,0,0,0,0,268,121,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0
EC general capillary,3,1,1,3,0,0,1,0,0,0,0,0,14,493,6,22,0,0,3,2,0,0,2,0,1,1,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,1,0,0,0,0,29,575,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,0,0,0,1,59,67,477,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Goblet,1,0,0,7,0,4,0,1,0,156,0,16,1,0,0,0,625,1,0,3,21,0,0,0,0,0,22,0,16,14
Hillock-like,0,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,31,0
Interstitial macrophages,0,0,0,261,0,0,1,0,68,3,147,0,0,0,0,0,0,0,481,0,0,1,82,0,0,5,0,0,1,2
Ionocyte,1,0,0,0,0,5,35,1,0,5,0,0,0,1,1,1,4,0,0,121,0,0,0,0,0,3,0,0,3,0
Multiciliated,3,0,0,1,0,1,0,0,0,0,0,33,0,0,0,0,2,0,0,1,1727,1,1,1,0,1,0,0,1,8
NK cells,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,67,0,0,1,2,59,0,39,0,0,0,0,0,0,0,163,0,0,4,412,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,37,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,166,0,0,0,0,0,0
Pericytes,0,1,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,163,0,0,0,0,0
Plasma cells,1,0,1,4,4,3,8,3,1,0,1,0,0,7,1,3,0,0,10,1,6,1,4,0,0,253,0,0,0,0
SMG duct,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,173,4,6,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,64,0,0
Suprabasal,3,0,0,0,0,101,0,0,0,65,0,0,0,0,0,0,11,49,0,0,2,0,0,0,0,0,1,0,427,1
Transitional Club-AT2,14,1,0,1,0,1,1,0,2,35,0,0,0,0,0,0,10,0,1,8,2,0,0,0,0,4,24,0,4,737
