cell_type,f1,precision,recall,support
AT2 proliferating,0.8367346938775511,0.7784810126582279,0.9044117647058824,136.0
Adventitial fibroblasts,0.8529411764705882,0.8055555555555556,0.90625,608.0
Alveolar fibroblasts,0.7821229050279329,0.8293838862559242,0.7399577167019028,473.0
Alveolar macrophages,0.8429804924848098,0.7798816568047338,0.9171885873347251,1437.0
B cells,0.8839103869653768,0.9117647058823529,0.857707509881423,253.0
Basal resting,0.8195197521301317,0.8064024390243902,0.8330708661417323,635.0
CD4 T cells,0.8047058823529412,0.7588757396449705,0.8564273789649416,599.0
CD8 T cells,0.7895002523977789,0.8061855670103093,0.7734915924826904,1011.0
Classical monocytes,0.812807881773399,0.8444216990788127,0.7834757834757835,1053.0
Club,0.6888552697932425,0.6878147029204431,0.6898989898989899,990.0
DC2,0.8204667863554758,0.798951048951049,0.8431734317343174,1084.0
Deuterosomal,0.7107142857142857,0.7991967871485943,0.639871382636656,311.0
EC aerocyte capillary,0.7847730600292826,0.9370629370629371,0.6750629722921915,397.0
EC general capillary,0.7715179968701096,0.68,0.891500904159132,553.0
EC venous pulmonary,0.8640120210368144,0.8659638554216867,0.8620689655172413,667.0
EC venous systemic,0.8098471986417657,0.8353765323992994,0.785831960461285,607.0
Goblet,0.7026419336706015,0.7014590347923682,0.7038288288288288,888.0
Hillock-like,0.7973421926910299,0.7643312101910829,0.8333333333333334,288.0
Interstitial macrophages,0.4841469552088576,0.5144385026737968,0.45722433460076045,1052.0
Ionocyte,0.7138643067846607,0.7658227848101266,0.6685082872928176,181.0
Multiciliated,0.9594444444444444,0.9494227597581089,0.9696799550814149,1781.0
NK cells,0.8164627363737486,0.8574766355140186,0.7791932059447984,471.0
Non-classical monocytes,0.5864768683274021,0.6261398176291794,0.5515394912985274,747.0
Peribronchial fibroblasts,0.7942583732057417,0.8829787234042553,0.7217391304347827,230.0
Pericytes,0.8578947368421053,0.8274111675126904,0.8907103825136612,183.0
Plasma cells,0.856175972927242,0.9068100358422939,0.8108974358974359,312.0
SMG duct,0.812206572769953,0.7330508474576272,0.9105263157894737,190.0
SMG serous,0.927536231884058,0.927536231884058,0.927536231884058,69.0
Suprabasal,0.6692789968652038,0.6931818181818182,0.646969696969697,660.0
Transitional Club-AT2,0.8852852852852853,0.8987804878048781,0.8721893491124261,845.0
