,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,372,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,32
Adventitial fibroblasts,0,366,44,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0
Alveolar fibroblasts,0,88,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,4,0,0,0,0,0,0
Alveolar macrophages,0,0,0,840,1,0,0,0,3,1,3,0,0,1,0,0,0,0,116,0,0,0,19,0,0,1,0,0,0,0,1
B cells,0,0,0,0,309,1,8,7,0,0,41,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,0,0,0,1,0
Basal resting,2,1,0,0,0,582,1,0,0,3,0,0,0,0,0,1,0,10,2,6,0,1,0,0,0,2,0,0,0,36,0
CD4 T cells,0,0,0,0,3,1,747,62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,5,1,0,0,0,0
CD8 T cells,1,0,0,0,3,0,94,484,0,0,1,0,0,0,0,0,0,1,2,0,0,79,3,0,0,4,0,0,0,0,0
Classical monocytes,1,0,1,2,0,0,0,2,862,0,15,0,1,0,1,0,0,0,54,0,0,0,100,0,0,2,0,0,0,0,0
Club,2,0,0,1,0,11,2,0,0,185,1,1,0,0,0,0,85,19,0,4,0,0,0,0,0,0,4,0,0,104,22
DC2,1,0,0,7,13,0,0,0,24,0,665,0,0,1,0,0,0,0,75,0,0,0,44,0,0,6,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,1,0,45,0,0,0,0,7,0,0,0,34,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,1,82,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,1,0,0,0,0,0,16,267,12,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,4,319,65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,0,0,1,0,0,0,32,63,275,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Goblet,0,0,0,4,0,8,0,3,0,150,0,17,0,0,0,0,221,0,0,3,12,0,1,0,0,0,6,9,1,15,6
Hillock-like,1,0,0,0,0,89,0,0,0,1,0,0,0,0,0,0,1,280,0,3,0,0,0,0,0,0,0,0,1,42,0
Interstitial macrophages,0,0,0,183,0,0,1,2,130,2,61,0,0,0,0,0,0,0,796,0,0,1,109,0,1,9,0,0,0,0,0
Ionocyte,0,0,0,0,0,11,7,0,0,41,0,0,0,0,0,0,1,0,0,9,2,0,0,0,0,1,0,0,0,2,0
Multiciliated,0,0,0,3,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,913,0,0,0,0,0,0,1,0,1,4
NK cells,0,0,0,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,49,0,0,2,3,106,0,38,0,0,0,0,0,0,0,168,0,0,1,387,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0
Pericytes,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0
Plasma cells,0,0,1,1,3,1,5,3,2,0,1,0,0,0,0,0,0,0,6,1,0,0,7,0,1,177,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,159,2,1,0,27
SMG mucous,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,149,0,3
Suprabasal,7,0,0,0,0,155,1,0,0,33,0,1,0,0,0,0,28,89,0,10,0,0,0,0,0,0,0,0,1,406,0
Transitional Club-AT2,10,1,0,0,0,1,0,0,0,16,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,5,387
