cell_type,f1,precision,recall,support
Multiciliated,0.9610052945438371,0.9560530391606077,0.9661448601591156,1372.8
SMG serous,0.918515865468964,0.9028550104149581,0.9385417209799136,132.0
Pericytes,0.9021696410301157,0.8966980608668589,0.9116610156177123,138.2
B cells,0.8894713446327221,0.8995330600340876,0.882068674933333,382.0
SMG mucous,0.8888051869561245,0.88213579277865,0.8970992369212709,97.4
EC aerocyte capillary,0.8821275029596904,0.9133778777037553,0.8591516407231833,266.0
Transitional Club-AT2,0.8693032590471163,0.8566730328731722,0.8839984796007091,510.8
AT2 proliferating,0.8535712962892493,0.8316116595269889,0.8848553968712164,188.2
NK cells,0.8532173887211215,0.8653956860319539,0.8424660434945327,620.2
SMG duct,0.8527644379587576,0.8575328791308465,0.8538178479685115,231.4
CD4 T cells,0.8496906547241114,0.8233463185486078,0.8788036490755523,835.0
EC general capillary,0.8463971188064008,0.8196449841125,0.8784820467133029,443.6
Plasma cells,0.8389615067059839,0.8509421740737872,0.8298073345820758,296.4
EC venous pulmonary,0.8362762423759225,0.837968648878421,0.8346927281871797,455.2
Classical monocytes,0.8346770309531653,0.8141861342676101,0.8582695926787454,1058.2
EC venous systemic,0.824241615334811,0.8378399945394852,0.811614590723176,557.0
DC2,0.8230261877351396,0.806124224992546,0.8418688668996882,965.8
Basal resting,0.8137643755300429,0.7797494262700277,0.8556226760280923,685.4
Adventitial fibroblasts,0.8120856455678631,0.7918301290941451,0.8371935728369969,407.8
Alveolar macrophages,0.8064121022935655,0.7855623302608626,0.8322510648937185,1014.8
CD8 T cells,0.7805488207719707,0.796983458749884,0.7661713752227594,952.2
Alveolar fibroblasts,0.746048928676031,0.7411543017511606,0.7602454546782094,302.4
Hillock-like,0.7231223257728749,0.7372494901454612,0.717835655806635,311.8
Peribronchial fibroblasts,0.7131008858087169,0.8383922969495166,0.6475929604544713,210.0
Suprabasal,0.6744059562972314,0.695458566675416,0.6558218939620065,783.0
Goblet,0.6665284781816483,0.6719665187299607,0.6695726667130707,722.8
Ionocyte,0.6316938466811306,0.6183271792721675,0.6576566722720192,107.6
Deuterosomal,0.6223004368957614,0.7116847359868409,0.5632024702079412,194.6
Interstitial macrophages,0.5986047480561952,0.6058352777187975,0.5964961342866062,1094.0
Club,0.583629271246082,0.5927463787264893,0.5798407933682286,744.8
Non-classical monocytes,0.5408848336936369,0.6148556465724412,0.48992210939953595,711.8
