cell_type,f1,precision,recall,support,fold
AT2 proliferating,0.9473684210526315,0.9060402684563759,0.9926470588235294,136.0,1
Adventitial fibroblasts,0.8828382838283828,0.8857615894039735,0.8799342105263158,608.0,1
Alveolar fibroblasts,0.8702928870292888,0.8612836438923396,0.879492600422833,473.0,1
Alveolar macrophages,0.8699054450603195,0.8184049079754602,0.9283228949199722,1437.0,1
B cells,0.9724409448818898,0.9686274509803922,0.9762845849802372,253.0,1
Basal resting,0.8334600760456273,0.8058823529411765,0.862992125984252,635.0,1
CD4 T cells,0.8317460317460318,0.7927382753403933,0.8747913188647746,599.0,1
CD8 T cells,0.818416968442835,0.8579175704989154,0.7823936696340257,1011.0,1
Classical monocytes,0.80521991300145,0.8198818897637795,0.7910731244064577,1053.0,1
Club,0.7215521761929733,0.7502726281352236,0.694949494949495,990.0,1
DC2,0.8551660516605166,0.8551660516605166,0.8551660516605166,1084.0,1
Deuterosomal,0.9429037520391517,0.956953642384106,0.9292604501607717,311.0,1
EC aerocyte capillary,0.9015544041450777,0.928,0.8765743073047859,397.0,1
EC general capillary,0.779291553133515,0.7828467153284672,0.7757685352622061,553.0,1
EC venous pulmonary,0.8624813153961136,0.8599105812220567,0.8650674662668666,667.0,1
EC venous systemic,0.8597972972972973,0.8821490467937608,0.8385502471169687,607.0,1
Goblet,0.7558886509635975,0.7204081632653061,0.795045045045045,888.0,1
Hillock-like,0.8113522537562604,0.7813504823151125,0.84375,288.0,1
Interstitial macrophages,0.6911099949773983,0.7326943556975506,0.6539923954372624,1052.0,1
Ionocyte,0.9746478873239437,0.9942528735632183,0.9558011049723757,181.0,1
Multiciliated,0.9711079943899018,0.9702914798206278,0.9719258843346434,1781.0,1
NK cells,0.8807531380753139,0.8680412371134021,0.8938428874734607,471.0,1
Non-classical monocytes,0.8013605442176871,0.8146611341632088,0.7884872824631861,747.0,1
Peribronchial fibroblasts,0.7688888888888888,0.7863636363636364,0.7521739130434782,230.0,1
Pericytes,0.9695290858725761,0.9831460674157303,0.9562841530054644,183.0,1
Plasma cells,0.9771241830065359,0.9966666666666667,0.9583333333333334,312.0,1
SMG duct,0.8484848484848485,0.8155339805825242,0.8842105263157894,190.0,1
SMG serous,0.9473684210526315,0.984375,0.9130434782608695,69.0,1
Suprabasal,0.7079091620986687,0.7325769854132901,0.6848484848484848,660.0,1
Transitional Club-AT2,0.8712522045855379,0.8656542056074766,0.8769230769230769,845.0,1
AT2 proliferating,0.9711538461538461,0.9758454106280193,0.9665071770334929,209.0,2
Adventitial fibroblasts,0.8777219430485762,0.8618421052631579,0.89419795221843,293.0,2
Alveolar fibroblasts,0.8433734939759037,0.8860759493670886,0.8045977011494253,174.0,2
Alveolar macrophages,0.8248987854251012,0.8534031413612565,0.7982370225269344,1021.0,2
B cells,0.9768339768339769,0.98828125,0.9656488549618321,262.0,2
Basal resting,0.8585034013605443,0.8874824191279888,0.8313570487483531,759.0,2
CD4 T cells,0.88107202680067,0.8795986622073578,0.8825503355704698,894.0,2
CD8 T cells,0.8390646492434664,0.8511627906976744,0.8273056057866185,1106.0,2
Classical monocytes,0.8673978065802592,0.8546168958742633,0.8805668016194332,988.0,2
Club,0.6601941747572816,0.6938775510204082,0.6296296296296297,648.0,2
DC2,0.8552412645590682,0.8711864406779661,0.8398692810457516,918.0,2
Deuterosomal,0.9156010230179028,0.9572192513368984,0.8774509803921569,204.0,2
EC aerocyte capillary,0.9664429530201343,0.9536423841059603,0.9795918367346939,147.0,2
EC general capillary,0.8828828828828829,0.9220430107526881,0.8469135802469135,405.0,2
EC venous pulmonary,0.8160200250312891,0.8358974358974359,0.7970660146699267,409.0,2
EC venous systemic,0.8469635627530364,0.812111801242236,0.8849407783417935,591.0,2
Goblet,0.7063310450038138,0.6681096681096681,0.7491909385113269,618.0,2
Hillock-like,0.7485148514851485,0.6872727272727273,0.8217391304347826,230.0,2
Interstitial macrophages,0.7311297483966452,0.7017045454545454,0.7631307929969104,971.0,2
Ionocyte,0.995475113122172,1.0,0.990990990990991,111.0,2
Multiciliated,0.9757929883138564,0.9757929883138564,0.9757929883138564,1198.0,2
NK cells,0.889739663093415,0.8843226788432268,0.8952234206471494,649.0,2
Non-classical monocytes,0.8095909732016925,0.8258992805755395,0.7939142461964038,723.0,2
Peribronchial fibroblasts,0.7295081967213115,0.7235772357723578,0.7355371900826446,121.0,2
Pericytes,0.9803921568627451,0.9615384615384616,1.0,25.0,2
Plasma cells,0.9711538461538461,0.9711538461538461,0.9711538461538461,312.0,2
SMG duct,0.8616187989556136,0.8505154639175257,0.873015873015873,189.0,2
SMG serous,0.9259259259259259,0.8928571428571429,0.9615384615384616,26.0,2
Suprabasal,0.7710982658959538,0.7528216704288939,0.7902843601895735,844.0,2
Transitional Club-AT2,0.8399014778325123,0.8461538461538461,0.8337408312958435,409.0,2
AT2 proliferating,0.9066666666666666,0.9272727272727272,0.8869565217391304,115.0,3
Adventitial fibroblasts,0.7908902691511387,0.8127659574468085,0.7701612903225806,248.0,3
Alveolar fibroblasts,0.8657187993680885,0.8698412698412699,0.8616352201257862,318.0,3
Alveolar macrophages,0.8169209431345353,0.8598540145985402,0.7780713342140027,757.0,3
B cells,0.970081595648232,0.988909426987061,0.9519572953736655,562.0,3
Basal resting,0.7912524850894632,0.7865612648221344,0.796,750.0,3
CD4 T cells,0.8616352201257862,0.879144385026738,0.8448098663926003,973.0,3
CD8 T cells,0.8182245185533115,0.7968892955169259,0.8407335907335908,1036.0,3
Classical monocytes,0.876555023923445,0.8682464454976303,0.885024154589372,1035.0,3
Club,0.7131630648330058,0.6797752808988764,0.75,968.0,3
DC2,0.8505096262740657,0.8524404086265607,0.848587570621469,885.0,3
Deuterosomal,0.9269406392694064,0.9022222222222223,0.9530516431924883,213.0,3
