cell_type,f1,precision,recall,support
AT2 proliferating,0.9473684210526315,0.9060402684563759,0.9926470588235294,136.0
Adventitial fibroblasts,0.8802642444260942,0.8839137645107794,0.8766447368421053,608.0
Alveolar fibroblasts,0.8682008368200836,0.8592132505175983,0.8773784355179705,473.0
Alveolar macrophages,0.8699054450603195,0.8184049079754602,0.9283228949199722,1437.0
B cells,0.9724409448818898,0.9686274509803922,0.9762845849802372,253.0
Basal resting,0.8334600760456273,0.8058823529411765,0.862992125984252,635.0
CD4 T cells,0.8317460317460318,0.7927382753403933,0.8747913188647746,599.0
CD8 T cells,0.8173823072943611,0.8568329718004338,0.781404549950544,1011.0
Classical monocytes,0.8073394495412844,0.8212180746561886,0.7939221272554606,1053.0
Club,0.7233595800524935,0.7530054644808744,0.695959595959596,990.0
DC2,0.8546377480387632,0.8550323176361958,0.8542435424354243,1084.0
Deuterosomal,0.9444444444444444,0.9601328903654485,0.9292604501607717,311.0
EC aerocyte capillary,0.9038961038961039,0.9329758713136729,0.8765743073047859,397.0
EC general capillary,0.7803992740471869,0.7832422586520947,0.7775768535262206,553.0
EC venous pulmonary,0.8618371919342793,0.8586309523809523,0.8650674662668666,667.0
EC venous systemic,0.8590717299578059,0.8806228373702422,0.8385502471169687,607.0
Goblet,0.7570742124933262,0.7197969543147208,0.7984234234234234,888.0
Hillock-like,0.8107202680067002,0.7831715210355987,0.8402777777777778,288.0
Interstitial macrophages,0.693158953722334,0.7361111111111112,0.6549429657794676,1052.0
Ionocyte,0.9746478873239437,0.9942528735632183,0.9558011049723757,181.0
Multiciliated,0.9711241940005607,0.9697648376259799,0.9724873666479505,1781.0
NK cells,0.8798328108672936,0.8662551440329218,0.8938428874734607,471.0
Non-classical monocytes,0.8010862186014935,0.8126721763085399,0.7898259705488622,747.0
Peribronchial fibroblasts,0.7627494456762749,0.7782805429864253,0.7478260869565218,230.0
Pericytes,0.9695290858725761,0.9831460674157303,0.9562841530054644,183.0
Plasma cells,0.9771241830065359,0.9966666666666667,0.9583333333333334,312.0
SMG duct,0.8463476070528967,0.8115942028985508,0.8842105263157894,190.0
SMG mucous,0.9795918367346939,1.0,0.96,75.0
SMG serous,0.9473684210526315,0.984375,0.9130434782608695,69.0
Suprabasal,0.7085624509033779,0.7357259380097879,0.6833333333333333,660.0
Transitional Club-AT2,0.8707403055229143,0.8646441073512252,0.8769230769230769,845.0
