,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,397,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,1,10
Adventitial fibroblasts,0,351,24,0,0,2,2,0,1,0,1,0,0,1,2,0,1,0,0,0,0,1,1,24,0,0,0,0,0,2,3
Alveolar fibroblasts,0,51,240,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
Alveolar macrophages,1,0,0,840,0,0,0,0,4,1,9,0,0,1,1,0,0,1,112,0,0,1,15,0,0,0,0,0,0,0,0
B cells,0,0,0,0,368,2,4,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Basal resting,0,0,0,1,0,537,0,0,1,2,0,0,0,2,0,1,2,9,2,1,3,1,0,0,0,0,0,0,0,80,5
CD4 T cells,0,0,0,0,0,1,748,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,1,2,0,71,562,0,0,1,0,0,0,0,0,0,1,2,0,0,27,1,0,0,2,0,0,0,0,2
Classical monocytes,0,0,2,0,0,1,4,2,813,2,23,0,1,1,0,2,0,1,93,0,0,0,95,0,0,0,0,0,0,0,1
Club,1,0,0,1,0,11,0,0,1,222,0,1,0,0,1,0,57,21,0,0,0,2,2,0,0,0,1,0,0,103,17
DC2,2,0,0,6,0,0,1,2,9,0,693,0,0,0,0,1,0,0,96,0,0,0,26,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,92,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
EC general capillary,0,1,0,0,0,3,1,0,1,0,0,0,19,245,6,30,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
EC venous pulmonary,0,1,0,2,0,0,0,0,0,0,0,0,0,7,327,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,0,0,0,0,0,0,0,25,36,308,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Goblet,0,1,0,1,0,5,1,0,0,96,1,4,0,0,0,0,266,5,2,0,26,0,4,0,0,0,8,1,0,15,20
Hillock-like,0,0,0,0,0,26,0,1,0,2,0,1,0,0,0,0,3,316,0,0,0,0,0,0,0,0,0,0,0,69,0
Interstitial macrophages,0,0,0,119,0,0,1,2,62,0,72,0,0,0,0,0,1,2,982,0,0,1,52,0,0,0,0,0,0,0,1
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,6,1,0,1,2,0,4,0,0,0,1,7,1,0,0,921,0,0,0,0,0,0,0,0,1,2
NK cells,0,0,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,1
Non-classical monocytes,0,0,0,1,0,1,2,6,47,0,10,0,0,0,0,0,1,0,37,0,0,0,649,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,0
Pericytes,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0
Plasma cells,0,0,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,199,0,0,0,0,2
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,202,0,8,0,2
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,145,0,0
Suprabasal,1,0,0,0,0,96,0,2,0,21,0,0,0,1,1,0,7,76,0,0,1,1,0,0,0,1,2,0,0,520,1
Transitional Club-AT2,2,1,0,0,0,2,1,0,0,17,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,3,0,0,0,393
