cell_type,f1,precision,recall,support
Ionocyte,0.9833117653911998,0.994183908045977,0.972895776727498,107.6
Pericytes,0.9812058924002871,0.9881138605233486,0.9747467377589245,138.2
Plasma cells,0.9783031144027694,0.9878372968035267,0.969092690253414,296.4
B cells,0.9759913586218282,0.9843402820469567,0.9679118865467558,382.0
Multiciliated,0.9717998620458073,0.9750472305105656,0.9686623538981353,1372.8
AT2 proliferating,0.95303172148236,0.9583663347367711,0.9490435388469693,188.2
EC aerocyte capillary,0.9232236741983997,0.920176580621342,0.9273000534267297,266.0
SMG serous,0.9226565221309271,0.9356354728664332,0.9125596742306035,132.0
Deuterosomal,0.9214369690216889,0.9185848908540635,0.9259668734425215,194.6
NK cells,0.9030960951101255,0.8927907580996098,0.9137586027439699,620.2
SMG duct,0.8714207022971878,0.8585972280198687,0.8865877514910647,231.4
CD4 T cells,0.8708887716383025,0.8608328961274718,0.8820799668280669,835.0
Transitional Club-AT2,0.8704203180847054,0.8512906893312406,0.8923729769188856,510.8
EC venous pulmonary,0.8549778821354318,0.8663680011935175,0.8440953296526625,455.2
Adventitial fibroblasts,0.8540414398781142,0.8645156618323329,0.8450604108341728,407.8
EC venous systemic,0.8518120643671653,0.8386092273642571,0.8665344313589509,557.0
Alveolar fibroblasts,0.8509214833013996,0.863185964444255,0.8398793473545536,302.4
DC2,0.8480408502551692,0.8538288360472007,0.8424484184533426,965.8
Alveolar macrophages,0.84581887329091,0.8475528587344492,0.8467722175850623,1014.8
Classical monocytes,0.8388386522437237,0.84363397893891,0.835182574005576,1058.2
EC general capillary,0.8362395446282523,0.8533355325250508,0.8204439277652107,443.6
CD8 T cells,0.8261535105214403,0.8352551019540634,0.8182917014359752,952.2
Basal resting,0.8182084174249791,0.8119748744042754,0.8256912710862274,685.4
Non-classical monocytes,0.808537120422862,0.8142316095288195,0.8046696262610699,711.8
Peribronchial fibroblasts,0.7689758473168231,0.7616650588642898,0.7779985660501234,210.0
Hillock-like,0.755310733647697,0.7388822183581059,0.7786530985777343,311.8
Interstitial macrophages,0.7331996560068876,0.7322137685977191,0.7357912360043181,1094.0
Goblet,0.7291172770189422,0.7357632060556836,0.7274491138753185,722.8
Suprabasal,0.7119622333930784,0.712788199151259,0.7121679024974267,783.0
Club,0.6621764520789756,0.674428166300991,0.6538323467190317,744.8
