cell_type,f1,precision,recall,support,fold
AT2 proliferating,0.8767123287671232,0.8205128205128205,0.9411764705882353,136.0,1
Adventitial fibroblasts,0.8531468531468531,0.8085419734904271,0.9029605263157895,608.0,1
Alveolar fibroblasts,0.7733333333333333,0.8149882903981265,0.7357293868921776,473.0,1
Alveolar macrophages,0.845360824742268,0.7870425914817036,0.9130132219902575,1437.0,1
B cells,0.9018036072144289,0.9146341463414634,0.8893280632411067,253.0,1
Basal resting,0.8252279635258358,0.7973568281938326,0.8551181102362204,635.0,1
CD4 T cells,0.8159362549800797,0.7804878048780488,0.8547579298831386,599.0,1
CD8 T cells,0.7946884576098059,0.8215417106652587,0.7695351137487636,1011.0,1
Classical monocytes,0.8171091445427728,0.8470948012232415,0.7891737891737892,1053.0,1
Club,0.6966966966966966,0.6904761904761905,0.703030303030303,990.0,1
DC2,0.8323595505617978,0.8115687992988606,0.8542435424354243,1084.0,1
Deuterosomal,0.6990990990990991,0.7950819672131147,0.6237942122186495,311.0,1
EC aerocyte capillary,0.8108882521489972,0.9401993355481728,0.7128463476070529,397.0,1
EC general capillary,0.7875,0.6932599724896836,0.9113924050632911,553.0,1
EC venous pulmonary,0.8571428571428571,0.8185538881309686,0.8995502248875562,667.0,1
EC venous systemic,0.7896678966789668,0.8972746331236897,0.7051070840197694,607.0,1
Goblet,0.7142857142857143,0.7079646017699115,0.7207207207207207,888.0,1
Hillock-like,0.7843803056027164,0.7674418604651163,0.8020833333333334,288.0,1
Interstitial macrophages,0.4997486173956762,0.5304162219850587,0.47243346007604564,1052.0,1
Ionocyte,0.8225352112676056,0.8390804597701149,0.8066298342541437,181.0,1
Multiciliated,0.9588888888888889,0.9488730071467839,0.9691184727681078,1781.0,1
NK cells,0.8331515812431843,0.8565022421524664,0.8110403397027601,471.0,1
Non-classical monocytes,0.5806451612903226,0.6097201767304861,0.5542168674698795,747.0,1
Peribronchial fibroblasts,0.7962085308056872,0.875,0.7304347826086957,230.0,1
Pericytes,0.8488063660477454,0.8247422680412371,0.8743169398907104,183.0,1
Plasma cells,0.8614357262103506,0.8989547038327527,0.8269230769230769,312.0,1
SMG duct,0.8775510204081632,0.8514851485148515,0.9052631578947369,190.0,1
SMG serous,0.9552238805970149,0.9846153846153847,0.927536231884058,69.0,1
Suprabasal,0.6650755767700876,0.7001675041876047,0.6333333333333333,660.0,1
Transitional Club-AT2,0.9028436018957346,0.9039145907473309,0.901775147928994,845.0,1
AT2 proliferating,0.9346246973365617,0.946078431372549,0.9234449760765551,209.0,2
Adventitial fibroblasts,0.8552845528455284,0.8167701863354038,0.8976109215017065,293.0,2
Alveolar fibroblasts,0.7384615384615385,0.7947019867549668,0.6896551724137931,174.0,2
Alveolar macrophages,0.772987012987013,0.8230088495575221,0.7286973555337904,1021.0,2
B cells,0.8913443830570903,0.8612099644128114,0.9236641221374046,262.0,2
Basal resting,0.8678996036988111,0.8701986754966887,0.8656126482213439,759.0,2
CD4 T cells,0.850624660510592,0.8268215417106652,0.8758389261744967,894.0,2
CD8 T cells,0.7868852459016393,0.7926605504587156,0.7811934900542495,1106.0,2
Classical monocytes,0.8616262482168331,0.8125560538116592,0.917004048582996,988.0,2
Club,0.6159052453468697,0.6816479400749064,0.5617283950617284,648.0,2
DC2,0.8465373961218836,0.8613303269447576,0.8322440087145969,918.0,2
Deuterosomal,0.6121212121212121,0.8015873015873016,0.4950980392156863,204.0,2
EC aerocyte capillary,0.9463087248322147,0.9337748344370861,0.9591836734693877,147.0,2
EC general capillary,0.8708487084870848,0.8676470588235294,0.8740740740740741,405.0,2
EC venous pulmonary,0.762962962962963,0.770573566084788,0.7555012224938875,409.0,2
EC venous systemic,0.8,0.8082901554404145,0.7918781725888325,591.0,2
Goblet,0.6862170087976539,0.6273458445040214,0.7572815533980582,618.0,2
Hillock-like,0.7364016736401674,0.7096774193548387,0.7652173913043478,230.0,2
Interstitial macrophages,0.6202057998129092,0.5681233933161953,0.6828012358393409,971.0,2
Ionocyte,0.8583690987124464,0.819672131147541,0.9009009009009009,111.0,2
Multiciliated,0.9662551440329218,0.952922077922078,0.9799666110183639,1198.0,2
NK cells,0.8337311058074781,0.8618421052631579,0.8073959938366718,649.0,2
Non-classical monocytes,0.5482315112540193,0.654510556621881,0.47164591977869985,723.0,2
Peribronchial fibroblasts,0.7478991596638656,0.7606837606837606,0.7355371900826446,121.0,2
Pericytes,0.8214285714285714,0.7419354838709677,0.92,25.0,2
Plasma cells,0.8969889064976229,0.8871473354231975,0.907051282051282,312.0,2
SMG duct,0.8808290155440415,0.8629441624365483,0.8994708994708994,189.0,2
SMG serous,0.9259259259259259,0.8928571428571429,0.9615384615384616,26.0,2
Suprabasal,0.7682276229994073,0.7686832740213523,0.7677725118483413,844.0,2
Transitional Club-AT2,0.8443908323281062,0.8333333333333334,0.8557457212713936,409.0,2
