cell_type,f1,precision,recall,support
AT2 proliferating,0.8767123287671232,0.8205128205128205,0.9411764705882353,136.0
Adventitial fibroblasts,0.8531468531468531,0.8085419734904271,0.9029605263157895,608.0
Alveolar fibroblasts,0.7733333333333333,0.8149882903981265,0.7357293868921776,473.0
Alveolar macrophages,0.845360824742268,0.7870425914817036,0.9130132219902575,1437.0
B cells,0.9018036072144289,0.9146341463414634,0.8893280632411067,253.0
Basal resting,0.8252279635258358,0.7973568281938326,0.8551181102362204,635.0
CD4 T cells,0.8159362549800797,0.7804878048780488,0.8547579298831386,599.0
CD8 T cells,0.7946884576098059,0.8215417106652587,0.7695351137487636,1011.0
Classical monocytes,0.8171091445427728,0.8470948012232415,0.7891737891737892,1053.0
Club,0.6966966966966966,0.6904761904761905,0.703030303030303,990.0
DC2,0.8323595505617978,0.8115687992988606,0.8542435424354243,1084.0
Deuterosomal,0.6990990990990991,0.7950819672131147,0.6237942122186495,311.0
EC aerocyte capillary,0.8108882521489972,0.9401993355481728,0.7128463476070529,397.0
EC general capillary,0.7875,0.6932599724896836,0.9113924050632911,553.0
EC venous pulmonary,0.8571428571428571,0.8185538881309686,0.8995502248875562,667.0
EC venous systemic,0.7896678966789668,0.8972746331236897,0.7051070840197694,607.0
Goblet,0.7142857142857143,0.7079646017699115,0.7207207207207207,888.0
Hillock-like,0.7843803056027164,0.7674418604651163,0.8020833333333334,288.0
Interstitial macrophages,0.4997486173956762,0.5304162219850587,0.47243346007604564,1052.0
Ionocyte,0.8225352112676056,0.8390804597701149,0.8066298342541437,181.0
Multiciliated,0.9588888888888889,0.9488730071467839,0.9691184727681078,1781.0
NK cells,0.8331515812431843,0.8565022421524664,0.8110403397027601,471.0
Non-classical monocytes,0.5806451612903226,0.6097201767304861,0.5542168674698795,747.0
Peribronchial fibroblasts,0.7962085308056872,0.875,0.7304347826086957,230.0
Pericytes,0.8488063660477454,0.8247422680412371,0.8743169398907104,183.0
Plasma cells,0.8614357262103506,0.8989547038327527,0.8269230769230769,312.0
SMG duct,0.8775510204081632,0.8514851485148515,0.9052631578947369,190.0
SMG serous,0.9552238805970149,0.9846153846153847,0.927536231884058,69.0
Suprabasal,0.6650755767700876,0.7001675041876047,0.6333333333333333,660.0
Transitional Club-AT2,0.9028436018957346,0.9039145907473309,0.901775147928994,845.0
