,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Adventitial fibroblasts,0,369,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,0,0,0,0
Alveolar fibroblasts,0,22,212,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,0
Alveolar macrophages,0,2,0,759,0,0,0,1,3,1,11,0,0,0,1,0,0,0,81,0,0,0,13,0,0,0,1,0,0,0
B cells,0,0,0,0,397,1,2,1,2,0,27,0,0,0,0,0,0,0,4,1,0,0,2,0,0,13,0,0,0,0
Basal resting,0,0,0,0,1,550,0,0,0,10,0,0,0,0,0,0,0,3,0,4,1,0,0,0,0,2,1,0,64,0
CD4 T cells,0,1,0,0,2,1,794,62,4,0,2,0,0,0,0,0,0,0,4,0,0,0,4,0,0,10,1,0,0,0
CD8 T cells,0,0,0,1,4,0,137,694,1,0,0,0,0,2,0,0,2,0,1,0,1,90,3,0,0,0,0,0,0,0
Classical monocytes,0,0,0,2,0,0,1,0,991,0,39,0,0,1,0,0,1,0,86,0,0,2,50,0,0,1,0,0,0,0
Club,0,0,0,1,0,2,0,0,0,405,1,0,0,0,0,0,155,4,0,1,0,0,0,0,0,1,3,0,91,13
DC2,0,0,0,14,23,2,1,0,12,0,974,0,0,0,0,1,0,0,49,0,0,1,29,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,8,0,109,0,0,0,0,15,0,0,2,24,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,1,0,0,0,0,0,0,0,0,264,20,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EC general capillary,0,0,0,1,1,0,2,0,1,0,0,0,14,347,4,35,0,0,1,0,0,0,0,0,0,3,0,0,0,0
EC venous pulmonary,0,0,1,1,0,0,0,0,0,0,0,1,0,13,343,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,2,0,0,1,21,44,560,0,0,0,0,0,0,2,0,0,3,0,0,0,0
Goblet,0,0,0,0,0,0,0,0,0,182,0,5,0,0,0,0,556,0,0,0,8,0,0,0,0,0,3,0,12,10
Hillock-like,0,0,0,0,0,31,0,0,0,10,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,1,0,65,0
Interstitial macrophages,0,0,0,152,0,0,0,1,71,0,101,0,0,1,0,0,0,0,651,0,0,0,53,0,0,0,0,0,0,0
Ionocyte,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,3,0,0,58,1,0,0,1,0,0,0,0,1,0
Multiciliated,0,0,0,0,0,0,0,0,0,7,0,41,0,0,1,0,5,0,0,1,1214,1,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,41,0,0,0,1,127,0,98,0,0,0,0,0,0,0,238,0,0,1,278,0,0,3,0,0,0,0
Peribronchial fibroblasts,0,67,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,173,1,0,0,0,0,0
Pericytes,0,0,12,3,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
Plasma cells,0,0,0,0,11,3,35,5,1,0,0,0,0,0,0,0,0,0,3,22,0,1,0,1,0,295,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,239,43,2,2
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,230,0,0
Suprabasal,1,0,0,0,1,96,0,0,0,66,3,0,0,0,0,0,6,40,1,0,2,0,0,0,0,0,2,0,518,1
Transitional Club-AT2,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,248
