cell_type,f1,precision,recall,support
Multiciliated,0.9609923884191909,0.9545344094408715,0.9676452111607551,1372.8
SMG serous,0.9301346025616148,0.9182574896367999,0.9454805773305347,132.0
B cells,0.9013563300370249,0.9146901037889249,0.8901537035563285,382.0
AT2 proliferating,0.8992752797778898,0.8770857763834059,0.9259780103745083,188.2
Transitional Club-AT2,0.8942543154956806,0.8884317910157303,0.9008389734617175,510.8
Pericytes,0.8892325126594706,0.8873468498174691,0.8976008542854197,138.2
EC aerocyte capillary,0.8880811735630327,0.916539764347944,0.8661516507215282,266.0
SMG duct,0.8863972477594098,0.8842327908886988,0.8902882936013384,231.4
NK cells,0.8560826663367063,0.8648161895801417,0.8485037569748878,620.2
CD4 T cells,0.8526944107780864,0.8286867477614261,0.8787790873935404,835.0
EC general capillary,0.8492810196368789,0.8280067662516071,0.8766279653593703,443.6
Plasma cells,0.845140628531793,0.8530147522307201,0.8398049443528253,296.4
EC venous pulmonary,0.835293089021568,0.8300255631416439,0.8414425798057952,455.2
Classical monocytes,0.8330330354593564,0.8137151082315762,0.8551914526990826,1058.2
DC2,0.8267136560462681,0.809908781343829,0.8462112087260151,965.8
Basal resting,0.8230844437772984,0.78663725265984,0.8670034145301585,685.4
EC venous systemic,0.8229073722537029,0.8463699594329285,0.8046384548714156,557.0
Adventitial fibroblasts,0.8166944130277021,0.7938695904135252,0.8438812116981225,407.8
Alveolar macrophages,0.8059107224652609,0.7874752760970856,0.8291590204955522,1014.8
CD8 T cells,0.7822909649836959,0.7999540121381239,0.7667213898362717,952.2
Alveolar fibroblasts,0.7448884739894214,0.7413093525219269,0.757952942200261,302.4
Hillock-like,0.72520053969373,0.7355004054712355,0.7219310699271674,311.8
Peribronchial fibroblasts,0.7131777493157935,0.8429778254081659,0.6467233952370801,210.0
Suprabasal,0.6920655210628806,0.7088496446323009,0.6768559676473636,783.0
Goblet,0.6757323536808659,0.685960025164362,0.6747201400699174,722.8
Ionocyte,0.6627446480042408,0.6342541015566798,0.7090448127545628,107.6
Deuterosomal,0.6163314300747124,0.7093081288488621,0.5563783564311386,194.6
Interstitial macrophages,0.6021251431040258,0.6073496010666012,0.6021590744071486,1094.0
Club,0.5937825910872396,0.6038425472626359,0.5861740977007271,744.8
Non-classical monocytes,0.5388340846249147,0.6143372133204584,0.48756524902292747,711.8
