,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventitial fibroblasts,1,568,24,1,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0
Alveolar fibroblasts,0,21,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
Alveolar macrophages,0,2,0,1356,0,2,0,1,0,4,10,0,0,1,1,1,1,0,48,0,0,1,5,0,1,0,0,0,0,0,3
B cells,0,0,0,0,250,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,1,1,0,0,0,564,0,1,2,8,0,0,0,2,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,44,2
CD4 T cells,0,0,0,0,0,1,529,65,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
CD8 T cells,0,4,0,6,2,0,83,863,3,0,3,0,0,4,0,1,1,0,1,0,1,31,5,0,2,0,0,0,0,1,0
Classical monocytes,0,1,0,11,0,0,1,1,901,1,10,0,2,0,7,0,0,0,59,0,0,2,56,0,1,0,0,0,0,0,0
Club,0,1,0,1,0,6,1,1,1,726,0,2,2,0,0,0,148,1,0,0,0,0,1,0,0,1,1,0,0,37,60
DC2,0,0,0,9,3,0,1,3,23,1,954,0,0,0,0,0,0,0,58,1,2,0,29,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,280,0,0,0,0,3,0,0,0,23,0,1,0,0,0,0,0,0,0,2
EC aerocyte capillary,0,0,0,0,0,0,1,0,0,0,0,0,320,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,2,0,2,0,0,1,0,1,2,0,0,5,514,11,12,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,31,590,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
EC venous systemic,0,1,0,0,0,0,0,0,0,0,1,0,0,41,38,525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Goblet,0,0,0,7,0,1,0,0,0,150,0,2,0,0,0,0,646,1,0,0,40,0,1,0,0,0,23,0,0,2,15
Hillock-like,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,266,0,0,0,0,0,0,0,0,0,0,0,14,0
Interstitial macrophages,1,0,0,171,0,1,0,0,60,0,112,0,0,1,0,0,1,0,672,0,0,0,33,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,2,0,0,173,1,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,3,0,0,0,1760,1,1,0,0,0,0,0,0,0,9
NK cells,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,428,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,16,0,0,1,2,78,0,9,0,0,0,0,0,0,0,44,0,0,0,596,0,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0
Pericytes,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
Plasma cells,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,308,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,172,1,1,0,1
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,73,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,64,0,0
Suprabasal,2,0,0,0,0,95,0,0,0,56,0,0,0,0,0,0,9,40,0,0,3,0,0,0,0,0,0,0,0,455,0
Transitional Club-AT2,4,3,0,0,0,7,0,0,2,30,0,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,3,0,0,1,780
