,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Adventitial fibroblasts,0,436,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,0,0
Alveolar fibroblasts,0,15,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Alveolar macrophages,0,2,0,764,1,0,2,1,5,1,7,0,0,0,0,1,0,0,85,0,0,0,2,0,0,0,1,0,0,1
B cells,0,0,0,1,434,1,2,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,575,1,1,0,2,1,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,48,0
CD4 T cells,0,1,0,0,0,0,804,75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CD8 T cells,0,0,0,1,1,0,61,812,0,0,1,0,1,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0
Classical monocytes,0,0,0,2,0,1,1,0,1044,1,27,0,1,0,0,0,0,0,62,0,0,0,35,0,0,0,0,0,0,0
Club,0,0,0,2,0,3,0,0,0,467,0,0,0,0,0,0,121,3,0,0,1,0,0,0,0,0,1,0,65,14
DC2,0,0,0,8,2,3,0,0,34,0,990,0,0,0,0,1,0,0,65,0,0,0,3,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,4,0,152,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,1,0,0,0,0,0,0,270,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,0,2,0,0,0,0,0,0,5,340,3,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EC venous pulmonary,0,1,0,2,0,0,0,0,0,0,0,0,0,15,340,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,0,0,1,1,0,0,0,17,30,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,0,0,0,0,0,0,116,0,6,0,0,0,0,610,2,0,0,9,1,0,0,0,0,1,0,24,7
Hillock-like,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,1,0,66,0
Interstitial macrophages,0,0,0,77,0,0,0,1,97,0,94,0,0,1,0,0,0,0,746,0,0,0,13,0,0,1,0,0,0,0
Ionocyte,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,66,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,0,0,5,0,1,0,7,0,4,0,0,1,0,7,0,0,0,1245,0,0,0,0,0,0,0,0,0
NK cells,0,0,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,492,4,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,3,0,0,0,0,100,0,26,0,0,0,0,0,0,0,31,0,0,0,627,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0
Pericytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0
Plasma cells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,375,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,239,37,0,1
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,235,0,0
Suprabasal,1,0,0,0,0,85,0,0,2,69,4,0,0,0,0,0,0,33,0,0,4,0,0,0,0,0,0,0,539,0
Transitional Club-AT2,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,257
