cell_type,f1,precision,recall,support
AT2 proliferating,0.9672131147540983,0.9833333333333333,0.9516129032258065,62.0
Adventitial fibroblasts,0.9159663865546218,0.9121338912133892,0.919831223628692,474.0
Alveolar fibroblasts,0.8975409836065574,0.8938775510204081,0.9012345679012346,243.0
Alveolar macrophages,0.8806916426512968,0.8863109048723898,0.8751431844215349,873.0
B cells,0.9774774774774775,0.9908675799086758,0.9644444444444444,450.0
Basal resting,0.869894099848714,0.8381924198250729,0.9040880503144654,636.0
CD4 T cells,0.9146757679180887,0.9209621993127147,0.9084745762711864,885.0
CD8 T cells,0.8726491133799033,0.8778378378378379,0.8675213675213675,936.0
Classical monocytes,0.848780487804878,0.8118195956454122,0.889267461669506,1174.0
Club,0.6837481698389458,0.6777939042089985,0.689807976366322,677.0
DC2,0.872631115028647,0.8512467755803955,0.895117540687161,1106.0
Deuterosomal,0.95,0.9382716049382716,0.9620253164556962,158.0
EC aerocyte capillary,0.9574468085106383,0.9747292418772563,0.9407665505226481,287.0
EC general capillary,0.8542713567839196,0.8785529715762274,0.8312958435207825,409.0
EC venous pulmonary,0.8854166666666666,0.9090909090909091,0.8629441624365483,394.0
EC venous systemic,0.8887195121951219,0.8586156111929307,0.9210110584518167,633.0
Goblet,0.7979071288423807,0.8100929614873837,0.7860824742268041,776.0
Hillock-like,0.7276785714285714,0.806930693069307,0.6626016260162602,246.0
Interstitial macrophages,0.7389796929172858,0.7542972699696663,0.7242718446601941,1030.0
Ionocyte,0.9777777777777777,1.0,0.9565217391304348,69.0
Multiciliated,0.9810874704491725,0.9818611987381703,0.9803149606299213,1270.0
NK cells,0.9085872576177285,0.8896925858951176,0.9283018867924528,530.0
Non-classical monocytes,0.8519021739130435,0.9153284671532846,0.7966963151207116,787.0
Peribronchial fibroblasts,0.8652751423149905,0.8702290076335878,0.8603773584905661,265.0
Pericytes,1.0,1.0,1.0,125.0
Plasma cells,0.9946949602122016,0.9946949602122016,0.9946949602122016,377.0
SMG duct,0.8835489833641405,0.9637096774193549,0.8156996587030717,293.0
SMG serous,0.9215686274509803,0.8639705882352942,0.9873949579831933,238.0
Suprabasal,0.7283783783783784,0.7254374158815612,0.7313432835820896,737.0
Transitional Club-AT2,0.9328493647912885,0.9113475177304965,0.9553903345724907,269.0
