cell_type,f1,precision,recall,support
Plasma cells,0.9904923586459067,0.9896096259877301,0.9913924622048889,296.4
Pericytes,0.9838830412499894,0.9822391276509389,0.9857007840769054,138.2
Ionocyte,0.9802788542119508,0.9905588534320217,0.9704088398630469,107.6
Multiciliated,0.978690871320859,0.9743461261612151,0.9832287829110076,1372.8
B cells,0.9753446788355399,0.9791906947570661,0.9716093103173653,382.0
AT2 proliferating,0.9747648833614392,0.9737071584369603,0.9762015866492335,188.2
Deuterosomal,0.9276190142080306,0.9319649575196086,0.9255177755103553,194.6
SMG serous,0.9255611740599354,0.929752282289434,0.9241586458125248,132.0
EC aerocyte capillary,0.9206228538754482,0.9266531769206743,0.9191816502002604,266.0
NK cells,0.9186325292473292,0.9240207241102556,0.9142032471426983,620.2
Transitional Club-AT2,0.9158945441779387,0.9160301410025069,0.9164297682412892,510.8
CD4 T cells,0.8968934976165569,0.8961232837125455,0.8980641046720311,835.0
SMG duct,0.8930933044274557,0.8879253383331541,0.9027031809489063,231.4
EC venous pulmonary,0.8929215495126112,0.899356433378206,0.8870052840921876,455.2
Adventitial fibroblasts,0.889274927264198,0.8846640380758803,0.8970240420032971,407.8
EC venous systemic,0.8816318908058085,0.8824128573529075,0.8822274774807919,557.0
Alveolar fibroblasts,0.877420814820909,0.8888102814024036,0.8680718552168291,302.4
EC general capillary,0.8763100313295066,0.8639519768616569,0.8918372312518328,443.6
DC2,0.869078379692457,0.8668744709557537,0.8732497558701018,965.8
Alveolar macrophages,0.8663964529677239,0.8806559289231679,0.8554042197450091,1014.8
Basal resting,0.8627561664791991,0.8367109689441456,0.8908747412067448,685.4
Classical monocytes,0.8603364161676742,0.8488049962526827,0.8730514585988972,1058.2
CD8 T cells,0.859162426413573,0.8575464449442178,0.8610330232243146,952.2
Peribronchial fibroblasts,0.839423920235841,0.85538890129087,0.8258125792692128,210.0
Non-classical monocytes,0.8214330423541469,0.8412458722809995,0.805111932954184,711.8
Hillock-like,0.8021207379248834,0.8082812342790449,0.8016954266477452,311.8
Interstitial macrophages,0.745554786730261,0.7498037096577151,0.7448176113546089,1094.0
Suprabasal,0.7375939165625459,0.7589848554067304,0.7201180318428598,783.0
Goblet,0.7343388062236701,0.7569700235188719,0.7230921403020326,722.8
Club,0.6518167306267942,0.6545937258568927,0.6510079732979974,744.8
