,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,0,357,18,2,0,1,0,0,0,2,0,0,0,0,3,0,1,0,1,0,0,0,0,22,0,0,0,0,0,0,1
Alveolar fibroblasts,0,21,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
Alveolar macrophages,0,1,1,861,0,0,0,0,5,4,14,0,0,1,1,0,0,1,110,0,0,0,15,0,0,0,0,0,0,0,1
B cells,0,0,0,0,370,3,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,1,580,0,1,0,7,0,1,0,1,0,0,1,7,0,0,2,0,0,1,0,0,3,0,0,78,3
CD4 T cells,0,0,0,0,1,1,751,76,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
CD8 T cells,0,0,0,0,1,1,99,789,1,2,1,0,0,1,0,0,0,2,3,0,0,48,0,0,0,0,0,0,0,2,2
Classical monocytes,0,0,0,8,0,0,2,1,893,0,17,0,0,0,2,1,0,1,54,0,1,1,74,0,0,0,1,0,0,2,0
Club,0,0,0,0,0,9,0,0,1,521,0,4,0,1,0,0,105,10,0,0,1,0,0,0,0,0,2,1,0,56,34
DC2,0,0,0,9,0,0,1,5,19,1,834,0,0,0,1,0,1,0,77,0,1,0,17,0,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,3,0,181,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,249,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,2,0,0,1,2,1,2,0,0,13,380,14,27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous pulmonary,0,3,0,0,0,0,0,0,0,0,0,0,0,12,400,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,0,0,1,1,1,1,0,0,29,38,485,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,2,0,0,1,1,0,94,0,6,0,0,0,0,562,5,0,0,13,0,3,0,0,0,9,1,0,13,13
Hillock-like,0,0,0,1,0,7,1,0,0,5,0,0,0,0,0,0,4,255,0,0,1,1,0,0,0,0,1,0,0,36,0
Interstitial macrophages,0,0,0,105,0,1,1,2,46,1,64,0,0,0,0,0,1,1,850,0,0,0,21,0,0,0,0,0,0,1,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,106,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,1,0,11,0,0,1,1,0,3,0,0,0,0,9,1,0,0,1338,1,0,0,0,0,1,0,0,3,2
NK cells,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,1,576,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,6,0,0,0,0,60,0,14,0,0,0,0,0,0,0,39,0,1,0,590,0,0,0,0,1,0,0,1
Peribronchial fibroblasts,0,23,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0
Pericytes,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
Plasma cells,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,294,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,211,2,2,2,2
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,93,2,0,0
SMG serous,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,119,1,0
Suprabasal,2,0,0,0,0,83,0,0,1,51,1,1,0,1,0,0,13,38,0,0,2,0,0,0,0,0,2,0,0,587,1
Transitional Club-AT2,4,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,13,0,0,0,2,0,1,0,0,0,7,0,1,2,450
