cell_type,f1,precision,recall,support
AT2 proliferating,0.9442970822281167,0.9417989417989417,0.9468085106382979,188.0
Adventitial fibroblasts,0.8557692307692307,0.839622641509434,0.8725490196078431,408.0
Alveolar fibroblasts,0.7993421052631579,0.7941176470588235,0.804635761589404,302.0
Alveolar macrophages,0.8120805369127517,0.7908496732026143,0.8344827586206897,1015.0
B cells,0.9295774647887324,0.9097744360902256,0.9502617801047121,382.0
Basal resting,0.8320449754040758,0.8021680216802168,0.8642335766423358,685.0
CD4 T cells,0.8596491228070176,0.84,0.8802395209580839,835.0
CD8 T cells,0.7831134564643799,0.7868504772004242,0.7794117647058824,952.0
Classical monocytes,0.8400184416781927,0.81998199819982,0.8610586011342155,1058.0
Club,0.6343490304709142,0.6552217453505007,0.614765100671141,745.0
DC2,0.8393782383419689,0.8402489626556017,0.8385093167701864,966.0
Deuterosomal,0.6910112359550562,0.7639751552795031,0.6307692307692307,195.0
EC aerocyte capillary,0.9227871939736346,0.9245283018867925,0.9210526315789473,266.0
EC general capillary,0.8669623059866962,0.8537117903930131,0.8806306306306306,444.0
EC venous pulmonary,0.8411829134720701,0.8384279475982532,0.843956043956044,455.0
EC venous systemic,0.8406593406593407,0.8579439252336448,0.8240574506283662,557.0
Goblet,0.7332873880082702,0.7307692307692307,0.73582295988935,723.0
Hillock-like,0.7512038523274478,0.752411575562701,0.75,312.0
Interstitial macrophages,0.6352514725872225,0.6298292902066487,0.6407678244972578,1094.0
Ionocyte,0.8727272727272727,0.8571428571428571,0.8888888888888888,108.0
Multiciliated,0.9673676577229877,0.9631768953068592,0.9715950473415877,1373.0
NK cells,0.8486352357320099,0.8709677419354839,0.8274193548387097,620.0
Non-classical monocytes,0.595679012345679,0.660958904109589,0.5421348314606742,712.0
Peribronchial fibroblasts,0.7819548872180451,0.8253968253968254,0.7428571428571429,210.0
Pericytes,0.927007299270073,0.9338235294117647,0.9202898550724637,138.0
Plasma cells,0.8797250859106529,0.8951048951048951,0.8648648648648649,296.0
SMG duct,0.8823529411764706,0.8571428571428571,0.9090909090909091,231.0
SMG serous,0.9438202247191011,0.9333333333333333,0.9545454545454546,132.0
Suprabasal,0.7307692307692307,0.7335907335907336,0.7279693486590039,783.0
Transitional Club-AT2,0.901077375122429,0.9019607843137255,0.9001956947162426,511.0
