,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
Adventitial fibroblasts,0,362,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,13,2,3,0,0,0,0,0
Alveolar fibroblasts,0,43,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0
Alveolar macrophages,0,1,0,862,1,0,0,0,2,1,16,0,0,2,1,0,1,0,114,0,0,1,13,0,0,0,0,0,0,0,0
B cells,0,0,0,0,350,0,7,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0
Basal resting,0,1,0,0,3,602,0,0,0,3,0,0,0,0,0,1,1,9,1,4,0,0,0,0,0,1,1,0,0,56,3
CD4 T cells,0,0,0,0,1,0,743,80,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,1
CD8 T cells,0,0,1,1,7,3,121,737,3,0,1,1,0,0,0,0,3,1,2,0,0,64,7,0,0,0,0,0,0,0,0
Classical monocytes,0,0,0,1,0,0,0,0,915,0,13,0,0,0,1,0,0,0,62,0,0,1,63,0,0,0,0,0,1,1,0
Club,1,0,0,1,0,8,0,0,0,474,0,2,0,0,0,0,142,20,1,1,0,0,0,0,0,1,2,0,0,68,24
DC2,0,0,0,12,25,0,0,1,18,1,806,0,0,0,0,0,0,0,63,0,0,0,36,0,0,4,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,3,0,133,0,0,0,0,13,0,0,2,43,0,0,0,0,0,0,0,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,246,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,1,1,0,1,0,1,0,0,0,22,390,10,14,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,5,401,47,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,1,0,0,0,0,0,1,28,70,453,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Goblet,0,0,0,1,0,2,1,2,0,115,0,8,0,0,0,0,547,0,0,8,9,0,0,0,0,0,7,0,0,13,10
Hillock-like,0,0,0,0,0,29,0,0,0,5,0,0,0,0,0,0,1,229,0,1,0,0,0,0,0,0,1,0,0,46,0
Interstitial macrophages,1,0,0,170,0,0,0,0,71,1,86,0,0,0,0,0,0,0,661,2,0,1,97,0,0,4,0,0,0,0,0
Ionocyte,0,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,3,0,0,92,1,0,0,0,0,2,0,0,0,3,0
Multiciliated,2,0,0,2,0,0,0,0,0,1,0,28,0,0,0,0,3,0,0,1,1329,0,0,0,0,0,0,0,0,2,5
NK cells,0,0,0,0,0,0,2,95,0,0,0,0,0,0,0,0,0,0,0,0,0,522,1,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,37,1,0,0,0,95,0,37,0,0,0,0,0,0,0,144,0,0,2,393,0,0,2,0,0,0,0,1
Peribronchial fibroblasts,0,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,155,0,0,0,0,0,0,0
Pericytes,0,1,5,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,0
Plasma cells,1,0,0,1,5,0,9,2,1,0,0,0,0,3,0,2,0,0,5,2,1,0,6,0,0,258,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,208,0,10,2,1
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,92,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,123,0,0
Suprabasal,3,0,0,0,0,112,1,0,0,51,0,0,0,0,0,0,18,39,0,2,1,0,0,0,0,1,3,0,0,552,0
Transitional Club-AT2,13,0,0,0,0,1,0,0,0,23,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,0,0,3,460
