,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Adventitial fibroblasts,0,361,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,2,4,0,0,0,0,0
Alveolar fibroblasts,0,43,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,0,0,0,0,0
Alveolar macrophages,0,1,0,863,1,0,1,1,2,1,15,0,0,2,2,0,1,0,113,0,0,1,11,0,0,0,0,0,0,0,0
B cells,0,0,0,0,349,0,9,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Basal resting,0,1,0,0,0,607,0,0,0,2,0,0,0,2,0,0,0,9,1,4,0,0,0,0,0,0,1,0,0,57,2
CD4 T cells,0,0,0,0,1,0,744,80,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,0,0,0,0
CD8 T cells,0,0,1,1,5,2,114,748,3,0,0,1,0,0,0,0,1,2,1,0,0,62,9,0,0,2,0,0,0,0,0
Classical monocytes,0,0,0,1,0,0,0,0,912,0,14,1,0,0,2,0,0,0,58,0,0,1,65,0,0,2,0,0,1,1,0
Club,0,0,0,1,0,7,0,0,0,471,0,2,0,0,0,0,146,19,0,2,0,0,0,0,0,1,2,0,0,68,26
DC2,0,0,0,9,20,0,0,3,18,0,813,0,0,0,0,0,0,0,68,0,0,0,32,0,0,3,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,3,0,134,0,0,0,0,11,0,0,0,46,0,0,0,0,0,0,0,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,246,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,0,0,2,0,0,0,24,387,12,16,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,5,401,48,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,1,25,69,457,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
Goblet,0,0,0,1,0,1,1,0,0,117,0,9,0,0,0,0,534,1,0,10,9,0,0,0,0,0,9,0,0,20,11
Hillock-like,0,0,0,0,0,28,0,0,0,9,0,0,0,0,0,0,0,228,0,1,0,0,0,0,0,0,1,0,0,45,0
Interstitial macrophages,1,0,0,162,0,0,1,0,68,1,83,0,0,0,0,0,0,0,684,0,0,1,89,0,0,4,0,0,0,0,0
Ionocyte,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,98,0,0,0,0,0,2,0,0,0,2,0
Multiciliated,1,0,0,2,0,0,0,0,0,1,0,27,0,0,0,0,4,0,0,2,1331,0,0,0,0,0,0,0,0,1,4
NK cells,0,0,0,0,0,0,2,92,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,39,1,0,0,1,100,0,31,0,0,0,0,0,0,0,145,0,0,2,388,0,0,4,0,0,0,0,1
Peribronchial fibroblasts,0,30,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,156,0,0,0,0,0,0,0
Pericytes,0,1,6,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0
Plasma cells,1,0,0,1,4,2,9,2,1,0,1,0,0,2,0,2,0,0,5,2,0,0,5,0,0,259,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,208,1,9,3,0
SMG mucous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,92,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,123,0,0
Suprabasal,1,0,0,0,0,111,1,0,0,53,0,0,0,0,0,0,10,38,0,3,1,0,0,0,0,1,3,0,0,560,1
Transitional Club-AT2,13,0,0,0,0,3,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,2,462
