,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Adventitial fibroblasts,1,373,17,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,1,0,0
Alveolar fibroblasts,0,20,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0
Alveolar macrophages,0,1,1,891,0,0,0,0,4,1,11,0,0,1,0,0,0,0,99,0,0,1,4,0,0,0,0,0,0,1
B cells,0,0,0,0,374,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,1,0,0,0,619,0,0,0,5,0,0,0,1,0,0,1,4,1,0,3,0,0,0,0,0,1,0,48,1
CD4 T cells,0,0,0,0,0,0,746,87,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD8 T cells,0,0,0,0,5,1,64,839,1,0,2,0,0,0,0,0,0,0,0,0,0,36,4,0,0,0,0,0,0,0
Classical monocytes,0,0,0,3,0,0,1,0,917,1,9,0,0,0,1,0,1,0,54,0,0,1,69,0,0,0,0,1,0,0
Club,0,0,0,0,0,8,0,0,2,516,0,0,2,0,0,0,109,11,0,0,0,0,0,0,0,0,2,0,71,24
DC2,0,0,0,4,2,1,1,1,21,1,840,0,0,0,0,0,0,0,77,0,0,0,18,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,257,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,0,0,0,1,0,0,13,396,8,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,5,417,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,2,0,0,25,42,488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,1,0,0,0,0,1,91,0,2,0,1,0,0,581,2,1,1,16,1,0,0,0,0,7,0,9,9
Hillock-like,1,0,0,0,0,12,0,0,0,3,0,0,0,0,0,0,0,257,0,0,0,0,0,0,0,0,1,0,38,0
Interstitial macrophages,0,0,0,110,0,0,0,0,60,0,71,0,0,0,0,0,0,0,822,0,0,1,30,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,104,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,0,0,2,0,1,0,2,0,5,0,0,0,1,3,0,1,0,1354,0,0,0,0,0,0,0,0,3
NK cells,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,5,1,0,0,0,58,0,9,0,0,0,0,0,0,0,43,0,0,0,596,0,0,0,0,0,0,0
Peribronchial fibroblasts,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0
Pericytes,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,132,0,0,0,0,0
Plasma cells,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,293,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,213,6,2,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,126,0,0
Suprabasal,4,1,0,0,0,74,0,3,0,56,1,0,0,0,0,0,6,33,2,1,0,0,0,0,0,0,1,0,601,0
Transitional Club-AT2,3,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,2,478
