,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,170,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
Adventitial fibroblasts,0,363,27,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,0,0,0,11,1,0,0,0,0,0
Alveolar fibroblasts,0,39,246,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0
Alveolar macrophages,1,1,0,864,1,0,0,0,1,2,14,0,0,1,0,0,1,0,111,0,0,1,14,0,1,1,0,0,0,1
B cells,0,0,0,0,337,0,4,2,0,0,16,0,0,1,0,0,0,0,3,0,0,0,3,0,0,16,0,0,0,0
Basal resting,0,1,0,0,2,586,1,0,1,3,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,77,1
CD4 T cells,1,0,0,0,4,1,725,88,3,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,5,0,0,1,1
CD8 T cells,2,1,1,0,2,1,99,762,2,0,2,0,0,1,0,0,4,3,3,0,0,62,5,0,1,1,0,0,0,0
Classical monocytes,0,0,1,0,0,0,1,0,906,0,16,0,1,0,2,0,0,0,48,0,0,1,79,0,0,1,0,1,1,0
Club,0,0,0,1,0,3,0,0,0,495,1,0,0,0,0,0,139,7,0,1,0,0,0,0,0,0,4,0,67,27
DC2,0,0,0,12,10,1,0,0,15,2,828,1,0,0,0,0,0,0,62,0,0,0,32,0,0,3,0,0,0,0
Deuterosomal,2,0,0,0,0,0,1,1,0,6,0,117,0,0,0,0,15,0,0,3,50,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,2,0,0,0,0,0,240,21,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
EC general capillary,0,1,1,0,0,0,4,0,1,3,0,0,16,379,8,24,0,0,1,0,0,1,0,0,1,4,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,2,1,0,0,1,6,398,45,0,0,1,0,0,0,0,0,0,0,0,0,0,1
EC venous systemic,0,0,0,0,0,1,1,0,0,2,0,0,0,32,63,454,0,0,1,1,0,1,0,0,0,1,0,0,0,0
Goblet,0,0,0,3,0,4,1,1,0,145,0,7,0,0,0,0,506,2,0,7,10,0,0,0,0,1,14,0,10,12
Hillock-like,0,0,0,0,0,39,0,0,0,6,0,0,0,0,0,0,0,224,0,1,0,0,0,0,0,0,0,0,42,0
Interstitial macrophages,0,0,0,165,1,0,1,0,71,0,86,0,0,0,0,0,1,0,686,2,0,0,74,0,0,5,0,0,1,1
Ionocyte,0,0,0,0,0,2,3,1,0,4,1,0,0,1,0,1,1,0,0,87,0,0,0,1,0,3,0,0,3,0
Multiciliated,0,0,0,1,0,4,0,0,0,3,0,18,0,0,0,0,1,0,0,1,1340,0,0,0,0,2,0,0,0,3
NK cells,0,0,0,0,0,0,2,93,0,0,0,0,0,0,0,0,0,0,0,0,0,524,1,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,38,1,0,2,0,94,0,38,0,0,0,0,0,0,0,149,0,0,1,388,0,0,1,0,0,0,0
Peribronchial fibroblasts,0,20,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,159,0,0,0,0,0,0
Pericytes,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0
Plasma cells,0,0,1,4,0,5,21,4,1,0,0,0,0,2,0,1,0,0,4,4,0,1,5,1,0,242,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,220,6,0,2
SMG serous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,118,0,0
Suprabasal,3,0,0,0,0,109,2,0,0,49,3,1,0,1,0,0,11,43,0,3,2,0,0,0,0,0,3,1,551,1
Transitional Club-AT2,8,0,0,0,0,0,0,0,1,24,1,2,0,0,0,0,2,0,0,1,1,0,0,0,0,0,11,0,1,459
