cell_type,f1,precision,recall,support
AT2 proliferating,0.9066666666666666,0.9090909090909091,0.9042553191489362,188.0
Adventitial fibroblasts,0.8694610778443114,0.8501170960187353,0.8897058823529411,408.0
Alveolar fibroblasts,0.8065573770491803,0.7987012987012987,0.8145695364238411,302.0
Alveolar macrophages,0.8212927756653993,0.7933884297520661,0.8512315270935961,1015.0
B cells,0.9108108108108108,0.9413407821229051,0.8821989528795812,382.0
Basal resting,0.812760055478502,0.774108322324967,0.8554744525547445,685.0
CD4 T cells,0.8504398826979472,0.8333333333333334,0.8682634730538922,835.0
CD8 T cells,0.8004201680672269,0.8004201680672269,0.8004201680672269,952.0
Classical monocytes,0.8404452690166976,0.825136612021858,0.8563327032136105,1058.0
Club,0.6630944407233758,0.6617647058823529,0.6644295302013423,745.0
DC2,0.8397565922920892,0.8230616302186878,0.8571428571428571,966.0
Deuterosomal,0.6862170087976539,0.8013698630136986,0.6,195.0
EC aerocyte capillary,0.916030534351145,0.9302325581395349,0.9022556390977443,266.0
EC general capillary,0.851685393258427,0.8497757847533632,0.8536036036036037,444.0
EC venous pulmonary,0.8577586206896551,0.8414376321353065,0.8747252747252747,455.0
EC venous systemic,0.8384118190212373,0.8631178707224335,0.8150807899461401,557.0
Goblet,0.7182398864442867,0.7376093294460642,0.6998616874135546,723.0
Hillock-like,0.7454242928452579,0.7750865051903114,0.717948717948718,312.0
Interstitial macrophages,0.6337182448036951,0.6405228758169934,0.6270566727605119,1094.0
Ionocyte,0.7767857142857143,0.75,0.8055555555555556,108.0
Multiciliated,0.9647228221742261,0.9537366548042705,0.9759650400582666,1373.0
NK cells,0.8646864686468647,0.8851351351351351,0.8451612903225807,620.0
Non-classical monocytes,0.5896656534954408,0.6423841059602649,0.5449438202247191,712.0
Peribronchial fibroblasts,0.8153846153846154,0.8833333333333333,0.7571428571428571,210.0
Pericytes,0.9333333333333333,0.9047619047619048,0.9637681159420289,138.0
Plasma cells,0.8316151202749141,0.8461538461538461,0.8175675675675675,296.0
SMG duct,0.8870967741935484,0.8301886792452831,0.9523809523809523,231.0
SMG serous,0.9147286821705426,0.9365079365079365,0.8939393939393939,132.0
Suprabasal,0.7160493827160493,0.7288359788359788,0.7037037037037037,783.0
Transitional Club-AT2,0.8869565217391304,0.8759541984732825,0.898238747553816,511.0
