cell_type,f1,precision,recall,support
AT2 proliferating,0.9758713136729222,0.9837837837837838,0.9680851063829787,188.0
Adventitial fibroblasts,0.8819875776397516,0.8942065491183879,0.8700980392156863,408.0
Alveolar fibroblasts,0.8921568627450981,0.8806451612903226,0.9039735099337748,302.0
Alveolar macrophages,0.8759342301943199,0.8860887096774194,0.8660098522167488,1015.0
B cells,0.9776609724047306,0.9815303430079155,0.9738219895287958,382.0
Basal resting,0.8344370860927153,0.841246290801187,0.8277372262773722,685.0
CD4 T cells,0.8810250152532032,0.8980099502487562,0.8646706586826347,835.0
CD8 T cells,0.84375,0.8367768595041323,0.8508403361344538,952.0
Classical monocytes,0.8593083846518238,0.8613485280151947,0.8572778827977315,1058.0
Club,0.7420212765957447,0.7351778656126482,0.748993288590604,745.0
DC2,0.8695198329853863,0.8768421052631579,0.8623188405797102,966.0
Deuterosomal,0.9489795918367347,0.9441624365482234,0.9538461538461539,195.0
EC aerocyte capillary,0.9333333333333333,0.9197080291970803,0.9473684210526315,266.0
EC general capillary,0.8502304147465438,0.8702830188679245,0.831081081081081,444.0
EC venous pulmonary,0.8665207877461707,0.8627450980392157,0.8703296703296703,455.0
EC venous systemic,0.8734402852049911,0.8672566371681416,0.8797127468581688,557.0
Goblet,0.7876664330763841,0.7982954545454546,0.7773167358229599,723.0
Hillock-like,0.8322981366459627,0.8072289156626506,0.8589743589743589,312.0
Interstitial macrophages,0.7696476964769647,0.7607142857142857,0.7787934186471663,1094.0
Ionocyte,0.986046511627907,0.9906542056074766,0.9814814814814815,108.0
Multiciliated,0.9762513701132627,0.9794721407624634,0.9730517115804806,1373.0
NK cells,0.9066455696202531,0.889751552795031,0.9241935483870968,620.0
Non-classical monocytes,0.840499306518724,0.8301369863013699,0.851123595505618,712.0
Peribronchial fibroblasts,0.8436018957345972,0.839622641509434,0.8476190476190476,210.0
Pericytes,0.9777777777777777,1.0,0.9565217391304348,138.0
Plasma cells,0.9795221843003413,0.9896551724137931,0.9695945945945946,296.0
SMG duct,0.9154639175257732,0.8740157480314961,0.961038961038961,231.0
SMG serous,0.9494163424124513,0.976,0.9242424242424242,132.0
Suprabasal,0.752411575562701,0.7577720207253886,0.7471264367816092,783.0
Transitional Club-AT2,0.9020368574199806,0.8942307692307693,0.9099804305283757,511.0
