,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG mucous,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Adventitial fibroblasts,0,366,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
Alveolar fibroblasts,0,19,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0
Alveolar macrophages,0,2,0,885,0,0,1,0,3,5,9,0,0,1,1,0,0,0,104,0,0,0,3,0,0,0,0,0,0,0,1
B cells,0,0,0,0,371,0,2,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,625,1,0,1,4,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,48,1
CD4 T cells,0,0,0,1,1,0,747,79,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
CD8 T cells,0,1,0,1,2,1,64,835,0,0,1,0,1,1,0,0,0,0,1,0,0,40,1,0,1,1,0,0,0,0,1
Classical monocytes,0,1,0,2,0,1,1,0,925,2,14,0,0,0,0,0,0,0,42,0,0,1,69,0,0,0,0,0,0,0,0
Club,0,0,0,1,0,4,0,0,2,505,0,2,0,0,0,0,120,16,1,0,1,0,0,0,0,0,0,1,0,72,20
DC2,0,0,0,5,0,0,0,1,16,0,832,0,0,0,0,0,0,0,84,0,1,0,26,0,0,0,0,0,0,0,1
Deuterosomal,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,260,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,0,0,0,1,1,0,0,2,0,0,16,397,8,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous pulmonary,0,1,0,1,0,0,0,0,2,0,0,0,0,2,416,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,0,0,0,0,0,1,0,0,23,31,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,0,0,2,0,0,0,127,0,3,0,0,0,0,551,2,0,1,12,0,0,0,0,0,7,0,0,11,7
Hillock-like,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0,1,261,0,0,0,0,0,0,0,0,0,0,0,32,0
Interstitial macrophages,1,0,0,89,0,0,0,0,55,1,85,0,0,0,0,0,0,0,844,0,0,2,17,0,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0
Multiciliated,1,0,0,0,0,4,0,0,0,1,0,5,0,0,0,0,1,0,0,0,1358,1,0,0,0,0,0,0,0,1,1
NK cells,0,0,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,569,0,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,4,2,0,1,1,54,0,7,0,0,0,0,0,0,0,40,0,0,1,600,0,0,1,0,0,0,0,0
Peribronchial fibroblasts,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0
Pericytes,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0
Plasma cells,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,213,1,6,3,1
SMG mucous,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,92,0,0,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,127,0,0
Suprabasal,5,0,0,0,0,61,0,0,0,49,1,1,1,0,0,0,8,26,0,0,1,0,0,0,0,1,1,0,0,628,0
Transitional Club-AT2,0,1,0,0,0,1,0,0,0,24,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,4,0,0,2,473
