,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,180,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Adventitial fibroblasts,0,360,16,0,0,1,2,0,0,1,0,0,1,0,4,1,1,0,0,0,0,0,0,20,0,0,0,0,0,1
Alveolar fibroblasts,0,27,261,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,0,0,0,0,0
Alveolar macrophages,0,2,0,877,0,0,0,1,10,2,9,0,0,1,1,1,0,0,100,0,0,0,11,0,0,0,0,0,0,0
B cells,0,0,0,1,374,1,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal resting,0,0,0,0,0,569,0,2,0,12,0,0,0,1,0,0,3,9,1,0,1,0,0,0,0,0,1,0,84,2
CD4 T cells,0,0,0,0,3,0,735,91,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
CD8 T cells,0,0,0,3,3,3,100,769,0,0,2,0,1,0,1,1,0,0,3,0,0,58,1,0,1,3,0,0,2,1
Classical monocytes,0,0,1,6,0,1,5,3,911,1,19,0,2,1,1,0,0,1,59,0,1,1,43,0,1,0,0,0,0,1
Club,0,0,0,1,0,0,1,0,1,534,0,1,0,0,0,1,107,4,0,0,0,0,0,0,0,1,1,0,65,28
DC2,0,0,0,10,2,3,1,5,24,1,825,0,0,1,0,3,1,0,68,0,0,0,22,0,0,0,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,2,0,186,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,256,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC general capillary,0,0,1,1,0,0,5,1,0,4,0,0,18,377,10,25,0,0,0,0,0,1,0,0,0,0,0,0,0,1
EC venous pulmonary,0,0,0,0,0,0,0,1,0,0,0,0,0,11,392,49,0,1,0,0,0,0,0,0,0,0,0,0,1,0
EC venous systemic,0,0,0,1,0,0,0,0,1,0,0,0,0,20,40,492,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Goblet,0,0,0,4,0,3,0,0,0,98,0,3,0,1,1,0,565,5,0,0,20,0,0,0,0,0,9,0,8,6
Hillock-like,0,0,0,0,0,4,0,0,0,5,1,0,0,0,0,0,2,260,0,0,0,0,0,0,0,0,0,0,40,0
Interstitial macrophages,0,0,0,102,1,0,1,0,44,0,61,0,0,0,0,0,1,0,853,0,0,2,29,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0
Multiciliated,0,0,0,1,0,5,2,0,1,4,0,6,0,0,0,0,11,1,0,0,1334,2,0,1,0,0,1,0,2,2
NK cells,1,0,0,0,0,0,1,49,1,0,1,0,0,0,1,0,0,0,0,0,0,566,0,0,0,0,0,0,0,0
Non-classical monocytes,0,1,0,3,1,0,1,6,58,1,11,0,1,0,0,0,0,0,35,0,0,2,591,0,0,0,0,0,0,1
Peribronchial fibroblasts,0,21,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0
Pericytes,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,132,0,0,0,0,0
Plasma cells,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,291,0,0,0,1
SMG duct,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,210,1,1,5
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,122,0,0
Suprabasal,0,0,0,1,0,77,1,0,1,58,0,3,0,0,1,1,18,33,2,0,0,1,0,0,0,0,0,0,586,0
Transitional Club-AT2,1,0,0,0,0,3,1,0,0,22,0,0,0,0,0,0,11,0,0,0,3,0,0,0,0,0,3,1,0,466
