,AT2 proliferating,Adventitial fibroblasts,Alveolar fibroblasts,Alveolar macrophages,B cells,Basal resting,CD4 T cells,CD8 T cells,Classical monocytes,Club,DC2,Deuterosomal,EC aerocyte capillary,EC general capillary,EC venous pulmonary,EC venous systemic,Goblet,Hillock-like,Interstitial macrophages,Ionocyte,Multiciliated,NK cells,Non-classical monocytes,Peribronchial fibroblasts,Pericytes,Plasma cells,SMG duct,SMG serous,Suprabasal,Transitional Club-AT2
AT2 proliferating,173,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
Adventitial fibroblasts,0,354,34,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,12,2,2,0,0,0,0
Alveolar fibroblasts,1,38,246,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,6,0,0,0,0,0
Alveolar macrophages,1,2,0,848,0,0,0,1,2,2,12,0,0,0,1,0,0,0,126,0,0,1,18,0,0,0,0,0,0,1
B cells,0,0,0,0,351,0,3,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,2,0,0,7,0,0,1,0
Basal resting,0,1,0,0,0,584,2,0,0,3,1,0,0,1,0,0,0,15,1,2,0,0,0,0,0,1,0,0,73,1
CD4 T cells,0,0,0,0,1,0,734,88,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0
CD8 T cells,0,0,0,0,3,0,115,744,0,0,1,0,1,2,0,0,1,6,1,0,1,64,7,0,1,4,0,0,1,0
Classical monocytes,0,0,1,0,0,0,1,2,924,0,20,0,2,3,0,0,0,0,41,0,0,2,61,0,0,1,0,0,0,0
Club,0,0,0,1,0,4,0,0,0,479,0,0,0,0,0,0,157,12,0,3,0,0,1,0,0,0,3,0,68,17
DC2,0,0,0,6,16,0,2,2,17,1,823,0,0,1,0,1,0,0,61,0,0,0,31,0,0,5,0,0,0,0
Deuterosomal,0,0,0,0,0,0,0,0,0,9,1,129,0,0,0,0,12,0,0,0,41,0,1,0,0,0,0,0,1,1
EC aerocyte capillary,0,0,0,0,0,0,0,0,0,0,0,0,244,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EC general capillary,0,0,0,0,0,0,4,0,0,0,0,0,17,394,7,18,0,0,0,1,0,0,1,0,1,1,0,0,0,0
EC venous pulmonary,0,0,0,0,0,0,0,0,0,0,0,0,0,6,390,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EC venous systemic,0,0,0,0,0,1,0,0,0,1,0,0,0,37,54,462,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Goblet,0,0,0,2,0,1,0,0,0,123,0,9,0,0,0,0,536,1,0,5,14,0,0,0,0,1,8,0,18,5
Hillock-like,0,0,0,0,0,27,0,0,0,11,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,0,0,0,42,0
Interstitial macrophages,0,0,0,153,0,0,0,0,74,0,100,0,0,1,0,0,0,0,672,0,0,2,92,0,0,0,0,0,0,0
Ionocyte,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,1,0,0,95,0,0,0,0,0,4,0,0,1,0
Multiciliated,1,1,0,1,0,3,0,0,0,2,0,30,0,0,0,0,8,0,0,1,1324,1,0,0,0,0,0,0,0,1
NK cells,0,0,0,0,0,0,2,91,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,0
Non-classical monocytes,0,0,0,33,0,0,1,2,119,0,35,0,0,1,0,0,0,0,145,0,0,2,373,0,0,1,0,0,0,0
Peribronchial fibroblasts,0,17,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,165,1,0,0,0,0,0
Pericytes,0,0,7,1,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,124,0,0,0,0,0
Plasma cells,0,0,1,1,3,3,12,4,0,0,0,0,0,1,0,0,0,0,10,4,0,1,3,1,1,251,0,0,0,0
SMG duct,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,215,5,3,0
SMG serous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,126,0,0
Suprabasal,1,0,0,0,0,97,1,0,1,64,0,2,0,0,0,0,17,44,1,1,1,1,0,0,0,0,0,0,551,1
Transitional Club-AT2,6,0,0,0,0,1,0,0,0,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,3,472
