cell_type,f1,precision,recall,support
AT2 proliferating,0.983957219251337,0.989247311827957,0.9787234042553191,188.0
Adventitial fibroblasts,0.8974042027194067,0.9052369077306733,0.8897058823529411,408.0
Alveolar fibroblasts,0.8827361563517915,0.8685897435897436,0.8973509933774835,302.0
Alveolar macrophages,0.8729281767955801,0.8903688524590164,0.8561576354679803,1015.0
B cells,0.9855832241153342,0.9868766404199475,0.9842931937172775,382.0
Basal resting,0.8659498207885304,0.8507042253521127,0.8817518248175182,685.0
CD4 T cells,0.8983253588516746,0.8972520908004779,0.8994011976047904,835.0
CD8 T cells,0.8616187989556136,0.8566978193146417,0.8665966386554622,952.0
Classical monocytes,0.8675588371019843,0.8476104598737602,0.888468809073724,1058.0
Club,0.7008196721311475,0.713490959666203,0.6885906040268457,745.0
DC2,0.8770491803278688,0.8681541582150102,0.8861283643892339,966.0
Deuterosomal,0.927461139896373,0.93717277486911,0.9179487179487179,195.0
EC aerocyte capillary,0.9555555555555556,0.9416058394160584,0.9699248120300752,266.0
EC general capillary,0.8974069898534386,0.8984198645598194,0.8963963963963963,444.0
EC venous pulmonary,0.9120879120879121,0.9120879120879121,0.9120879120879121,455.0
EC venous systemic,0.8963029756537421,0.9003623188405797,0.8922800718132855,557.0
Goblet,0.7823728813559322,0.7672872340425532,0.7980636237897649,723.0
Hillock-like,0.8274760383386581,0.8248407643312102,0.8301282051282052,312.0
Interstitial macrophages,0.7630004601932812,0.768303985171455,0.7577696526508226,1094.0
Ionocyte,0.9814814814814815,0.9814814814814815,0.9814814814814815,108.0
Multiciliated,0.9792651873408512,0.9781976744186046,0.9803350327749454,1373.0
NK cells,0.9343065693430657,0.9396411092985318,0.9290322580645162,620.0
Non-classical monocytes,0.8373751783166904,0.8507246376811595,0.824438202247191,712.0
Peribronchial fibroblasts,0.883495145631068,0.900990099009901,0.8666666666666667,210.0
Pericytes,0.9640287769784173,0.9571428571428572,0.9710144927536232,138.0
Plasma cells,0.9915110356536503,0.9965870307167235,0.9864864864864865,296.0
SMG duct,0.9310344827586207,0.927038626609442,0.935064935064935,231.0
SMG serous,0.9657794676806084,0.9694656488549618,0.9621212121212122,132.0
Suprabasal,0.7704280155642024,0.782608695652174,0.7586206896551724,783.0
Transitional Club-AT2,0.9275929549902152,0.9275929549902152,0.9275929549902152,511.0
