representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
hvg,hvg,5,1,0.9951193875979265,0.996876084692815,2421,5762,6,None
hvg,hvg,5,2,0.9946381268737848,0.9963768115942029,2387,5796,6,None
hvg,hvg,5,3,0.9940634687615236,0.9963842975206612,2375,5808,6,None
hvg,hvg,5,4,0.9950726468061597,0.9972318339100346,2403,5780,6,None
hvg,hvg,5,5,0.9946669193331,0.9963836748751507,2376,5807,6,None
hvg,hvg,10,1,0.9966337312147205,0.9973325429756965,4809,3374,6,None
hvg,hvg,10,2,0.996569276463136,0.9979203802733214,4817,3366,6,None
hvg,hvg,10,3,0.9958828026640227,0.9976408139191979,4792,3391,6,None
hvg,hvg,10,4,0.9968121938296425,0.998193315266486,4862,3321,6,None
hvg,hvg,10,5,0.9958482747617655,0.9964189794091316,4832,3351,6,None
hvg,hvg,15,1,0.9984730887556806,0.9989837398373984,7199,984,6,None
hvg,hvg,15,2,0.9945880901165446,0.9959058341862845,7206,977,6,None
hvg,hvg,15,3,1.0,1.0,7206,977,6,None
hvg,hvg,15,4,0.9959009638406648,0.9957983193277311,7231,952,6,None
hvg,hvg,15,5,0.9951923066310843,0.9968652037617555,7226,957,6,None
pca,X_pca,5,1,0.9882766156012499,0.9935786185352308,2421,5762,6,None
pca,X_pca,5,2,0.9892940578735964,0.9925810904071773,2387,5796,6,None
pca,X_pca,5,3,0.9922334013758971,0.9953512396694215,2375,5808,6,None
pca,X_pca,5,4,0.9931400656071548,0.995847750865052,2403,5780,6,None
pca,X_pca,5,5,0.9905271912983378,0.9938005855002583,2376,5807,6,None
pca,X_pca,10,1,0.9959950065195677,0.9967397747480735,4809,3374,6,None
pca,X_pca,10,2,0.9906716262882299,0.9943553178847296,4817,3366,6,None
pca,X_pca,10,3,0.9949449135791367,0.9970510173989974,4792,3391,6,None
pca,X_pca,10,4,0.9911162502873561,0.9939777175549533,4862,3321,6,None
pca,X_pca,10,5,0.9945947551732135,0.9955237242614146,4832,3351,6,None
pca,X_pca,15,1,0.9945198673465833,0.9969512195121951,7199,984,6,None
pca,X_pca,15,2,0.9886563426105813,0.9938587512794268,7206,977,6,None
pca,X_pca,15,3,0.9985224839957443,0.9989764585465711,7206,977,6,None
pca,X_pca,15,4,0.9980579519398992,0.9978991596638656,7231,952,6,None
pca,X_pca,15,5,0.9943175137557715,0.9958202716823407,7226,957,6,None
harmony,X_harmony,5,1,0.9953954242653079,0.9965289829920166,2421,5762,6,None
harmony,X_harmony,5,2,0.9887800190148094,0.9924085576259489,2387,5796,6,None
harmony,X_harmony,5,3,0.9922493122607045,0.9948347107438017,2375,5808,6,None
harmony,X_harmony,5,4,0.9934760112788226,0.9953287197231834,2403,5780,6,None
harmony,X_harmony,5,5,0.9904992376257259,0.9934561735836059,2376,5807,6,None
harmony,X_harmony,10,1,0.9970837596674098,0.9967397747480735,4809,3374,6,None
harmony,X_harmony,10,2,0.9920894002227669,0.9952465834818776,4817,3366,6,None
harmony,X_harmony,10,3,0.9962094798497181,0.9973459156590976,4792,3391,6,None
harmony,X_harmony,10,4,0.9924489315419107,0.994579945799458,4862,3321,6,None
harmony,X_harmony,10,5,0.9950469459015153,0.9958221426439868,4832,3351,6,None
harmony,X_harmony,15,1,0.9945198673465833,0.9969512195121951,7199,984,6,None
harmony,X_harmony,15,2,0.9902659769134727,0.9948822927328557,7206,977,6,None
harmony,X_harmony,15,3,0.998110792065566,0.9979529170931423,7206,977,6,None
harmony,X_harmony,15,4,0.9980579519398992,0.9978991596638656,7231,952,6,None
harmony,X_harmony,15,5,0.9946084102758012,0.9947753396029259,7226,957,6,None
scvi,X_scVI,5,1,0.989817803597277,0.9937521693856299,2421,5762,6,None
scvi,X_scVI,5,2,0.990107248218966,0.993616287094548,2387,5796,6,None
scvi,X_scVI,5,3,0.9914192019642174,0.9955234159779615,2375,5808,6,None
scvi,X_scVI,5,4,0.9931874160434546,0.9960207612456747,2403,5780,6,None
scvi,X_scVI,5,5,0.991436391905678,0.9944894093335629,2376,5807,6,None
scvi,X_scVI,10,1,0.9959573622339354,0.9973325429756965,4809,3374,6,None
scvi,X_scVI,10,2,0.9911456495587944,0.9946524064171123,4817,3366,6,None
scvi,X_scVI,10,3,0.9946907699215947,0.9973459156590976,4792,3391,6,None
scvi,X_scVI,10,4,0.9909080837137193,0.9942788316772057,4862,3321,6,None
scvi,X_scVI,10,5,0.9942088071231755,0.9958221426439868,4832,3351,6,None
scvi,X_scVI,15,1,0.9965157940140896,0.9979674796747967,7199,984,6,None
scvi,X_scVI,15,2,0.9870414710751079,0.9938587512794268,7206,977,6,None
scvi,X_scVI,15,3,0.9985425022260199,0.9989764585465711,7206,977,6,None
scvi,X_scVI,15,4,0.9992081661235153,0.9989495798319328,7231,952,6,None
scvi,X_scVI,15,5,0.9980236877146261,0.9989550679205852,7226,957,6,None
