representation,rep_key,k_train_donors,macro_f1_mean,macro_f1_std,accuracy_mean,accuracy_std,mean_train_cells,mean_test_cells,mean_n_classes_used
harmony,X_harmony,5,0.992080000889074,0.0025670136529512967,0.9945114289337113,0.001610794162238884,2392.4,5790.6,6.0
harmony,X_harmony,10,0.9945757034366641,0.00222971428936878,0.9959468724664987,0.001113605247221437,4822.4,3360.6,6.0
harmony,X_harmony,15,0.9951125997082645,0.0032310814107339857,0.996492185720997,0.0015702977317490284,7213.6,969.4,6.0
hvg,hvg,5,0.994712109874499,0.0004254741431509724,0.9966505405185728,0.00038916651677158265,2392.4,5790.6,6.0
hvg,hvg,10,0.9963492557866575,0.00045061277772882267,0.9975012063687666,0.0006844476402586148,4822.4,3360.6,6.0
hvg,hvg,15,0.996830889868795,0.002308676264723453,0.9975106194226339,0.0018901698376389124,7213.6,969.4,6.0
pca,X_pca,5,0.9906942663512472,0.002011492208999058,0.9942318569954279,0.001341815606374136,2392.4,5790.6,6.0
pca,X_pca,10,0.9934645103695008,0.0024076432797309564,0.9955295103696337,0.0013753677614069969,4822.4,3360.6,6.0
pca,X_pca,15,0.9948148319297159,0.003953663851685815,0.9967011721368799,0.001970404019010629,7213.6,969.4,6.0
scvi,X_scVI,5,0.9911936123459186,0.001337733391225417,0.9946804086074754,0.0010650903707319964,2392.4,5790.6,6.0
scvi,X_scVI,10,0.9933821345102439,0.00224446565798665,0.9958863678746198,0.001443317406446776,4822.4,3360.6,6.0
scvi,X_scVI,15,0.9958663242306718,0.005031995064541689,0.9977414674506626,0.002212698071652729,7213.6,969.4,6.0
