cell_type,f1,precision,recall,support,fold
endothelial cell,0.9836065573770492,0.967741935483871,1.0,30.0,1
leukocyte,1.0,1.0,1.0,6.0,1
pancreatic A cell,0.9975470155355682,0.9967320261437909,0.9983633387888707,611.0,1
pancreatic D cell,0.9859154929577465,1.0,0.9722222222222222,108.0,1
pancreatic PP cell,0.9836065573770492,1.0,0.967741935483871,31.0,1
pancreatic acinar cell,0.9662921348314607,1.0,0.9347826086956522,46.0,1
pancreatic ductal cell,0.9927007299270073,0.9855072463768116,1.0,136.0,1
pancreatic stellate cell,0.9908256880733946,1.0,0.9818181818181818,55.0,1
type B pancreatic cell,0.9969356486210419,0.9949031600407747,0.9989764585465711,977.0,1
endothelial cell,0.9795918367346939,0.96,1.0,48.0,2
leukocyte,1.0,1.0,1.0,11.0,2
pancreatic A cell,0.9975589910496339,0.9967479674796748,0.998371335504886,614.0,2
pancreatic D cell,0.972972972972973,0.989010989010989,0.9574468085106383,94.0,2
pancreatic PP cell,1.0,1.0,1.0,30.0,2
pancreatic acinar cell,0.9714285714285714,0.9902912621359223,0.9532710280373832,107.0,2
pancreatic ductal cell,0.9861111111111112,0.9793103448275862,0.993006993006993,143.0,2
pancreatic stellate cell,0.9861111111111112,1.0,0.9726027397260274,73.0,2
type B pancreatic cell,0.9965986394557823,0.994343891402715,0.9988636363636364,880.0,2
endothelial cell,0.9855072463768116,1.0,0.9714285714285714,35.0,3
leukocyte,1.0,1.0,1.0,9.0,3
pancreatic A cell,0.9967355821545157,0.9978213507625272,0.9956521739130435,460.0,3
pancreatic D cell,0.9795918367346939,1.0,0.96,100.0,3
pancreatic PP cell,0.9787234042553191,1.0,0.9583333333333334,24.0,3
pancreatic acinar cell,1.0,1.0,1.0,21.0,3
pancreatic ductal cell,1.0,1.0,1.0,51.0,3
pancreatic stellate cell,0.9914529914529915,0.9830508474576272,1.0,58.0,3
type B pancreatic cell,0.9946308724832215,0.9906417112299465,0.9986522911051213,742.0,3
endothelial cell,1.0,1.0,1.0,23.0,4
leukocyte,0.9523809523809523,1.0,0.9090909090909091,11.0,4
pancreatic A cell,0.9985228951255539,1.0,0.9970501474926253,339.0,4
pancreatic D cell,0.9924812030075187,0.9850746268656716,1.0,66.0,4
pancreatic PP cell,1.0,1.0,1.0,19.0,4
pancreatic acinar cell,0.994535519125683,0.9891304347826086,1.0,182.0,4
pancreatic ductal cell,0.9983739837398374,0.9967532467532467,1.0,307.0,4
pancreatic stellate cell,1.0,1.0,1.0,51.0,4
type B pancreatic cell,0.998003992015968,1.0,0.9960159362549801,502.0,4
endothelial cell,1.0,1.0,1.0,29.0,5
leukocyte,1.0,1.0,1.0,12.0,5
pancreatic A cell,0.9929906542056075,0.9953161592505855,0.9906759906759907,429.0,5
pancreatic D cell,0.9846153846153847,0.9696969696969697,1.0,64.0,5
pancreatic PP cell,0.9090909090909091,0.8928571428571429,0.9259259259259259,27.0,5
pancreatic acinar cell,0.9824561403508771,1.0,0.9655172413793104,87.0,5
pancreatic ductal cell,0.9893617021276596,0.9789473684210527,1.0,93.0,5
pancreatic stellate cell,1.0,1.0,1.0,110.0,5
type B pancreatic cell,0.9984591679506933,0.9984591679506933,0.9984591679506933,649.0,5
