cell_type,f1,precision,recall,support,fold
endothelial cell,0.9836065573770492,0.967741935483871,1.0,30.0,1
leukocyte,1.0,1.0,1.0,6.0,1
pancreatic A cell,0.9959116925592805,0.9950980392156863,0.9967266775777414,611.0,1
pancreatic D cell,0.9674418604651163,0.9719626168224299,0.9629629629629629,108.0,1
pancreatic PP cell,1.0,1.0,1.0,31.0,1
pancreatic acinar cell,0.9555555555555556,0.9772727272727273,0.9347826086956522,46.0,1
pancreatic ductal cell,0.989010989010989,0.9854014598540146,0.9926470588235294,136.0,1
pancreatic stellate cell,0.9908256880733946,1.0,0.9818181818181818,55.0,1
type B pancreatic cell,0.9933503836317136,0.9928425357873211,0.9938587512794268,977.0,1
endothelial cell,0.9696969696969697,0.9411764705882353,1.0,48.0,2
leukocyte,1.0,1.0,1.0,11.0,2
pancreatic A cell,0.996742671009772,0.996742671009772,0.996742671009772,614.0,2
pancreatic D cell,0.9518716577540107,0.956989247311828,0.9468085106382979,94.0,2
pancreatic PP cell,1.0,1.0,1.0,30.0,2
pancreatic acinar cell,0.9714285714285714,0.9902912621359223,0.9532710280373832,107.0,2
pancreatic ductal cell,0.9896193771626297,0.9794520547945206,1.0,143.0,2
pancreatic stellate cell,0.9790209790209791,1.0,0.958904109589041,73.0,2
type B pancreatic cell,0.9931895573212258,0.9920634920634921,0.9943181818181818,880.0,2
endothelial cell,0.9855072463768116,1.0,0.9714285714285714,35.0,3
leukocyte,1.0,1.0,1.0,9.0,3
pancreatic A cell,0.9956521739130435,0.9956521739130435,0.9956521739130435,460.0,3
pancreatic D cell,0.964824120603015,0.9696969696969697,0.96,100.0,3
pancreatic PP cell,0.9361702127659575,0.9565217391304348,0.9166666666666666,24.0,3
pancreatic acinar cell,1.0,1.0,1.0,21.0,3
pancreatic ductal cell,1.0,1.0,1.0,51.0,3
pancreatic stellate cell,0.9827586206896551,0.9827586206896551,0.9827586206896551,58.0,3
type B pancreatic cell,0.9926025554808339,0.9906040268456375,0.9946091644204852,742.0,3
endothelial cell,1.0,1.0,1.0,23.0,4
leukocyte,1.0,1.0,1.0,11.0,4
pancreatic A cell,0.9970501474926253,0.9970501474926253,0.9970501474926253,339.0,4
pancreatic D cell,0.9618320610687023,0.9692307692307692,0.9545454545454546,66.0,4
pancreatic PP cell,1.0,1.0,1.0,19.0,4
pancreatic acinar cell,0.9807162534435262,0.9834254143646409,0.978021978021978,182.0,4
pancreatic ductal cell,0.9886547811993517,0.9838709677419355,0.993485342019544,307.0,4
pancreatic stellate cell,1.0,1.0,1.0,51.0,4
type B pancreatic cell,0.9930209371884346,0.9940119760479041,0.9920318725099602,502.0,4
endothelial cell,1.0,1.0,1.0,29.0,5
leukocyte,1.0,1.0,1.0,12.0,5
pancreatic A cell,0.9953379953379954,0.9953379953379954,0.9953379953379954,429.0,5
pancreatic D cell,0.9375,0.9375,0.9375,64.0,5
pancreatic PP cell,0.9433962264150944,0.9615384615384616,0.9259259259259259,27.0,5
pancreatic acinar cell,0.9767441860465116,0.9882352941176471,0.9655172413793104,87.0,5
pancreatic ductal cell,0.9837837837837838,0.9891304347826086,0.978494623655914,93.0,5
pancreatic stellate cell,1.0,1.0,1.0,110.0,5
type B pancreatic cell,0.9907834101382489,0.9877488514548239,0.9938366718027735,649.0,5
