cell_type,f1,precision,recall,support,fold
pancreatic A cell,0.9967948717948718,0.9967948717948718,0.9967948717948718,624.0,1
pancreatic D cell,0.9724770642201835,0.954954954954955,0.9906542056074766,107.0,1
pancreatic acinar cell,0.9574468085106383,0.9782608695652174,0.9375,48.0,1
pancreatic ductal cell,0.989247311827957,0.9857142857142858,0.9928057553956835,139.0,1
pancreatic stellate cell,1.0,1.0,1.0,54.0,1
type B pancreatic cell,0.9942678478374154,0.9958246346555324,0.9927159209157128,961.0,1
pancreatic A cell,0.9991967871485944,1.0,0.9983948635634029,623.0,2
pancreatic D cell,0.9834254143646408,0.978021978021978,0.9888888888888889,90.0,2
pancreatic acinar cell,0.9809523809523809,0.9903846153846154,0.9716981132075472,106.0,2
pancreatic ductal cell,0.9893238434163701,0.9788732394366197,1.0,139.0,2
pancreatic stellate cell,1.0,1.0,1.0,67.0,2
type B pancreatic cell,0.9983324068927181,0.9988876529477196,0.9977777777777778,900.0,2
pancreatic A cell,0.9964747356051704,0.9953051643192489,0.9976470588235294,425.0,3
pancreatic D cell,0.989010989010989,0.989010989010989,0.989010989010989,91.0,3
pancreatic acinar cell,1.0,1.0,1.0,25.0,3
pancreatic ductal cell,1.0,1.0,1.0,62.0,3
pancreatic stellate cell,0.9914529914529915,1.0,0.9830508474576272,59.0,3
type B pancreatic cell,0.9974259974259975,0.9974259974259975,0.9974259974259975,777.0,3
pancreatic A cell,0.9986541049798116,1.0,0.9973118279569892,372.0,4
pancreatic D cell,0.9921259842519685,1.0,0.984375,64.0,4
pancreatic acinar cell,0.9971988795518207,1.0,0.994413407821229,179.0,4
pancreatic ductal cell,0.9966666666666666,0.9933554817275747,1.0,299.0,4
pancreatic stellate cell,1.0,1.0,1.0,56.0,4
type B pancreatic cell,0.9989594172736733,0.997920997920998,1.0,480.0,4
pancreatic A cell,0.9976958525345622,1.0,0.9954022988505747,435.0,5
pancreatic D cell,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0,5
pancreatic acinar cell,0.9949238578680203,0.98989898989899,1.0,98.0,5
pancreatic ductal cell,0.9850746268656716,0.99,0.9801980198019802,101.0,5
pancreatic stellate cell,1.0,1.0,1.0,110.0,5
type B pancreatic cell,0.9968354430379747,0.995260663507109,0.9984152139461173,631.0,5
