representation,rep_key,k_train_donors,repeat,macro_f1,accuracy,n_train_cells,n_test_cells,n_classes_used,batch_covariate
hvg,hvg,3,1,0.6438856879135446,0.6589411497386958,1305,8802,13,None
hvg,hvg,3,2,0.7371645900869529,0.7636363636363637,1307,8800,13,None
hvg,hvg,3,3,0.611765541218587,0.6836595357305416,1319,8788,13,None
hvg,hvg,3,4,0.7233253322634661,0.7688123300090662,1283,8824,13,None
hvg,hvg,3,5,0.7207433153956344,0.7516694963214487,1272,8835,13,None
hvg,hvg,5,1,0.7406364088282006,0.7892212545752871,2184,7923,13,None
hvg,hvg,5,2,0.717669515388524,0.7553017944535073,2138,7969,13,None
hvg,hvg,5,3,0.7313876897889414,0.7777637397346809,2192,7915,13,None
hvg,hvg,5,4,0.7336622097349795,0.7719717955175018,2165,7942,13,None
hvg,hvg,5,5,0.7451651156175666,0.7770956020548804,2126,7981,13,None
hvg,hvg,8,1,0.7703460642645441,0.8138825324180016,3552,6555,13,None
hvg,hvg,8,2,0.760874366032638,0.7724568709101726,3383,6724,13,None
hvg,hvg,8,3,0.7664702210427117,0.8007564296520424,3497,6610,13,None
hvg,hvg,8,4,0.7591854840455003,0.7965433596118859,3511,6596,13,None
hvg,hvg,8,5,0.7689061642358308,0.8069824669332513,3605,6502,13,None
hvg,hvg,10,1,0.7802080176505056,0.8133995887594243,4271,5836,13,None
hvg,hvg,10,2,0.761011079966869,0.8243911048358631,4441,5666,13,None
hvg,hvg,10,3,0.760230913998392,0.7922032104427589,4438,5669,13,None
hvg,hvg,10,4,0.7637343897681116,0.8108442246555987,4445,5662,13,None
hvg,hvg,10,5,0.7772715691826838,0.811556023884791,4413,5694,13,None
hvg,hvg,15,1,0.7696931481293211,0.8072529982866933,6605,3502,13,None
hvg,hvg,15,2,0.7758821779197835,0.8037047276748687,6490,3617,13,None
hvg,hvg,15,3,0.7830302571853885,0.8331425300515168,6613,3494,13,None
hvg,hvg,15,4,0.7864175347791337,0.8103984176320994,6568,3539,13,None
hvg,hvg,15,5,0.7892076649442896,0.8109352517985612,6632,3475,13,None
hvg,hvg,20,1,0.7352830788591944,0.7368029739776951,8762,1345,13,None
hvg,hvg,20,2,0.7820896490503425,0.8215859030837004,8745,1362,13,None
hvg,hvg,20,3,0.7294139101482815,0.7637195121951219,8795,1312,13,None
hvg,hvg,20,4,0.7441840951768491,0.7921686746987951,8779,1328,13,None
hvg,hvg,20,5,0.7833153893496214,0.8614318706697459,8808,1299,13,None
pca,X_pca,3,1,0.6979945277322052,0.7249488752556237,1305,8802,13,None
pca,X_pca,3,2,0.7667534661955429,0.7955681818181818,1307,8800,13,None
pca,X_pca,3,3,0.6887879683107692,0.7422621756941283,1319,8788,13,None
pca,X_pca,3,4,0.7666618058252445,0.8093834995466909,1283,8824,13,None
pca,X_pca,3,5,0.759870020793193,0.7975099037917374,1272,8835,13,None
pca,X_pca,5,1,0.7650964401690061,0.8147166477344441,2184,7923,13,None
pca,X_pca,5,2,0.7306926837439753,0.7649642364161124,2138,7969,13,None
pca,X_pca,5,3,0.7693005447130348,0.8093493367024637,2192,7915,13,None
pca,X_pca,5,4,0.7794586475043472,0.8122639133719466,2165,7942,13,None
pca,X_pca,5,5,0.7831195256246966,0.8189449943616088,2126,7981,13,None
pca,X_pca,8,1,0.7952710960717587,0.8379862700228833,3552,6555,13,None
pca,X_pca,8,2,0.7747731207850745,0.7898572278405711,3383,6724,13,None
pca,X_pca,8,3,0.7906016907541106,0.8264750378214826,3497,6610,13,None
pca,X_pca,8,4,0.7864037348026474,0.8197392359005458,3511,6596,13,None
pca,X_pca,8,5,0.7988974835591384,0.8352814518609658,3605,6502,13,None
pca,X_pca,10,1,0.7989582483952739,0.8355037697052776,4271,5836,13,None
pca,X_pca,10,2,0.7617562464573591,0.8348040945993647,4441,5666,13,None
pca,X_pca,10,3,0.7765432239750163,0.8119597812665373,4438,5669,13,None
pca,X_pca,10,4,0.7858674104822941,0.8341575415047686,4445,5662,13,None
pca,X_pca,10,5,0.7942804233156406,0.8275377590446084,4413,5694,13,None
pca,X_pca,15,1,0.7920495559766856,0.828669331810394,6605,3502,13,None
pca,X_pca,15,2,0.7969316077940943,0.8321813657727398,6490,3617,13,None
pca,X_pca,15,3,0.8152814007248842,0.8646250715512307,6613,3494,13,None
pca,X_pca,15,4,0.8044173567472768,0.834416501836677,6568,3539,13,None
pca,X_pca,15,5,0.8099472630815642,0.837410071942446,6632,3475,13,None
pca,X_pca,20,1,0.7769751811192356,0.7843866171003717,8762,1345,13,None
pca,X_pca,20,2,0.7991057044924911,0.8480176211453745,8745,1362,13,None
pca,X_pca,20,3,0.7421812011011188,0.7560975609756098,8795,1312,13,None
pca,X_pca,20,4,0.743278153069494,0.7876506024096386,8779,1328,13,None
pca,X_pca,20,5,0.8067196519659613,0.8876058506543495,8808,1299,13,None
harmony,X_harmony,3,1,0.661669817548741,0.6933651442853896,1305,8802,13,None
harmony,X_harmony,3,2,0.7083595714168192,0.737840909090909,1307,8800,13,None
harmony,X_harmony,3,3,0.6242507482270632,0.6734182976786527,1319,8788,13,None
harmony,X_harmony,3,4,0.7422298400542958,0.7859247506799637,1283,8824,13,None
harmony,X_harmony,3,5,0.717358123037637,0.7537068477645728,1272,8835,13,None
harmony,X_harmony,5,1,0.7326475610612354,0.7805124321595355,2184,7923,13,None
harmony,X_harmony,5,2,0.6979168711793098,0.731835863972895,2138,7969,13,None
harmony,X_harmony,5,3,0.7385781152698627,0.7820593809222994,2192,7915,13,None
harmony,X_harmony,5,4,0.7315227003743773,0.7654243263661547,2165,7942,13,None
harmony,X_harmony,5,5,0.754490351303738,0.7907530384663576,2126,7981,13,None
harmony,X_harmony,8,1,0.740599941180405,0.7926773455377575,3552,6555,13,None
harmony,X_harmony,8,2,0.7435328406290717,0.7583283759666865,3383,6724,13,None
harmony,X_harmony,8,3,0.7555939175965221,0.7922844175491679,3497,6610,13,None
harmony,X_harmony,8,4,0.7466363320073186,0.7851728320194057,3511,6596,13,None
harmony,X_harmony,8,5,0.7599791908840375,0.7988311288834204,3605,6502,13,None
harmony,X_harmony,10,1,0.7645415083111597,0.7986634681288554,4271,5836,13,None
harmony,X_harmony,10,2,0.7433524844506318,0.8086833745146488,4441,5666,13,None
harmony,X_harmony,10,3,0.7497191268274397,0.7964367613335686,4438,5669,13,None
harmony,X_harmony,10,4,0.7525871303918296,0.8039561992228894,4445,5662,13,None
harmony,X_harmony,10,5,0.7531896722557563,0.7927643133122585,4413,5694,13,None
harmony,X_harmony,15,1,0.7391350421769267,0.7892632781267847,6605,3502,13,None
harmony,X_harmony,15,2,0.7666647596197687,0.7970693945258501,6490,3617,13,None
harmony,X_harmony,15,3,0.7774100780588854,0.8291356611333714,6613,3494,13,None
harmony,X_harmony,15,4,0.7692236073630757,0.802486578129415,6568,3539,13,None
harmony,X_harmony,15,5,0.7759313688372536,0.8086330935251799,6632,3475,13,None
harmony,X_harmony,20,1,0.7520875541129552,0.7657992565055762,8762,1345,13,None
harmony,X_harmony,20,2,0.7526439385719108,0.7973568281938326,8745,1362,13,None
harmony,X_harmony,20,3,0.7322511288084755,0.7370426829268293,8795,1312,13,None
harmony,X_harmony,20,4,0.7317210525256421,0.7710843373493976,8779,1328,13,None
harmony,X_harmony,20,5,0.7417498927783938,0.8406466512702079,8808,1299,13,None
scvi,X_scVI,3,1,0.6481436714881194,0.6785957736877982,1305,8802,13,None
scvi,X_scVI,3,2,0.7012771646676149,0.730909090909091,1307,8800,13,None
scvi,X_scVI,3,3,0.5671134659070834,0.6220983158852982,1319,8788,13,None
scvi,X_scVI,3,4,0.7072330550183816,0.7557796917497733,1283,8824,13,None
scvi,X_scVI,3,5,0.7193521271721928,0.75461233729485,1272,8835,13,None
scvi,X_scVI,5,1,0.7239489734601506,0.7742016912785561,2184,7923,13,None
scvi,X_scVI,5,2,0.6591240674119919,0.6866608106412347,2138,7969,13,None
scvi,X_scVI,5,3,0.705516602107071,0.7586860391661402,2192,7915,13,None
scvi,X_scVI,5,4,0.7284199310295795,0.7686980609418282,2165,7942,13,None
scvi,X_scVI,5,5,0.7494541414947152,0.7883723844129809,2126,7981,13,None
scvi,X_scVI,8,1,0.739305078055691,0.7905415713196033,3552,6555,13,None
scvi,X_scVI,8,2,0.7129880832524998,0.7248661511005354,3383,6724,13,None
scvi,X_scVI,8,3,0.741312050516549,0.7847201210287443,3497,6610,13,None
scvi,X_scVI,8,4,0.7417403729715445,0.7768344451182535,3511,6596,13,None
scvi,X_scVI,8,5,0.7620027111947159,0.8049830821285758,3605,6502,13,None
scvi,X_scVI,10,1,0.7393292810263876,0.7805003427004797,4271,5836,13,None
scvi,X_scVI,10,2,0.727395218554839,0.7972114366396047,4441,5666,13,None
scvi,X_scVI,10,3,0.7337282743739177,0.7757982007408714,4438,5669,13,None
scvi,X_scVI,10,4,0.7424519406519554,0.7953020134228188,4445,5662,13,None
scvi,X_scVI,10,5,0.7370047804179918,0.7813487881981033,4413,5694,13,None
scvi,X_scVI,15,1,0.7313441198546395,0.779554540262707,6605,3502,13,None
scvi,X_scVI,15,2,0.7413450125993607,0.773016311860658,6490,3617,13,None
scvi,X_scVI,15,3,0.7620323959375379,0.8148254149971379,6613,3494,13,None
scvi,X_scVI,15,4,0.7517224802390499,0.785815202034473,6568,3539,13,None
scvi,X_scVI,15,5,0.7810832117087462,0.814388489208633,6632,3475,13,None
scvi,X_scVI,20,1,0.7525172569574683,0.7717472118959108,8762,1345,13,None
scvi,X_scVI,20,2,0.7105347327540763,0.7518355359765051,8745,1362,13,None
scvi,X_scVI,20,3,0.70807422539017,0.7278963414634146,8795,1312,13,None
scvi,X_scVI,20,4,0.7158294115523876,0.7786144578313253,8779,1328,13,None
scvi,X_scVI,20,5,0.7555135653654992,0.8491147036181679,8808,1299,13,None
