cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9916317991631799,0.9916317991631799,0.9916317991631799,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8333333333333334,0.8064516129032258,0.8620689655172413,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9294354838709677,0.9275653923541247,0.9313131313131313,495.0,1
T-helper 22 cell,0.6211180124223602,0.5263157894736842,0.7575757575757576,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6060606060606061,0.5673758865248227,0.6504065040650406,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7621951219512195,0.7225433526011561,0.8064516129032258,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7701492537313432,0.8376623376623377,0.712707182320442,181.0,1
gamma-delta T cell,0.37681159420289856,0.45614035087719296,0.32098765432098764,81.0,1
mature NK T cell,0.8715596330275229,0.979381443298969,0.7851239669421488,121.0,1
mucosal invariant T cell,0.64,0.6,0.6857142857142857,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8223938223938224,0.7773722627737226,0.8729508196721312,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7769784172661871,0.8925619834710744,0.6878980891719745,157.0,1
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8282828282828283,0.8723404255319149,0.7884615384615384,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8466522678185745,0.8990825688073395,0.8,245.0,2
T-helper 22 cell,0.538961038961039,0.4129353233830846,0.7757009345794392,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.60790273556231,0.8298755186721992,0.47961630695443647,417.0,2
"effector CD8-positive, alpha-beta T cell",0.6717557251908397,0.6330935251798561,0.7154471544715447,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.639269406392694,0.7070707070707071,0.5833333333333334,120.0,2
gamma-delta T cell,0.19402985074626866,0.14942528735632185,0.2765957446808511,47.0,2
mature NK T cell,0.8944099378881988,0.9,0.8888888888888888,81.0,2
mucosal invariant T cell,0.6040268456375839,0.6338028169014085,0.5769230769230769,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7838827838827839,0.6772151898734177,0.9304347826086956,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6749226006191951,0.6646341463414634,0.6855345911949685,159.0,2
CD14-positive monocyte,0.9850746268656716,0.9753694581280788,0.9949748743718593,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.8860759493670886,0.9210526315789473,0.8536585365853658,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.958005249343832,0.9455958549222798,0.9707446808510638,376.0,3
T-helper 22 cell,0.7049808429118773,0.6715328467153284,0.7419354838709677,124.0,3
