cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9872611464968154,0.9935897435897436,0.9810126582278481,158.0
"CD16-negative, CD56-bright natural killer cell, human",0.851063829787234,0.8695652173913043,0.8333333333333334,24.0
"CD16-positive, CD56-dim natural killer cell, human",0.9316081330868763,0.9097472924187726,0.9545454545454546,264.0
T-helper 22 cell,0.6128133704735376,0.7051282051282052,0.541871921182266,203.0
"central memory CD4-positive, alpha-beta T cell",0.5246636771300448,0.43014705882352944,0.6724137931034483,174.0
"effector CD8-positive, alpha-beta T cell",0.7736625514403291,0.746031746031746,0.8034188034188035,117.0
"effector memory CD8-positive, alpha-beta T cell",0.7656249999999999,0.7716535433070866,0.7596899224806202,129.0
gamma-delta T cell,0.22857142857142856,0.3870967741935484,0.16216216216216217,74.0
mature NK T cell,0.8378378378378378,0.9393939393939394,0.7560975609756098,82.0
mucosal invariant T cell,0.6885245901639343,0.6774193548387096,0.7,60.0
naive B cell,1.0,1.0,1.0,60.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.841091492776886,0.8111455108359134,0.8733333333333333,300.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6399999999999999,0.7218045112781954,0.5748502994011976,167.0
