cell_type,f1,precision,recall,support
naive B cell,0.9988950276243094,0.9978021978021978,1.0,124.8
CD14-positive monocyte,0.9898453270581747,0.989999017429352,0.9897810938637985,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9242752246224424,0.9214737148484383,0.9285037118562052,316.4
mature NK T cell,0.8626009373619589,0.95288968768068,0.7932051596235011,89.8
"CD16-negative, CD56-bright natural killer cell, human",0.8572425482670646,0.876107589672807,0.8415315884997645,49.4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8387356345676252,0.8018094826994379,0.8844054883060375,295.8
"effector CD8-positive, alpha-beta T cell",0.7304680292809127,0.669244937281271,0.8270982285160926,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.686256179846473,0.7198850813964889,0.6580163911532262,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6841717446214053,0.6796244313835762,0.7048910500373016,118.4
mucosal invariant T cell,0.6373273488635955,0.6503551333008405,0.6298869521283315,69.2
T-helper 22 cell,0.6232700505911681,0.6278741701059293,0.665410104559203,133.8
"central memory CD4-positive, alpha-beta T cell",0.6199697408756054,0.6167116435161734,0.6554548797174535,223.0
gamma-delta T cell,0.27783202218061887,0.41744488563175997,0.22816734752803258,82.8
