cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.989561586638831,0.9875,0.9916317991631799,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.9217391304347825,0.9298245614035088,0.9137931034482759,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.956701030927835,0.9768421052631578,0.9373737373737374,495.0,1
T-helper 22 cell,0.5844155844155844,0.5113636363636364,0.6818181818181818,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6127659574468085,0.6428571428571429,0.5853658536585366,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7220447284345048,0.7151898734177216,0.7290322580645161,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7106017191977078,0.7380952380952381,0.6850828729281768,181.0,1
gamma-delta T cell,0.4550898203592814,0.4418604651162791,0.4691358024691358,81.0,1
mature NK T cell,0.849785407725322,0.8839285714285714,0.8181818181818182,121.0,1
mucosal invariant T cell,0.6618705035971223,0.6666666666666666,0.6571428571428571,70.0,1
naive B cell,0.9969418960244648,1.0,0.9939024390243902,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8326848249027238,0.7925925925925926,0.8770491803278688,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.8562300319488818,0.8589743589743589,0.8535031847133758,157.0,1
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8125000000000001,0.8863636363636364,0.75,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.9094736842105263,0.9391304347826087,0.8816326530612245,245.0,2
T-helper 22 cell,0.5056603773584906,0.4240506329113924,0.6261682242990654,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.750642673521851,0.8088642659279779,0.7002398081534772,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7232142857142858,0.801980198019802,0.6585365853658537,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.613953488372093,0.6947368421052632,0.55,120.0,2
gamma-delta T cell,0.2702702702702703,0.19801980198019803,0.425531914893617,47.0,2
mature NK T cell,0.8554913294797687,0.8043478260869565,0.9135802469135802,81.0,2
mucosal invariant T cell,0.4827586206896552,0.5223880597014925,0.44871794871794873,78.0,2
naive B cell,0.9838709677419354,1.0,0.9682539682539683,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7923728813559321,0.7727272727272727,0.8130434782608695,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7774480712166173,0.7359550561797753,0.8238993710691824,159.0,2
CD14-positive monocyte,0.9925187032418953,0.9851485148514851,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.8902439024390244,0.8902439024390244,0.8902439024390244,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9546666666666667,0.9572192513368984,0.9521276595744681,376.0,3
T-helper 22 cell,0.5877862595419848,0.5579710144927537,0.6209677419354839,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.5669781931464175,0.5833333333333334,0.5515151515151515,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8571428571428571,0.8676470588235294,0.84688995215311,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.6990291262135924,0.7058823529411765,0.6923076923076923,104.0,3
gamma-delta T cell,0.5025125628140703,0.5555555555555556,0.45871559633027525,109.0,3
mature NK T cell,0.8062827225130891,0.8555555555555555,0.7623762376237624,101.0,3
mucosal invariant T cell,0.6440677966101694,0.5876288659793815,0.7125,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.850432632880099,0.8390243902439024,0.8621553884711779,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.792079207920792,0.7843137254901961,0.8,150.0,3
CD14-positive monocyte,0.9968454258675079,0.9937106918238994,1.0,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.8936170212765957,0.9130434782608695,0.875,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9608938547486033,0.945054945054945,0.9772727272727273,264.0,4
T-helper 22 cell,0.5522788203753352,0.6058823529411764,0.5073891625615764,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.5734597156398105,0.4879032258064516,0.6954022988505747,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8354430379746836,0.825,0.8461538461538461,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.753731343283582,0.7266187050359713,0.7829457364341085,129.0,4
