cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0
"CD16-negative, CD56-bright natural killer cell, human",0.8571428571428571,0.9130434782608695,0.8076923076923077,52.0
"CD16-positive, CD56-dim natural killer cell, human",0.9036402569593148,0.9504504504504504,0.8612244897959184,245.0
T-helper 22 cell,0.5058365758754864,0.43333333333333335,0.6074766355140186,107.0
"central memory CD4-positive, alpha-beta T cell",0.7377892030848329,0.7950138504155124,0.6882494004796164,417.0
"effector CD8-positive, alpha-beta T cell",0.759825327510917,0.8207547169811321,0.7073170731707317,123.0
"effector memory CD8-positive, alpha-beta T cell",0.6515837104072398,0.7128712871287128,0.6,120.0
gamma-delta T cell,0.3125,0.22123893805309736,0.5319148936170213,47.0
mature NK T cell,0.906832298136646,0.9125,0.9012345679012346,81.0
mucosal invariant T cell,0.5481481481481482,0.6491228070175439,0.47435897435897434,78.0
naive B cell,0.9865951742627346,1.0,0.9735449735449735,189.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7833333333333333,0.752,0.8173913043478261,230.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7741935483870968,0.7252747252747253,0.8301886792452831,159.0
