cell_type,f1,precision,recall,support
naive B cell,0.9958775385387677,1.0,0.9918365899518893,124.8
CD14-positive monocyte,0.9931919647889833,0.9936093869535687,0.9927960513629379,230.6
"CD16-positive, CD56-dim natural killer cell, human",0.9534672001680354,0.9564629733697988,0.9524414593000767,316.4
"CD16-negative, CD56-bright natural killer cell, human",0.8977937401831207,0.9626340326340326,0.8430084222550105,49.4
mature NK T cell,0.8700480449578132,0.9408318526601878,0.8124347856071639,89.8
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8100448375921466,0.7909591582656356,0.8307809373615023,295.8
"effector CD8-positive, alpha-beta T cell",0.7892015223074486,0.753316292447358,0.8372622432802979,131.2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7714408247865193,0.769862399934675,0.7750122062056601,156.2
"effector memory CD8-positive, alpha-beta T cell",0.6769199872597864,0.6858765361188424,0.6703396012734004,118.4
"central memory CD4-positive, alpha-beta T cell",0.62548486689095,0.6208040263392544,0.6410543213367973,223.0
T-helper 22 cell,0.5694640723307215,0.5541616092255027,0.6078899860921021,133.8
mucosal invariant T cell,0.5622676680109192,0.5946809913882765,0.5433851206264999,69.2
gamma-delta T cell,0.432772742258629,0.4734036494906061,0.4150538483072072,82.8
