cell_type,f1,precision,recall,support,fold
CD14-positive monocyte,0.9873949579831933,0.9915611814345991,0.9832635983263598,239.0,1
"CD16-negative, CD56-bright natural killer cell, human",0.8521739130434782,0.8596491228070176,0.8448275862068966,58.0,1
"CD16-positive, CD56-dim natural killer cell, human",0.9594320486815415,0.9633401221995926,0.9555555555555556,495.0,1
T-helper 22 cell,0.6896551724137931,0.6329113924050633,0.7575757575757576,66.0,1
"central memory CD4-positive, alpha-beta T cell",0.6696035242290749,0.7307692307692307,0.6178861788617886,123.0,1
"effector CD8-positive, alpha-beta T cell",0.7873015873015873,0.775,0.8,155.0,1
"effector memory CD8-positive, alpha-beta T cell",0.7935656836461126,0.7708333333333334,0.8176795580110497,181.0,1
gamma-delta T cell,0.4563758389261745,0.5,0.41975308641975306,81.0,1
mature NK T cell,0.8687782805429864,0.96,0.7933884297520661,121.0,1
mucosal invariant T cell,0.7194244604316546,0.7246376811594203,0.7142857142857143,70.0,1
naive B cell,1.0,1.0,1.0,164.0,1
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8675623800383877,0.8158844765342961,0.9262295081967213,244.0,1
"naive thymus-derived CD8-positive, alpha-beta T cell",0.792332268370607,0.7948717948717948,0.7898089171974523,157.0,1
CD14-positive monocyte,0.9900332225913622,0.9966555183946488,0.9834983498349835,303.0,2
"CD16-negative, CD56-bright natural killer cell, human",0.8316831683168316,0.8571428571428571,0.8076923076923077,52.0,2
"CD16-positive, CD56-dim natural killer cell, human",0.8993576017130621,0.9459459459459459,0.8571428571428571,245.0,2
T-helper 22 cell,0.5182724252491694,0.4020618556701031,0.7289719626168224,107.0,2
"central memory CD4-positive, alpha-beta T cell",0.6843575418994413,0.8193979933110368,0.5875299760191847,417.0,2
"effector CD8-positive, alpha-beta T cell",0.7619047619047619,0.8148148148148148,0.7154471544715447,123.0,2
"effector memory CD8-positive, alpha-beta T cell",0.6542056074766355,0.7446808510638298,0.5833333333333334,120.0,2
gamma-delta T cell,0.24705882352941178,0.17073170731707318,0.44680851063829785,47.0,2
mature NK T cell,0.8848484848484849,0.8690476190476191,0.9012345679012346,81.0,2
mucosal invariant T cell,0.6163522012578616,0.6049382716049383,0.6282051282051282,78.0,2
naive B cell,1.0,1.0,1.0,189.0,2
"naive thymus-derived CD4-positive, alpha-beta T cell",0.7984934086629002,0.7043189368770764,0.9217391304347826,230.0,2
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6217228464419475,0.7685185185185185,0.5220125786163522,159.0,2
CD14-positive monocyte,0.9875930521091811,0.9754901960784313,1.0,199.0,3
"CD16-negative, CD56-bright natural killer cell, human",0.9259259259259259,0.9375,0.9146341463414634,82.0,3
"CD16-positive, CD56-dim natural killer cell, human",0.9711286089238845,0.9585492227979274,0.9840425531914894,376.0,3
T-helper 22 cell,0.7315175097276264,0.706766917293233,0.7580645161290323,124.0,3
"central memory CD4-positive, alpha-beta T cell",0.6568047337278107,0.6416184971098265,0.6727272727272727,165.0,3
"effector CD8-positive, alpha-beta T cell",0.8769574944071589,0.8235294117647058,0.937799043062201,209.0,3
"effector memory CD8-positive, alpha-beta T cell",0.7227722772277227,0.7448979591836735,0.7019230769230769,104.0,3
gamma-delta T cell,0.56353591160221,0.7083333333333334,0.46788990825688076,109.0,3
mature NK T cell,0.8022598870056498,0.9342105263157895,0.7029702970297029,101.0,3
mucosal invariant T cell,0.7515923566878981,0.7662337662337663,0.7375,80.0,3
naive B cell,1.0,1.0,1.0,90.0,3
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8737864077669902,0.8470588235294118,0.9022556390977443,399.0,3
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7132867132867133,0.75,0.68,150.0,3
CD14-positive monocyte,0.9904761904761905,0.9936305732484076,0.9873417721518988,158.0,4
"CD16-negative, CD56-bright natural killer cell, human",0.851063829787234,0.8695652173913043,0.8333333333333334,24.0,4
"CD16-positive, CD56-dim natural killer cell, human",0.9684601113172542,0.9490909090909091,0.9886363636363636,264.0,4
T-helper 22 cell,0.6598984771573604,0.680628272251309,0.6403940886699507,203.0,4
"central memory CD4-positive, alpha-beta T cell",0.5942350332594235,0.48375451263537905,0.7701149425287356,174.0,4
"effector CD8-positive, alpha-beta T cell",0.8699186991869918,0.8294573643410853,0.9145299145299145,117.0,4
"effector memory CD8-positive, alpha-beta T cell",0.8136882129277566,0.7985074626865671,0.8294573643410853,129.0,4
gamma-delta T cell,0.25742574257425743,0.48148148148148145,0.17567567567567569,74.0,4
mature NK T cell,0.8571428571428571,0.9692307692307692,0.7682926829268293,82.0,4
mucosal invariant T cell,0.7068965517241379,0.7321428571428571,0.6833333333333333,60.0,4
naive B cell,1.0,1.0,1.0,60.0,4
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8542713567839196,0.8585858585858586,0.85,300.0,4
"naive thymus-derived CD8-positive, alpha-beta T cell",0.6319444444444444,0.7520661157024794,0.5449101796407185,167.0,4
CD14-positive monocyte,0.9980276134122288,1.0,0.9960629921259843,254.0,5
"CD16-negative, CD56-bright natural killer cell, human",0.8852459016393442,0.9,0.8709677419354839,31.0,5
"CD16-positive, CD56-dim natural killer cell, human",0.9567307692307693,0.9299065420560748,0.9851485148514851,202.0,5
T-helper 22 cell,0.7030716723549488,0.8306451612903226,0.6094674556213018,169.0,5
"central memory CD4-positive, alpha-beta T cell",0.7589098532494759,0.7510373443983402,0.7669491525423728,236.0,5
"effector CD8-positive, alpha-beta T cell",0.75,0.631578947368421,0.9230769230769231,52.0,5
"effector memory CD8-positive, alpha-beta T cell",0.6153846153846154,0.6101694915254238,0.6206896551724138,58.0,5
gamma-delta T cell,0.484472049689441,0.6724137931034483,0.3786407766990291,103.0,5
mature NK T cell,0.9256198347107438,0.9824561403508771,0.875,64.0,5
mucosal invariant T cell,0.5882352941176471,0.5737704918032787,0.603448275862069,58.0,5
naive B cell,1.0,1.0,1.0,121.0,5
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8764044943820225,0.861198738170347,0.8921568627450981,306.0,5
"naive thymus-derived CD8-positive, alpha-beta T cell",0.7079646017699115,0.6282722513089005,0.8108108108108109,148.0,5
