cell_type,f1,precision,recall,support
CD14-positive monocyte,0.9873949579831933,0.9915611814345991,0.9832635983263598,239.0
"CD16-negative, CD56-bright natural killer cell, human",0.8521739130434782,0.8596491228070176,0.8448275862068966,58.0
"CD16-positive, CD56-dim natural killer cell, human",0.9594320486815415,0.9633401221995926,0.9555555555555556,495.0
T-helper 22 cell,0.6896551724137931,0.6329113924050633,0.7575757575757576,66.0
"central memory CD4-positive, alpha-beta T cell",0.6696035242290749,0.7307692307692307,0.6178861788617886,123.0
"effector CD8-positive, alpha-beta T cell",0.7873015873015873,0.775,0.8,155.0
"effector memory CD8-positive, alpha-beta T cell",0.7935656836461126,0.7708333333333334,0.8176795580110497,181.0
gamma-delta T cell,0.4563758389261745,0.5,0.41975308641975306,81.0
mature NK T cell,0.8687782805429864,0.96,0.7933884297520661,121.0
mucosal invariant T cell,0.7194244604316546,0.7246376811594203,0.7142857142857143,70.0
naive B cell,1.0,1.0,1.0,164.0
"naive thymus-derived CD4-positive, alpha-beta T cell",0.8675623800383877,0.8158844765342961,0.9262295081967213,244.0
"naive thymus-derived CD8-positive, alpha-beta T cell",0.792332268370607,0.7948717948717948,0.7898089171974523,157.0
